"InphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_021.tcf]","Time (h)","Q 2 [InphaseC4_021]","Q 3 [InphaseC4_021]","Q 4 [InphaseC4_021]","Q 5 [InphaseC4_021]","Q 6 [InphaseC4_021]","Q 7 [InphaseC4_021]","Q 1 [InphaseC4_021]","Q  8 [InphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -46.4985,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -98.7623,         -0.0010
           3,        0.016667,        -91.4298,        -39.6991,          0.0000,          0.0000,          0.0000,         -0.0000,       -101.1325,          0.0009
           4,        0.025000,        -89.8039,        -70.8269,        -50.2835,          0.0000,         -0.0003,         -0.0007,        -97.6965,          0.0005
           5,        0.033333,        -90.7457,        -82.4419,        -70.9978,        -48.7084,         -0.0003,          0.0012,        -98.4414,          0.0001
           6,        0.041667,        -92.8349,        -88.1657,        -78.5843,        -66.4688,        -42.1420,          0.0005,        -95.9185,          0.0013
           7,        0.050000,        -95.4938,        -92.4728,        -83.0644,        -76.7559,        -65.8411,        -52.2380,        -97.1480,          0.0008
           8,        0.058333,        -97.6137,        -95.5820,        -88.3602,        -83.6431,        -76.3736,        -59.4897,        -98.5374,        -57.3336
           9,        0.066667,        -98.7700,        -97.5115,        -92.7361,        -89.4547,        -79.6502,        -77.3805,        -99.2913,        -93.2847
          10,        0.075000,        -99.3070,        -98.2963,        -95.4412,        -93.4482,        -86.0047,        -94.1378,        -99.6111,       -100.0247
          11,        0.083333,        -99.5867,        -98.7670,        -97.0716,        -95.6870,        -91.9857,       -100.6348,        -99.7720,       -102.5312
          12,        0.091667,        -99.7104,        -99.0983,        -98.0272,        -96.6447,        -97.2855,       -100.7886,        -99.8602,       -101.5524
          13,        0.100000,        -99.7597,        -99.3499,        -98.5667,        -97.5896,        -99.6154,       -100.8835,        -99.8985,       -100.9333
          14,        0.108333,        -99.8008,        -99.5171,        -98.7857,        -98.4745,       -100.1026,       -100.6749,        -99.9057,       -100.6020
          15,        0.116667,        -99.8455,        -99.6281,        -99.1273,        -99.1006,       -100.0753,       -100.3924,        -99.9210,       -100.4297
          16,        0.125000,        -99.8873,        -99.6884,        -99.4512,        -99.5177,        -99.9255,       -100.1525,        -99.9416,       -100.2207
          17,        0.133333,        -99.9185,        -99.7778,        -99.7119,        -99.7438,        -99.8677,        -99.9764,        -99.9578,        -99.9959
          18,        0.141667,        -99.9366,        -99.8536,        -99.8578,        -99.8646,        -99.8850,        -99.9115,        -99.9719,        -99.8814
          19,        0.150000,        -99.9500,        -99.9128,        -99.9243,        -99.9234,        -99.9188,        -99.8925,        -99.9756,        -99.8611
          20,        0.158333,        -99.9645,        -99.9483,        -99.9518,        -99.9483,        -99.9443,        -99.9020,        -99.9798,        -99.8832
          21,        0.166667,        -99.9800,        -99.9704,        -99.9671,        -99.9615,        -99.9555,        -99.9225,        -99.9863,        -99.9159
          22,        0.175000,        -99.9900,        -99.9847,        -99.9777,        -99.9737,        -99.9606,        -99.9414,        -99.9941,        -99.9399
          23,        0.183333,        -99.9956,        -99.9920,        -99.9862,        -99.9824,        -99.9679,        -99.9565,        -99.9976,        -99.9554
          24,        0.191667,        -99.9981,        -99.9950,        -99.9916,        -99.9890,        -99.9760,        -99.9672,        -99.9992,        -99.9664
          25,        0.200000,        -99.9995,        -99.9972,        -99.9947,        -99.9918,        -99.9825,        -99.9755,       -100.0002,        -99.9751
          26,        0.208333,        -99.9993,        -99.9981,        -99.9967,        -99.9942,        -99.9879,        -99.9835,        -99.9987,        -99.9823
          27,        0.216667,        -99.9994,        -99.9986,        -99.9980,        -99.9953,        -99.9914,        -99.9878,        -99.9998,        -99.9880
          28,        0.225000,        -99.9997,        -99.9986,        -99.9982,        -99.9967,        -99.9934,        -99.9913,        -99.9993,        -99.9911
          29,        0.233333,        -99.9998,        -99.9995,        -99.9989,        -99.9979,        -99.9960,        -99.9952,        -99.9991,        -99.9938
          30,        0.241667,        -99.9999,       -100.0000,        -99.9994,        -99.9981,        -99.9969,        -99.9958,        -99.9990,        -99.9957
          31,        0.250000,        -99.9998,        -99.9997,        -99.9992,        -99.9990,        -99.9978,        -99.9969,       -100.0000,        -99.9972
          32,        0.258333,       -100.0001,       -100.0000,        -99.9991,        -99.9988,        -99.9982,        -99.9988,        -99.9995,        -99.9971
          33,        0.266667,        -99.9997,        -99.9998,        -99.9989,       -100.0001,        -99.9986,        -99.9980,        -99.9996,        -99.9983
          34,        0.275000,       -100.0001,       -100.0000,       -100.0005,        -99.9995,        -99.9995,        -99.9987,       -100.0003,        -99.9984
          35,        0.283333,       -100.0001,       -100.0005,       -100.0001,        -99.9998,        -99.9997,        -99.9992,       -100.0006,        -99.9993
          36,        0.291667,        -99.9998,        -99.9996,       -100.0000,       -100.0002,        -99.9990,        -99.9993,       -100.0004,        -99.9994
          37,        0.300000,        -99.9999,        -99.9997,        -99.9997,       -100.0000,        -99.9996,       -100.0001,        -99.9996,        -99.9989
          38,        0.308333,       -100.0002,       -100.0001,       -100.0002,        -99.9991,       -100.0004,        -99.9995,        -99.9996,       -100.0000
          39,        0.316667,        -99.9998,        -99.9996,        -99.9999,        -99.9996,       -100.0001,        -99.9992,        -99.9993,        -99.9998
          40,        0.325000,       -100.0006,        -99.9999,        -99.9992,       -100.0002,       -100.0000,        -99.9998,       -100.0002,        -99.9998
          41,        0.333333,       -100.0000,        -99.9999,       -100.0000,        -99.9998,       -100.0000,       -100.0008,       -100.0003,        -99.9993
          42,        0.341667,        -99.9999,        -99.9999,        -99.9999,       -100.0002,       -100.0002,        -99.9991,        -99.9999,        -99.9998
          43,        0.350000,        -99.9999,        -99.9999,       -100.0007,       -100.0003,       -100.0004,        -99.9996,        -99.9996,        -99.9999
