"VanillaC4_003","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.283333,          2.3864,          2.2730,          2.4066,          2.4481,          2.4103,          2.2708,          2.1935,          2.2707,          2.1934,          2.2706,          2.1933,          2.2705,          2.4514,          2.4514,          2.4514,          2.3083,       -121.4571,       -121.4536,       -121.4471,       -121.4409,       -121.4242,       -121.4109,       -121.4582,       -121.4021
,        0.300000,          2.3863,          2.2730,          2.4065,          2.4481,          2.4102,          2.2708,          2.1935,          2.2707,          2.1934,          2.2707,          2.1933,          2.2706,          2.4516,          2.4516,          2.4517,          2.3083,       -121.4582,       -121.4562,       -121.4531,       -121.4475,       -121.4379,       -121.4292,       -121.4577,       -121.4236
,        0.316667,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1935,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.4517,          2.4518,          2.4519,          2.3082,       -121.4588,       -121.4584,       -121.4552,       -121.4529,       -121.4460,       -121.4407,       -121.4609,       -121.4370
,        0.333333,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.4517,          2.4518,          2.4521,          2.3082,       -121.4590,       -121.4589,       -121.4571,       -121.4548,       -121.4511,       -121.4486,       -121.4595,       -121.4462
,        0.350000,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4517,          2.4519,          2.4522,          2.3082,       -121.4604,       -121.4605,       -121.4580,       -121.4572,       -121.4547,       -121.4525,       -121.4592,       -121.4507
,        0.366667,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4517,          2.4519,          2.4522,          2.3082,       -121.4603,       -121.4596,       -121.4588,       -121.4581,       -121.4568,       -121.4552,       -121.4590,       -121.4548
,        0.383333,          2.3862,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4519,          2.4523,          2.3082,       -121.4594,       -121.4593,       -121.4591,       -121.4589,       -121.4578,       -121.4563,       -121.4603,       -121.4565
,        0.400000,          2.3863,          2.2729,          2.4065,          2.4479,          2.4102,          2.2707,          2.1934,          2.2707,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4519,          2.4523,          2.3082,       -121.4592,       -121.4599,       -121.4591,       -121.4591,       -121.4586,       -121.4583,       -121.4604,       -121.4579
,        0.416667,          2.3863,          2.2729,          2.4065,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4601,       -121.4602,       -121.4600,       -121.4595,       -121.4600,       -121.4588,       -121.4598,       -121.4584
,        0.433333,          2.3863,          2.2729,          2.4064,          2.4480,          2.4102,          2.2707,          2.1934,          2.2706,          2.1934,          2.2707,          2.1934,          2.2708,          2.4518,          2.4520,          2.4523,          2.3082,       -121.4595,       -121.4592,       -121.4597,       -121.4595,       -121.4592,       -121.4592,       -121.4612,       -121.4590
