"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  2167.963    ,     0.000
         4.000,       54751,         0,         0, 0.2634343    ,  3.990497    , 0.9237836    ,  23362.43    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  28800.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5438.495    ,  5438.496    , 0.1008204E-02,  7606.459    ,     0.000
         4.500,       61591,         0,         0, 0.2634343    ,  4.499635    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5996227E-04,-0.2441406E-02,-0.2501369E-02,  7606.457    ,    -0.000
         5.000,       68431,         0,         0, 0.2634383    ,  4.996857    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.2991557E-03, 0.4882812E-03, 0.7874370E-03,  7606.458    ,     0.000
         5.500,       75271,         0,         0, 0.2634343    ,  5.498246    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1460314E-03, 0.9765625E-03, 0.8305311E-03,  7606.458    ,     0.000
         6.000,       82111,         0,         0, 0.2634343    ,  5.998465    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3600.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.4068613E-03,-0.9765625E-03,-0.5697012E-03,  7606.458    ,    -0.000
         6.000,       82112,         0,         0, 0.2634383    ,  5.998465    ,  0.000000    , 0.2506238    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2506256    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1847744E-05,-0.9765625E-03,-0.9784102E-03,  7606.457    ,     0.000
