"InphaseC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_015.tcf]","Time (h)","Q 2 [InphaseC4_015]","Q 3 [InphaseC4_015]","Q 4 [InphaseC4_015]","Q 5 [InphaseC4_015]","Q 6 [InphaseC4_015]","Q 7 [InphaseC4_015]","Q 1 [InphaseC4_015]","Q  8 [InphaseC4_015]"
          47,        0.383333,        -40.0002,        -40.0001,        -40.0003,        -40.0000,        -40.0001,        -39.9998,        -39.9998,        -40.0002
          48,        0.391667,        -40.0002,        -40.0004,        -40.0002,        -40.0001,        -39.9996,        -39.9998,        -40.0003,        -39.9998
          49,        0.400000,        -39.9995,        -40.0004,        -40.0003,        -40.0002,        -40.0003,        -40.0000,        -40.0003,        -39.9995
          50,        0.408333,        -39.9994,        -39.9999,        -40.0000,        -40.0000,        -40.0001,        -40.0002,        -39.9998,        -40.0002
          51,        0.416667,        -40.0004,        -40.0003,        -39.9998,        -40.0000,        -40.0005,        -39.9999,        -40.0003,        -40.0005
          52,        0.425000,        -40.0007,        -40.0004,        -39.9995,        -39.9997,        -39.9997,        -39.9998,        -39.9996,        -39.9995
          53,        0.433333,        -40.0001,        -40.0002,        -40.0003,        -40.0005,        -40.0001,        -39.9999,        -40.0000,        -40.0010
          54,        0.441667,        -40.0003,        -39.9997,        -39.9995,        -39.9999,        -40.0000,        -40.0002,        -40.0000,        -40.0004
          55,        0.450000,        -39.9999,        -40.0002,        -40.0000,        -40.0004,        -40.0000,        -39.9998,        -40.0000,        -40.0005
          56,        0.458333,        -39.9997,        -39.9998,        -39.9998,        -39.9998,        -39.9995,        -40.0000,        -40.0000,        -40.0004
          57,        0.466667,        -39.9997,        -40.0000,        -40.0001,        -39.9999,        -39.9998,        -40.0000,        -39.9995,        -40.0001
          58,        0.475000,        -39.9999,        -39.9998,        -40.0004,        -39.9998,        -39.9996,        -40.0002,        -39.9999,        -39.9999
          59,        0.483333,        -40.0000,        -39.9998,        -40.0001,        -39.9998,        -39.9997,        -40.0001,        -40.0002,        -40.0005
          60,        0.491667,        -40.0000,        -40.0000,        -39.9995,        -40.0002,        -40.0001,        -40.0001,        -40.0001,        -40.0000
          61,        0.500000,        -40.0001,        -40.0003,        -39.9992,        -39.9996,        -40.0004,        -40.0004,        -40.0003,        -40.0000
          62,        0.508333,        -40.0003,        -40.0001,        -40.0000,        -39.9997,        -40.0006,        -39.9998,        -39.9999,        -39.9999
          63,        0.516667,        -40.0000,        -40.0002,        -40.0002,        -39.9996,        -39.9998,        -40.0000,        -39.9995,        -39.9992
          64,        0.525000,        -40.0001,        -40.0003,        -39.9992,        -40.0000,        -40.0006,        -40.0002,        -39.9997,        -40.0008
          65,        0.533333,        -40.0000,        -40.0005,        -40.0000,        -40.0004,        -39.9998,        -40.0000,        -40.0002,        -40.0000
          66,        0.541667,        -40.0000,        -39.9999,        -39.9999,        -39.9998,        -40.0001,        -39.9999,        -40.0000,        -40.0000
          67,        0.550000,        -39.9997,        -40.0004,        -39.9995,        -39.9995,        -40.0003,        -40.0000,        -39.9998,        -39.9997
          68,        0.558333,        -40.0003,        -40.0004,        -39.9992,        -39.9990,        -40.0010,        -40.0000,        -40.0000,        -40.0001
          69,        0.566667,        -40.0006,        -39.9999,        -40.0003,        -40.0006,        -40.0001,        -39.9996,        -40.0002,        -40.0001
          70,        0.575000,        -40.0002,        -40.0002,        -39.9996,        -40.0005,        -39.9999,        -40.0000,        -40.0003,        -39.9995
          71,        0.583333,        -39.9998,        -39.9999,        -40.0000,        -40.0002,        -40.0001,        -39.9999,        -39.9995,        -40.0006
          72,        0.591667,        -40.0000,        -40.0000,        -39.9996,        -40.0003,        -40.0001,        -39.9999,        -39.9998,        -40.0004
          73,        0.600000,        -40.0004,        -40.0006,        -40.0004,        -40.0000,        -39.9999,        -40.0002,        -40.0002,        -40.0005
          74,        0.608333,        -40.0001,        -40.0001,        -39.9998,        -39.9997,        -39.9999,        -40.0001,        -39.9997,        -40.0003
          75,        0.616667,        -40.0004,        -40.0006,        -40.0002,        -40.0000,        -39.9996,        -39.9998,        -40.0006,        -40.0007
          76,        0.625000,        -40.0000,        -40.0000,        -40.0000,        -39.9998,        -39.9996,        -40.0003,        -39.9999,        -39.9997
          77,        0.633333,        -40.0005,        -40.0000,        -40.0001,        -40.0002,        -40.0002,        -39.9999,        -39.9998,        -40.0006
          78,        0.641667,        -40.0001,        -40.0000,        -40.0000,        -40.0003,        -39.9996,        -40.0001,        -40.0002,        -39.9998
          79,        0.650000,        -40.0004,        -39.9996,        -39.9999,        -39.9998,        -39.9999,        -39.9996,        -40.0004,        -40.0001
          80,        0.658333,        -40.0001,        -40.0001,        -39.9994,        -40.0002,        -40.0002,        -40.0002,        -40.0000,        -39.9998
          81,        0.666667,        -40.0004,        -40.0000,        -39.9994,        -39.9999,        -40.0004,        -39.9997,        -40.0001,        -40.0004
          82,        0.675000,        -40.0001,        -39.9995,        -40.0003,        -40.0002,        -40.0001,        -40.0000,        -40.0000,        -40.0002
          83,        0.683333,        -40.0002,        -39.9998,        -39.9994,        -40.0000,        -40.0004,        -40.0004,        -40.0002,        -40.0000
          84,        0.691667,        -40.0000,        -40.0005,        -40.0005,        -40.0002,        -40.0002,        -40.0001,        -40.0001,        -39.9999
          85,        0.700000,        -39.9996,        -39.9996,        -39.9996,        -40.0003,        -40.0006,        -40.0000,        -39.9999,        -40.0001
          86,        0.708333,        -39.9996,        -40.0001,        -40.0000,        -39.9995,        -39.9997,        -40.0000,        -40.0002,        -40.0001
          87,        0.716667,        -39.9995,        -40.0000,        -40.0004,        -39.9995,        -40.0002,        -39.9996,        -40.0002,        -39.9999
          88,        0.725000,        -39.9999,        -39.9998,        -40.0001,        -39.9996,        -40.0007,        -40.0001,        -40.0000,        -40.0003
          89,        0.733333,        -39.9997,        -39.9997,        -39.9997,        -40.0000,        -40.0001,        -40.0000,        -39.9998,        -40.0000
          90,        0.741667,        -39.9999,        -40.0000,        -40.0002,        -40.0001,        -39.9992,        -40.0001,        -40.0001,        -39.9996
          91,        0.750000,        -39.9999,        -40.0001,        -39.9999,        -40.0000,        -39.9999,        -40.0002,        -39.9997,        -39.9997
          92,        0.758333,        -40.0005,        -40.0004,        -40.0003,        -40.0000,        -40.0001,        -39.9995,        -40.0001,        -40.0000
          93,        0.766667,        -40.0001,        -40.0002,        -39.9998,        -39.9994,        -39.9998,        -39.9999,        -40.0001,        -39.9999
          94,        0.775000,        -40.0007,        -40.0001,        -40.0000,        -39.9998,        -40.0003,        -40.0005,        -39.9997,        -40.0002
          95,        0.783333,        -39.9999,        -40.0003,        -40.0000,        -39.9994,        -39.9997,        -40.0000,        -39.9998,        -39.9992
          96,        0.791667,        -40.0007,        -39.9999,        -40.0000,        -40.0005,        -39.9996,        -39.9996,        -39.9998,        -40.0000
          97,        0.800000,        -39.9999,        -40.0002,        -39.9992,        -39.9998,        -40.0002,        -39.9999,        -40.0004,        -40.0004
          98,        0.808333,        -40.0005,        -40.0001,        -39.9998,        -39.9996,        -39.9999,        -39.9995,        -39.9998,        -39.9999
          99,        0.816667,        -39.9999,        -40.0001,        -39.9998,        -39.9997,        -40.0001,        -39.9999,        -39.9999,        -40.0007
         100,        0.825000,        -39.9996,        -40.0005,        -39.9999,        -39.9998,        -40.0001,        -40.0000,        -40.0000,        -39.9994
         101,        0.833333,        -40.0000,        -40.0000,        -40.0000,        -40.0003,        -39.9996,        -39.9999,        -40.0000,        -40.0009
         102,        0.841667,        -39.9998,        -39.9998,        -40.0002,        -39.9996,        -39.9996,        -40.0000,        -40.0003,        -39.9994
         103,        0.850000,        -40.0001,        -39.9998,        -39.9993,        -39.9999,        -40.0004,        -40.0000,        -40.0001,        -40.0006
         104,        0.858333,        -40.0000,        -39.9999,        -40.0007,        -39.9999,        -40.0002,        -39.9998,        -39.9999,        -40.0001
         105,        0.866667,        -40.0001,        -39.9999,        -39.9996,        -39.9999,        -40.0000,        -39.9997,        -40.0001,        -39.9994
         106,        0.875000,        -39.9999,        -39.9998,        -39.9999,        -39.9995,        -39.9998,        -39.9998,        -39.9999,        -40.0000
         107,        0.883333,        -39.9993,        -40.0004,        -40.0000,        -39.9998,        -39.9997,        -40.0005,        -39.9996,        -39.9998
         108,        0.891667,        -40.0003,        -39.9999,        -40.0005,        -39.9996,        -39.9997,        -40.0000,        -40.0002,        -40.0000
         109,        0.900000,        -40.0002,        -39.9996,        -39.9997,        -40.0001,        -39.9999,        -40.0003,        -40.0001,        -39.9993
         110,        0.908333,        -40.0005,        -40.0005,        -39.9998,        -39.9999,        -39.9991,        -40.0002,        -39.9996,        -40.0001
         111,        0.916667,        -40.0002,        -40.0000,        -40.0002,        -40.0000,        -39.9999,        -40.0003,        -40.0001,        -39.9998
         112,        0.925000,        -40.0000,        -40.0003,        -40.0002,        -39.9999,        -39.9995,        -39.9999,        -40.0000,        -39.9996
         113,        0.933333,        -40.0007,        -39.9999,        -40.0002,        -40.0003,        -40.0010,        -39.9997,        -40.0000,        -39.9992
         114,        0.941667,        -39.9999,        -40.0002,        -39.9993,        -40.0001,        -40.0000,        -40.0002,        -39.9999,        -40.0006
         115,        0.950000,        -40.0004,        -39.9999,        -39.9995,        -39.9992,        -40.0007,        -39.9997,        -39.9997,        -40.0001
         116,        0.958333,        -39.9999,        -40.0000,        -40.0002,        -40.0003,        -39.9994,        -40.0000,        -39.9996,        -40.0001
         117,        0.966667,        -39.9997,        -40.0000,        -39.9995,        -39.9996,        -40.0007,        -40.0000,        -40.0003,        -40.0001
         118,        0.975000,        -39.9998,        -40.0006,        -40.0001,        -39.9998,        -39.9997,        -40.0001,        -39.9998,        -39.9992
         119,        0.983333,        -40.0006,        -40.0003,        -40.0002,        -40.0002,        -39.9989,        -40.0001,        -40.0002,        -39.9998
         120,        0.991667,        -40.0001,        -40.0001,        -39.9998,        -40.0003,        -39.9998,        -39.9997,        -40.0004,        -40.0002
         121,        1.000000,        -39.9996,        -39.9999,        -40.0001,        -39.9998,        -39.9991,        -40.0002,        -39.9999,        -39.9995
         122,        1.008333,        -40.0002,        -39.9996,        -39.9997,        -39.9999,        -40.0007,        -40.0001,        -40.0002,        -40.0003
         123,        1.016667,        -39.9997,        -40.0000,        -39.9998,        -40.0003,        -39.9994,        -40.0005,        -40.0001,        -39.9999
         124,        1.025000,        -39.9995,        -39.9998,        -40.0002,        -39.9998,        -40.0005,        -39.9998,        -40.0005,        -40.0001
         125,        1.033333,        -39.9997,        -39.9999,        -39.9997,        -39.9996,        -39.9996,        -40.0003,        -40.0000,        -39.9998
         126,        1.041667,        -39.9997,        -39.9995,        -40.0003,        -39.9998,        -40.0003,        -40.0004,        -40.0001,        -39.9999
         127,        1.050000,        -40.0002,        -40.0004,        -39.9995,        -39.9998,        -40.0003,        -39.9999,        -40.0000,        -40.0000
         128,        1.058333,        -40.0003,        -39.9995,        -40.0004,        -39.9999,        -39.9997,        -39.9998,        -40.0003,        -40.0000
         129,        1.066667,        -39.9999,        -40.0000,        -39.9997,        -39.9998,        -39.9996,        -40.0001,        -40.0003,        -40.0003
         130,        1.075000,        -39.9998,        -40.0001,        -40.0001,        -40.0000,        -40.0008,        -40.0001,        -39.9999,        -39.9993
         131,        1.083333,        -39.9997,        -40.0004,        -39.9998,        -39.9992,        -39.9996,        -39.9996,        -39.9996,        -39.9999
         132,        1.091667,        -40.0005,        -40.0002,        -40.0001,        -39.9999,        -40.0003,        -40.0003,        -40.0000,        -40.0007
         133,        1.100000,        -39.9996,        -40.0005,        -40.0009,        -40.0002,        -39.9998,        -40.0000,        -40.0003,        -40.0000
         134,        1.108333,        -39.9997,        -40.0000,        -40.0002,        -40.0003,        -39.9997,        -40.0002,        -40.0000,        -40.0000
         135,        1.116667,        -39.9999,        -40.0002,        -40.0006,        -39.9997,        -40.0004,        -39.9997,        -39.9997,        -40.0003
         136,        1.125000,        -40.0004,        -39.9999,        -40.0000,        -39.9999,        -40.0003,        -39.9999,        -39.9999,        -40.0000
         137,        1.133333,        -40.0005,        -39.9999,        -40.0003,        -40.0007,        -40.0007,        -39.9998,        -40.0003,        -39.9995
         138,        1.141667,        -40.0001,        -40.0000,        -40.0000,        -40.0001,        -40.0004,        -40.0003,        -39.9997,        -40.0007
         139,        1.150000,        -39.9996,        -40.0001,        -40.0001,        -40.0000,        -40.0001,        -39.9997,        -40.0003,        -40.0002
         140,        1.158333,        -39.9997,        -40.0000,        -40.0000,        -40.0009,        -40.0003,        -40.0001,        -40.0001,        -39.9998
         141,        1.166667,        -39.9998,        -39.9999,        -40.0000,        -40.0004,        -40.0005,        -39.9999,        -39.9998,        -39.9999
         142,        1.175000,        -40.0003,        -40.0005,        -39.9995,        -39.9996,        -40.0001,        -40.0004,        -40.0000,        -40.0005
         143,        1.183333,        -39.9996,        -40.0001,        -39.9997,        -40.0002,        -40.0003,        -40.0001,        -40.0002,        -39.9997
         144,        1.191667,        -39.9997,        -39.9994,        -40.0000,        -40.0003,        -40.0005,        -40.0000,        -40.0002,        -39.9997
         145,        1.200000,        -40.0003,        -40.0002,        -39.9996,        -40.0001,        -40.0002,        -40.0001,        -40.0001,        -40.0004
         146,        1.208333,        -40.0000,        -40.0002,        -39.9997,        -39.9991,        -40.0002,        -39.9997,        -40.0003,        -40.0002
         147,        1.216667,        -39.9999,        -39.9997,        -40.0003,        -40.0003,        -39.9995,        -39.9997,        -40.0002,        -40.0004
         148,        1.225000,        -40.0004,        -39.9999,        -40.0006,        -40.0001,        -39.9996,        -40.0004,        -39.9997,        -39.9999
         149,        1.233333,        -40.0003,        -40.0003,        -40.0003,        -39.9998,        -39.9994,        -40.0001,        -40.0001,        -40.0003
         150,        1.241667,        -40.0003,        -39.9998,        -39.9997,        -40.0004,        -40.0002,        -39.9999,        -40.0001,        -39.9997
         151,        1.250000,        -40.0001,        -39.9996,        -39.9998,        -40.0005,        -40.0005,        -39.9997,        -40.0002,        -39.9995
         152,        1.258333,        -39.9997,        -39.9998,        -40.0004,        -40.0001,        -40.0004,        -40.0000,        -40.0002,        -40.0001
         153,        1.266667,        -40.0005,        -40.0001,        -40.0000,        -40.0005,        -39.9995,        -39.9998,        -39.9998,        -39.9996
         154,        1.275000,        -40.0001,        -40.0000,        -40.0009,        -40.0001,        -39.9995,        -39.9998,        -40.0000,        -39.9999
         155,        1.283333,        -39.9999,        -40.0001,        -40.0005,        -40.0005,        -40.0001,        -39.9999,        -39.9997,        -39.9999
         156,        1.291667,        -40.0001,        -39.9994,        -39.9998,        -40.0006,        -40.0002,        -39.9999,        -40.0001,        -39.9995
         157,        1.300000,        -39.9995,        -40.0000,        -40.0003,        -40.0000,        -40.0000,        -40.0001,        -39.9999,        -39.9999
         158,        1.308333,        -39.9996,        -40.0005,        -39.9995,        -40.0001,        -39.9998,        -40.0000,        -39.9998,        -39.9988
         159,        1.316667,        -40.0001,        -39.9997,        -39.9991,        -39.9997,        -40.0009,        -40.0002,        -40.0003,        -39.9995
         160,        1.325000,        -39.9995,        -40.0001,        -39.9999,        -40.0000,        -39.9998,        -40.0001,        -40.0002,        -39.9995
         161,        1.333333,        -40.0003,        -39.9998,        -39.9999,        -40.0003,        -40.0003,        -40.0003,        -40.0001,        -39.9998
         162,        1.341667,        -40.0004,        -40.0000,        -39.9998,        -39.9998,        -39.9996,        -39.9999,        -39.9996,        -40.0000
         163,        1.350000,        -40.0001,        -40.0000,        -40.0003,        -40.0001,        -40.0002,        -40.0002,        -40.0001,        -40.0009
         164,        1.358333,        -40.0008,        -40.0001,        -40.0003,        -39.9992,        -40.0009,        -40.0001,        -40.0003,        -39.9997
         165,        1.366667,        -40.0002,        -39.9996,        -40.0001,        -40.0001,        -39.9998,        -39.9996,        -40.0000,        -39.9992
         166,        1.375000,        -40.0002,        -40.0003,        -39.9998,        -39.9999,        -40.0002,        -40.0001,        -39.9997,        -40.0003
         167,        1.383333,        -40.0001,        -39.9999,        -40.0007,        -39.9997,        -40.0000,        -39.9997,        -39.9999,        -40.0005
         168,        1.391667,        -39.9998,        -40.0001,        -40.0000,        -40.0003,        -39.9999,        -40.0001,        -39.9999,        -39.9998
         169,        1.400000,        -39.9999,        -40.0003,        -40.0001,        -39.9996,        -40.0003,        -40.0001,        -40.0002,        -40.0005
         170,        1.408333,        -40.0006,        -40.0002,        -39.9997,        -39.9997,        -39.9996,        -39.9998,        -40.0000,        -40.0004
         171,        1.416667,        -40.0000,        -39.9998,        -39.9993,        -40.0000,        -39.9995,        -40.0006,        -39.9994,        -40.0003
         172,        1.425000,        -40.0006,        -40.0000,        -39.9997,        -39.9998,        -39.9997,        -39.9999,        -40.0003,        -40.0008
         173,        1.433333,        -40.0000,        -40.0001,        -39.9999,        -40.0004,        -39.9998,        -39.9999,        -39.9999,        -39.9999
         174,        1.441667,        -39.9999,        -40.0000,        -39.9993,        -40.0003,        -39.9999,        -39.9999,        -39.9997,        -40.0000
         175,        1.450000,        -40.0000,        -40.0001,        -40.0000,        -40.0003,        -39.9995,        -40.0005,        -39.9998,        -39.9999
         176,        1.458333,        -40.0004,        -40.0000,        -40.0002,        -40.0005,        -40.0000,        -40.0002,        -39.9999,        -39.9991
         177,        1.466667,        -40.0001,        -39.9998,        -39.9993,        -40.0005,        -39.9985,        -40.0002,        -39.9996,        -39.9994
         178,        1.475000,        -40.0002,        -40.0004,        -39.9999,        -40.0003,        -40.0003,        -40.0000,        -40.0001,        -40.0001
         179,        1.483333,        -40.0001,        -39.9996,        -39.9997,        -39.9999,        -39.9997,        -40.0002,        -40.0001,        -40.0004
         180,        1.491667,        -40.0002,        -40.0000,        -40.0007,        -39.9996,        -40.0003,        -40.0000,        -40.0002,        -40.0000
         181,        1.500000,        -39.9998,        -40.0000,        -40.0006,        -39.9999,        -40.0005,        -40.0001,        -39.9999,        -39.9997
         182,        1.508333,        -40.0002,        -40.0001,        -40.0000,        -39.9999,        -40.0000,        -40.0002,        -40.0004,        -39.9997
         183,        1.516667,        -39.9996,        -39.9999,        -40.0001,        -39.9999,        -40.0000,        -40.0000,        -39.9997,        -40.0010
         184,        1.525000,        -40.0002,        -40.0002,        -39.9993,        -40.0004,        -40.0003,        -40.0001,        -40.0001,        -39.9999
         185,        1.533333,        -39.9998,        -40.0004,        -40.0000,        -40.0000,        -39.9996,        -40.0004,        -39.9997,        -40.0005
         186,        1.541667,        -40.0003,        -40.0002,        -39.9996,        -39.9994,        -39.9998,        -40.0001,        -39.9997,        -39.9995
         187,        1.550000,        -39.9998,        -40.0000,        -39.9993,        -40.0002,        -40.0005,        -39.9996,        -40.0001,        -39.9996
         188,        1.558333,        -39.9999,        -39.9996,        -40.0001,        -39.9998,        -40.0004,        -40.0001,        -40.0001,        -39.9999
         189,        1.566667,        -39.9999,        -40.0000,        -40.0000,        -40.0005,        -40.0003,        -40.0003,        -40.0000,        -40.0003
         190,        1.575000,        -40.0002,        -40.0002,        -39.9998,        -40.0002,        -39.9998,        -39.9999,        -40.0004,        -39.9993
         191,        1.583333,        -40.0003,        -39.9995,        -39.9996,        -40.0005,        -40.0000,        -39.9999,        -40.0004,        -40.0004
         192,        1.591667,        -40.0001,        -40.0004,        -39.9994,        -39.9999,        -40.0003,        -40.0002,        -39.9999,        -40.0001
         193,        1.600000,        -39.9991,        -39.9994,        -40.0001,        -39.9995,        -39.9998,        -40.0000,        -40.0001,        -39.9994
         194,        1.608333,        -39.9996,        -39.9997,        -40.0002,        -39.9998,        -39.9997,        -40.0001,        -39.9999,        -40.0004
         195,        1.616667,        -40.0001,        -39.9996,        -39.9997,        -39.9999,        -39.9998,        -40.0001,        -40.0000,        -39.9998
         196,        1.625000,        -40.0004,        -40.0000,        -40.0002,        -39.9998,        -40.0004,        -39.9998,        -40.0000,        -40.0000
         197,        1.633333,        -39.9995,        -39.9997,        -40.0000,        -39.9998,        -40.0006,        -39.9996,        -40.0003,        -40.0000
         198,        1.641667,        -40.0004,        -39.9997,        -39.9993,        -39.9995,        -40.0002,        -40.0000,        -39.9996,        -40.0000
         199,        1.650000,        -40.0005,        -40.0000,        -40.0003,        -40.0000,        -39.9997,        -40.0000,        -39.9995,        -39.9999
         200,        1.658333,        -40.0004,        -39.9999,        -40.0005,        -40.0002,        -40.0001,        -40.0003,        -40.0001,        -39.9998
         201,        1.666667,        -39.9993,        -39.9998,        -40.0000,        -39.9998,        -40.0003,        -40.0000,        -39.9997,        -39.9995
         202,        1.675000,        -40.0002,        -40.0000,        -39.9995,        -40.0001,        -39.9997,        -39.9997,        -39.9998,        -40.0002
         203,        1.683333,        -39.9998,        -40.0000,        -40.0006,        -40.0006,        -39.9997,        -39.9998,        -40.0002,        -39.9999
         204,        1.691667,        -40.0003,        -39.9999,        -40.0007,        -39.9998,        -39.9994,        -39.9998,        -40.0002,        -39.9999
         205,        1.700000,        -40.0006,        -39.9999,        -39.9997,        -39.9999,        -39.9994,        -39.9999,        -39.9999,        -40.0001
         206,        1.708333,        -39.9997,        -40.0000,        -40.0005,        -39.9997,        -39.9993,        -39.9999,        -39.9999,        -40.0003
         207,        1.716667,        -40.0000,        -40.0004,        -40.0000,        -39.9998,        -40.0000,        -39.9998,        -40.0001,        -40.0006
         208,        1.725000,        -40.0003,        -39.9998,        -39.9995,        -40.0000,        -40.0000,        -40.0000,        -39.9999,        -39.9990
         209,        1.733333,        -39.9988,        -40.0001,        -40.0000,        -40.0002,        -39.9994,        -40.0001,        -40.0001,        -40.0002
