"VanillaC4_015 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_015.tcf]","Time (h)","V 2 [VanillaC4_015]","V 3 [VanillaC4_015]","V 4 [VanillaC4_015]","V 5 [VanillaC4_015]","V 6 [VanillaC4_015]","V 7 [VanillaC4_015]","V 8 [VanillaC4_015]","V 9 [VanillaC4_015]","V 10 [VanillaC4_015]","V 11 [VanillaC4_015]","V 12 [VanillaC4_015]","V 13 [VanillaC4_015]","V 14 [VanillaC4_015]","V 15 [VanillaC4_015]","V 16 [VanillaC4_015]","V  1 [VanillaC4_015]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.7054,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.5473
           3,        0.016667,          2.1916,          1.6254,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.0654
           4,        0.025000,          2.0291,          1.5963,          2.0769,          1.8648,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.9222
           5,        0.033333,          1.9737,          1.5734,          1.9722,          1.9768,          2.0376,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          0.0001,          1.8539
           6,        0.041667,          1.8871,          1.5394,          1.9075,          1.9178,          1.9925,          1.2526,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          1.8133
           7,        0.050000,          1.8536,          1.5183,          1.8666,          1.8676,          1.9376,          1.4552,          1.2381,          0.0000,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          1.7806
           8,        0.058333,          1.8296,          1.5069,          1.8360,          1.8366,          1.8991,          1.4859,          1.4779,          1.2358,          0.0002,          0.0001,          0.0001,          0.0003,          0.0000,          0.0000,          0.0000,          1.7617
           9,        0.066667,          1.8132,          1.4965,          1.8152,          1.8121,          1.8697,          1.4882,          1.5146,          1.5034,          1.1510,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          1.7482
          10,        0.075000,          1.8020,          1.4887,          1.8000,          1.7950,          1.8475,          1.4878,          1.5245,          1.5429,          1.4771,          1.1648,          0.0003,          0.0001,          0.0001,          0.0001,          0.0001,          1.7388
