"InphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_019.tcf]","Time (h)","V 2 [InphaseC4_019]","V 3 [InphaseC4_019]","V 4 [InphaseC4_019]","V 5 [InphaseC4_019]","V 6 [InphaseC4_019]","V 7 [InphaseC4_019]","V 8 [InphaseC4_019]","V 9 [InphaseC4_019]","V 10 [InphaseC4_019]","V 11 [InphaseC4_019]","V 12 [InphaseC4_019]","V 13 [InphaseC4_019]","V 14 [InphaseC4_019]","V 15 [InphaseC4_019]","V 16 [InphaseC4_019]","V  1 [InphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.8226,          1.4508,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.3453
           3,        0.016667,          3.2498,          1.4156,          2.2875,          2.4728,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.3133
           4,        0.025000,          2.9878,          1.0328,          2.0378,          2.6888,          2.3929,          0.7000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          3.2821
           5,        0.033333,          2.4928,          1.1188,          2.0123,          2.7441,          2.6138,          0.9192,          1.5648,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          2.9872
           6,        0.041667,          2.3675,          1.2334,          1.9972,          2.7718,          2.6093,          0.9582,          1.4421,          1.8533,          0.7674,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          2.5088
           7,        0.050000,          2.3359,          1.3167,          2.0141,          2.8000,          2.3994,          0.9893,          1.5125,          2.0209,          1.1339,          1.1237,          0.9962,          0.0003,          0.0000,          0.0000,          0.0001,          2.3446
           8,        0.058333,          2.3164,          1.3626,          2.0247,          2.8187,          2.2986,          1.1474,          1.6023,          2.2121,          1.2113,          1.2687,          1.3472,          1.0178,          0.7519,          0.7123,          0.0013,          2.2664
           9,        0.066667,          2.3030,          1.3897,          2.0277,          2.8314,          2.2557,          1.2684,          1.6790,          2.3097,          1.3505,          1.3372,          1.3379,          1.1864,          1.1122,          1.1554,          0.9984,          2.2281
          10,        0.075000,          2.2951,          1.4043,          2.0281,          2.7722,          2.2318,          1.3366,          1.7227,          2.2831,          1.4693,          1.3919,          1.4978,          1.4296,          1.4192,          1.8387,          1.4742,          2.2060
