"OutphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_006.tcf]","Time (h)","V 2 [OutphaseC4_006]","V 3 [OutphaseC4_006]","V 4 [OutphaseC4_006]","V 5 [OutphaseC4_006]","V 6 [OutphaseC4_006]","V 7 [OutphaseC4_006]","V 8 [OutphaseC4_006]","V 9 [OutphaseC4_006]","V 10 [OutphaseC4_006]","V 11 [OutphaseC4_006]","V 12 [OutphaseC4_006]","V 13 [OutphaseC4_006]","V 14 [OutphaseC4_006]","V 15 [OutphaseC4_006]","V 16 [OutphaseC4_006]","V  1 [OutphaseC4_006]"
          28,        0.225000,          0.8781,          0.0000,          0.4697,          0.2081,          0.1997,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2571
          29,        0.233333,          0.8787,          0.0000,          0.4568,          0.2163,          0.2235,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2557
          30,        0.241667,          0.8787,          0.0000,          0.4454,          0.2247,          0.2466,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2569
          31,        0.250000,          0.8798,          0.0000,          0.4356,          0.2344,          0.2712,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2577
          32,        0.258333,          0.8784,          0.0000,          0.4286,          0.2443,          0.2927,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2550
          33,        0.266667,          0.8803,          0.0000,          0.4222,          0.2530,          0.3146,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2576
          34,        0.275000,          0.8804,          0.0000,          0.4174,          0.2590,          0.3337,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2560
          35,        0.283333,          0.8794,          0.0000,          0.4131,          0.2641,          0.3519,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2574
          36,        0.291667,          0.8808,          0.0000,          0.4084,          0.2678,          0.3694,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2580
          37,        0.300000,          0.8787,          0.0000,          0.4048,          0.2702,          0.3850,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2553
          38,        0.308333,          0.8807,          0.0000,          0.4009,          0.2733,          0.4000,          0.0000,          0.0000,          0.0509,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2582
          39,        0.316667,          0.8810,          0.0000,          0.3975,          0.2758,          0.4117,          0.0000,          0.0000,          0.0527,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2561
          40,        0.325000,          0.8797,          0.0000,          0.3942,          0.2784,          0.4228,          0.0000,          0.1176,          0.0629,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2573
          41,        0.333333,          0.8812,          0.0000,          0.3902,          0.2801,          0.4316,          0.0000,          0.1666,          0.0608,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2582
          42,        0.341667,          0.8787,          0.0000,          0.3878,          0.2811,          0.4403,          0.0000,          0.1817,          0.0621,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2553
          43,        0.350000,          0.8809,          0.0000,          0.3847,          0.2816,          0.4484,          0.0000,          0.1916,          0.0590,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2588
          44,        0.358333,          0.8812,          0.0000,          0.3844,          0.2816,          0.4549,          0.0000,          0.1946,          0.0593,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2563
          45,        0.366667,          0.8799,          0.0000,          0.3822,          0.2801,          0.4618,          0.0000,          0.1983,          0.0569,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2570
          46,        0.375000,          0.8812,          0.0000,          0.3818,          0.2784,          0.4665,          0.0000,          0.1978,          0.0521,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2584
          47,        0.383333,          0.8788,          0.0000,          0.3823,          0.2760,          0.4712,          0.0000,          0.1990,          0.0502,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2553
          48,        0.391667,          0.8808,          0.0000,          0.3803,          0.2760,          0.4757,          0.0000,          0.2010,          0.0508,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2597
          49,        0.400000,          0.8811,          0.0000,          0.3794,          0.2751,          0.4785,          0.0000,          0.1982,          0.0498,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2565
          50,        0.408333,          0.8798,          0.0000,          0.3793,          0.2750,          0.4822,          0.0000,          0.1960,          0.0515,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2568
