"OutphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_006.tcf]","Time (h)","Q 2 [OutphaseC4_006]","Q 3 [OutphaseC4_006]","Q 4 [OutphaseC4_006]","Q 5 [OutphaseC4_006]","Q 6 [OutphaseC4_006]","Q 7 [OutphaseC4_006]","Q 1 [OutphaseC4_006]","Q  8 [OutphaseC4_006]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1531,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6716,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0184,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3741,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.7451,          0.0000
           8,        0.058333,         -0.0002,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.1046,          0.0000
           9,        0.066667,         -0.6935,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.5829,          0.0000
          10,        0.075000,         -1.3746,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.0202,          0.0000
          11,        0.083333,         -2.0641,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5338,          0.0000
          12,        0.091667,         -2.7277,         -0.6090,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9270,          0.0000
          13,        0.100000,         -3.3124,         -1.1123,          0.0000,          0.0000,          0.0000,          0.0000,         -4.3234,          0.0000
          14,        0.108333,         -3.8252,         -1.2582,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6634,          0.0000
          15,        0.116667,         -4.2557,         -1.5509,          0.0000,          0.0000,          0.0000,          0.0000,         -4.9061,          0.0000
          16,        0.125000,         -4.6139,         -1.7373,          0.0000,          0.0000,          0.0000,          0.0000,         -5.1613,          0.0000
          17,        0.133333,         -4.9045,         -1.8947,          0.0000,          0.0000,          0.0000,          0.0000,         -5.2963,          0.0000
          18,        0.141667,         -5.1437,         -2.0529,          0.0000,          0.0000,          0.0000,          0.0000,         -5.4784,          0.0000
          19,        0.150000,         -5.3207,         -2.1695,          0.0000,          0.0000,          0.0000,          0.0000,         -5.5672,          0.0000
          20,        0.158333,         -5.4784,         -2.2909,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6725,          0.0000
          21,        0.166667,         -5.5875,         -2.3633,          0.0000,          0.0000,          0.0000,          0.0000,         -5.7474,          0.0000
          22,        0.175000,         -5.6810,         -2.4372,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8025,          0.0000
          23,        0.183333,         -5.7545,         -2.5134,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8675,          0.0000
          24,        0.191667,         -5.8016,         -2.5780,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8765,          0.0000
          25,        0.200000,         -5.8540,         -2.6349,          0.0000,          0.0000,          0.0000,          0.0000,         -5.9177,          0.0000
          26,        0.208333,         -5.8790,         -2.7277,         -0.0001,          0.0000,          0.0000,          0.0000,         -5.9053,          0.0000
          27,        0.216667,         -5.9128,         -2.7994,         -0.1056,          0.0000,          0.0000,          0.0000,         -5.9437,          0.0000
