"VanillaC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_010.tcf]","Time (h)","Q 2 [VanillaC4_010]","Q 3 [VanillaC4_010]","Q 4 [VanillaC4_010]","Q 5 [VanillaC4_010]","Q 6 [VanillaC4_010]","Q 7 [VanillaC4_010]","Q 1 [VanillaC4_010]","Q  8 [VanillaC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.2766,         -0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.4907,         -0.0001
           4,        0.025000,         -5.4149,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -9.2502,          0.0002
           5,        0.033333,         -7.6594,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,         -9.5465,         -0.0007
           6,        0.041667,         -8.6187,         -2.0066,          0.0000,          0.0000,          0.0000,          0.0001,         -9.7237,         -0.0009
           7,        0.050000,         -9.1235,         -5.8551,          0.0000,          0.0000,          0.0000,         -0.0005,         -9.8241,         -0.0003
           8,        0.058333,         -9.4266,         -7.4366,          0.0000,          0.0000,          0.0000,          0.0002,         -9.8829,          0.0003
           9,        0.066667,         -9.6143,         -8.3146,         -2.8799,          0.0000,          0.0000,          0.0001,         -9.9214,          0.0003
          10,        0.075000,         -9.7363,         -8.8537,         -5.7630,          0.0000,          0.0000,         -0.0000,         -9.9442,          0.0003
          11,        0.083333,         -9.8154,         -9.2036,         -7.1943,         -0.0026,          0.0000,          0.0001,         -9.9605,         -0.0002
          12,        0.091667,         -9.8692,         -9.4393,         -8.0629,         -4.5839,          0.0000,         -0.0002,         -9.9729,         -0.0003
          13,        0.100000,         -9.9062,         -9.6015,         -8.6332,         -6.4252,          0.0000,         -0.0002,         -9.9804,          0.0002
          14,        0.108333,         -9.9318,         -9.7135,         -9.0163,         -7.5098,          0.0000,          0.0001,         -9.9862,          0.0002
          15,        0.116667,         -9.9507,         -9.7922,         -9.2892,         -8.2204,          0.0000,         -0.0000,         -9.9898,         -0.0007
          16,        0.125000,         -9.9642,         -9.8482,         -9.4822,         -8.7058,         -2.6691,          0.0002,         -9.9925,         -0.0008
          17,        0.133333,         -9.9736,         -9.8882,         -9.6202,         -9.0492,         -5.2753,          0.0000,         -9.9947,          0.0007
          18,        0.141667,         -9.9808,         -9.9167,         -9.7195,         -9.2998,         -6.6919,         -0.0001,         -9.9962,         -0.0000
          19,        0.150000,         -9.9859,         -9.9382,         -9.7921,         -9.4811,         -7.6037,         -1.9364,         -9.9970,         -0.0004
          20,        0.158333,         -9.9895,         -9.9540,         -9.8446,         -9.6136,         -8.2349,         -4.6160,         -9.9979,          0.0000
          21,        0.166667,         -9.9922,         -9.9659,         -9.8828,         -9.7110,         -8.6809,         -6.2005,         -9.9986,         -2.7859
          22,        0.175000,         -9.9943,         -9.9745,         -9.9113,         -9.7825,         -9.0087,         -7.2256,         -9.9986,         -4.7698
          23,        0.183333,         -9.9960,         -9.9814,         -9.9334,         -9.8356,         -9.2539,         -7.9343,         -9.9991,         -6.7385
          24,        0.191667,         -9.9968,         -9.9858,         -9.9500,         -9.8749,         -9.4362,         -8.4456,         -9.9994,         -7.5452
          25,        0.200000,         -9.9975,         -9.9896,         -9.9624,         -9.9046,         -9.5722,         -8.8218,         -9.9993,         -8.0663
          26,        0.208333,         -9.9981,         -9.9920,         -9.9716,         -9.9273,         -9.6745,         -9.1277,         -9.9998,         -8.4794
          27,        0.216667,         -9.9986,         -9.9940,         -9.9786,         -9.9450,         -9.7512,         -9.3446,         -9.9997,         -8.8248
          28,        0.225000,         -9.9990,         -9.9957,         -9.9838,         -9.9582,         -9.8090,         -9.5029,         -9.9999,         -9.0985
          29,        0.233333,         -9.9990,         -9.9966,         -9.9879,         -9.9682,         -9.8530,         -9.6209,         -9.9999,         -9.3093
          30,        0.241667,         -9.9995,         -9.9973,         -9.9908,         -9.9756,         -9.8863,         -9.7103,        -10.0001,         -9.4728
          31,        0.250000,         -9.9997,         -9.9981,         -9.9930,         -9.9815,         -9.9126,         -9.7777,         -9.9999,         -9.5959
          32,        0.258333,         -9.9996,         -9.9988,         -9.9949,         -9.9860,         -9.9327,         -9.8286,        -10.0000,         -9.6898
          33,        0.266667,         -9.9997,         -9.9989,         -9.9962,         -9.9894,         -9.9483,         -9.8666,         -9.9998,         -9.7602
          34,        0.275000,         -9.9997,         -9.9991,         -9.9969,         -9.9920,         -9.9604,         -9.8969,        -10.0001,         -9.8144
          35,        0.283333,         -9.9999,         -9.9994,         -9.9976,         -9.9936,         -9.9697,         -9.9205,         -9.9999,         -9.8559
          36,        0.291667,         -9.9998,         -9.9997,         -9.9984,         -9.9954,         -9.9765,         -9.9387,         -9.9999,         -9.8883
          37,        0.300000,         -9.9999,         -9.9998,         -9.9986,         -9.9964,         -9.9820,         -9.9530,        -10.0000,         -9.9133
          38,        0.308333,        -10.0000,         -9.9997,         -9.9990,         -9.9972,         -9.9864,         -9.9637,         -9.9998,         -9.9336
          39,        0.316667,         -9.9998,         -9.9999,         -9.9992,         -9.9980,         -9.9895,         -9.9719,        -10.0000,         -9.9486
          40,        0.325000,        -10.0000,         -9.9998,         -9.9992,         -9.9984,         -9.9921,         -9.9785,        -10.0001,         -9.9603
          41,        0.333333,         -9.9999,        -10.0000,         -9.9994,         -9.9987,         -9.9940,         -9.9833,         -9.9999,         -9.9695
          42,        0.341667,         -9.9999,        -10.0001,         -9.9997,         -9.9991,         -9.9953,         -9.9875,         -9.9998,         -9.9765
          43,        0.350000,        -10.0000,        -10.0000,        -10.0000,         -9.9993,         -9.9964,         -9.9903,         -9.9999,         -9.9819
          44,        0.358333,         -9.9999,        -10.0000,         -9.9998,         -9.9996,         -9.9972,         -9.9926,         -9.9999,         -9.9860
          45,        0.366667,        -10.0000,         -9.9999,         -9.9999,         -9.9995,         -9.9978,         -9.9941,        -10.0002,         -9.9890
          46,        0.375000,        -10.0000,        -10.0000,         -9.9998,         -9.9997,         -9.9981,         -9.9958,        -10.0001,         -9.9914
          47,        0.383333,        -10.0000,         -9.9999,        -10.0000,        -10.0000,         -9.9987,         -9.9965,        -10.0001,         -9.9943
          48,        0.391667,        -10.0000,        -10.0000,        -10.0001,        -10.0000,         -9.9991,         -9.9974,         -9.9999,         -9.9944
          49,        0.400000,        -10.0000,         -9.9999,         -9.9999,         -9.9997,         -9.9993,         -9.9979,         -9.9998,         -9.9961
          50,        0.408333,        -10.0002,        -10.0000,         -9.9999,         -9.9997,         -9.9994,         -9.9985,         -9.9999,         -9.9973
          51,        0.416667,        -10.0000,        -10.0000,         -9.9996,         -9.9998,         -9.9997,         -9.9987,        -10.0000,         -9.9978
          52,        0.425000,         -9.9998,        -10.0002,         -9.9998,         -9.9999,         -9.9995,         -9.9991,        -10.0001,         -9.9978
          53,        0.433333,        -10.0000,        -10.0001,         -9.9997,         -9.9999,         -9.9998,         -9.9993,         -9.9998,         -9.9984
          54,        0.441667,         -9.9998,        -10.0000,        -10.0000,        -10.0000,         -9.9999,         -9.9996,         -9.9999,         -9.9991
          55,        0.450000,        -10.0003,         -9.9998,        -10.0001,        -10.0000,         -9.9998,         -9.9995,        -10.0002,         -9.9998
          56,        0.458333,        -10.0000,        -10.0000,        -10.0000,        -10.0000,         -9.9999,         -9.9998,         -9.9999,         -9.9991
          57,        0.466667,         -9.9999,        -10.0002,        -10.0000,         -9.9999,         -9.9997,         -9.9998,        -10.0001,         -9.9996
          58,        0.475000,         -9.9999,        -10.0000,         -9.9999,        -10.0002,        -10.0000,         -9.9999,         -9.9999,         -9.9995
          59,        0.483333,         -9.9999,        -10.0000,        -10.0001,        -10.0000,         -9.9999,         -9.9999,        -10.0002,         -9.9996
          60,        0.491667,        -10.0000,         -9.9999,        -10.0000,        -10.0000,        -10.0002,         -9.9999,        -10.0002,        -10.0004
          61,        0.500000,        -10.0000,        -10.0001,        -10.0002,        -10.0000,        -10.0000,        -10.0000,        -10.0001,         -9.9997
          62,        0.508333,         -9.9998,        -10.0000,         -9.9999,         -9.9999,        -10.0001,        -10.0000,        -10.0002,         -9.9999
          63,        0.516667,        -10.0000,        -10.0001,         -9.9999,         -9.9999,        -10.0000,         -9.9999,         -9.9999,        -10.0000
          64,        0.525000,        -10.0002,        -10.0001,        -10.0002,         -9.9999,        -10.0001,        -10.0001,        -10.0000,         -9.9993
          65,        0.533333,         -9.9999,        -10.0002,         -9.9998,        -10.0000,        -10.0001,         -9.9999,        -10.0001,        -10.0001
          66,        0.541667,        -10.0000,        -10.0000,        -10.0001,         -9.9999,        -10.0000,        -10.0002,        -10.0000,         -9.9997
          67,        0.550000,         -9.9999,         -9.9999,         -9.9999,         -9.9999,        -10.0002,        -10.0000,        -10.0001,         -9.9995
          68,        0.558333,        -10.0001,        -10.0002,         -9.9998,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0003
          69,        0.566667,         -9.9999,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,         -9.9996
          70,        0.575000,        -10.0000,        -10.0001,        -10.0000,        -10.0000,        -10.0000,         -9.9998,        -10.0000,         -9.9997
          71,        0.583333,        -10.0001,        -10.0002,        -10.0000,         -9.9999,        -10.0000,        -10.0000,         -9.9999,         -9.9994
          72,        0.591667,        -10.0000,        -10.0000,        -10.0001,         -9.9998,        -10.0001,        -10.0002,        -10.0000,         -9.9997
          73,        0.600000,        -10.0000,        -10.0000,         -9.9999,        -10.0000,         -9.9999,        -10.0001,        -10.0000,        -10.0002
          74,        0.608333,         -9.9999,        -10.0001,         -9.9999,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0008
          75,        0.616667,        -10.0000,        -10.0001,        -10.0000,        -10.0001,        -10.0000,        -10.0001,        -10.0000,        -10.0031
          76,        0.625000,         -9.9999,        -10.0000,        -10.0000,        -10.0000,         -9.9999,        -10.0001,        -10.0001,         -9.9956
          77,        0.633333,         -9.9999,        -10.0000,        -10.0000,        -10.0001,         -9.9999,        -10.0001,         -9.9998,         -9.9985
          78,        0.641667,         -9.9999,         -9.9999,        -10.0000,         -9.9999,         -9.9999,        -10.0001,         -9.9998,         -9.9991
          79,        0.650000,        -10.0000,        -10.0001,        -10.0000,        -10.0002,        -10.0000,         -9.9997,        -10.0000,         -9.9994
          80,        0.658333,        -10.0000,         -9.9999,        -10.0002,        -10.0000,         -9.9999,         -9.9999,        -10.0000,         -9.9994
          81,        0.666667,        -10.0000,        -10.0000,        -10.0000,        -10.0001,        -10.0001,         -9.9998,        -10.0000,         -9.9998
          82,        0.675000,        -10.0001,        -10.0000,         -9.9999,         -9.9999,         -9.9999,         -9.9999,        -10.0001,         -9.9996
          83,        0.683333,        -10.0001,        -10.0000,         -9.9998,        -10.0000,        -10.0000,         -9.9999,        -10.0001,         -9.9998
          84,        0.691667,        -10.0001,        -10.0000,        -10.0000,        -10.0001,        -10.0001,        -10.0000,         -9.9998,         -9.9999
          85,        0.700000,        -10.0001,         -9.9999,        -10.0001,        -10.0001,         -9.9998,         -9.9999,        -10.0000,        -10.0000
          86,        0.708333,         -9.9999,        -10.0002,         -9.9999,        -10.0001,         -9.9999,        -10.0001,         -9.9999,         -9.9999
          87,        0.716667,        -10.0000,         -9.9998,        -10.0001,         -9.9998,        -10.0000,        -10.0001,         -9.9997,         -9.9999
          88,        0.725000,        -10.0000,        -10.0001,        -10.0000,         -9.9999,        -10.0003,        -10.0000,         -9.9998,         -9.9996
          89,        0.733333,        -10.0000,        -10.0000,        -10.0002,         -9.9998,        -10.0000,        -10.0001,         -9.9999,         -9.9997
          90,        0.741667,        -10.0002,         -9.9999,        -10.0002,         -9.9999,        -10.0000,        -10.0002,        -10.0000,         -9.9999
          91,        0.750000,        -10.0001,        -10.0001,         -9.9998,         -9.9998,        -10.0000,        -10.0001,        -10.0000,         -9.9999
          92,        0.758333,        -10.0002,        -10.0001,        -10.0000,         -9.9999,        -10.0000,         -9.9999,        -10.0003,        -10.0000
          93,        0.766667,        -10.0000,         -9.9999,        -10.0000,         -9.9999,        -10.0000,        -10.0000,        -10.0000,         -9.9996
          94,        0.775000,        -10.0000,        -10.0001,        -10.0002,        -10.0001,         -9.9999,        -10.0000,        -10.0001,         -9.9997
          95,        0.783333,         -9.9998,         -9.9999,         -9.9999,        -10.0001,         -9.9999,        -10.0002,         -9.9999,         -9.9999
          96,        0.791667,         -9.9999,        -10.0001,         -9.9999,        -10.0000,         -9.9999,        -10.0000,        -10.0000,         -9.9998
          97,        0.800000,         -9.9999,        -10.0001,         -9.9998,        -10.0000,         -9.9997,         -9.9999,        -10.0001,         -9.9999
          98,        0.808333,        -10.0000,        -10.0000,         -9.9999,        -10.0001,        -10.0001,        -10.0002,        -10.0001,        -10.0000
          99,        0.816667,        -10.0002,         -9.9999,         -9.9998,        -10.0001,        -10.0001,         -9.9999,        -10.0000,         -9.9997
         100,        0.825000,         -9.9998,        -10.0000,        -10.0003,         -9.9999,         -9.9999,         -9.9999,        -10.0000,         -9.9997
         101,        0.833333,         -9.9999,         -9.9999,         -9.9999,         -9.9998,         -9.9999,        -10.0000,         -9.9998,         -9.9999
         102,        0.841667,        -10.0001,        -10.0000,         -9.9998,        -10.0000,        -10.0001,        -10.0000,         -9.9998,        -10.0001
         103,        0.850000,        -10.0001,        -10.0001,         -9.9998,         -9.9999,         -9.9999,        -10.0001,        -10.0000,        -10.0000
         104,        0.858333,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0002
         105,        0.866667,         -9.9998,        -10.0001,        -10.0000,        -10.0000,        -10.0000,         -9.9999,        -10.0000,        -10.0001
         106,        0.875000,        -10.0000,        -10.0000,        -10.0001,        -10.0000,         -9.9999,        -10.0000,         -9.9997,        -10.0001
         107,        0.883333,         -9.9999,        -10.0000,         -9.9999,         -9.9999,        -10.0000,        -10.0001,         -9.9999,        -10.0001
         108,        0.891667,        -10.0000,        -10.0000,        -10.0000,         -9.9998,         -9.9999,        -10.0000,        -10.0000,        -10.0001
         109,        0.900000,        -10.0000,        -10.0000,         -9.9998,        -10.0001,         -9.9999,        -10.0000,         -9.9998,        -10.0002
         110,        0.908333,         -9.9999,         -9.9999,         -9.9999,         -9.9999,        -10.0003,        -10.0000,         -9.9998,         -9.9998
         111,        0.916667,        -10.0001,        -10.0001,         -9.9999,        -10.0001,        -10.0001,        -10.0001,         -9.9999,         -9.9999
         112,        0.925000,        -10.0000,        -10.0000,        -10.0000,        -10.0002,        -10.0001,        -10.0000,         -9.9999,        -10.0002
         113,        0.933333,        -10.0000,         -9.9999,        -10.0001,        -10.0000,        -10.0001,        -10.0000,         -9.9999,         -9.9997
         114,        0.941667,        -10.0002,        -10.0001,         -9.9999,         -9.9999,        -10.0000,         -9.9999,         -9.9999,         -9.9999
         115,        0.950000,         -9.9999,        -10.0001,        -10.0000,         -9.9999,        -10.0000,         -9.9998,         -9.9998,         -9.9999
         116,        0.958333,        -10.0001,        -10.0001,         -9.9999,        -10.0000,        -10.0000,        -10.0001,        -10.0003,         -9.9999
         117,        0.966667,        -10.0000,        -10.0002,        -10.0001,        -10.0001,        -10.0002,        -10.0001,        -10.0001,        -10.0001
         118,        0.975000,        -10.0000,        -10.0002,        -10.0000,         -9.9999,        -10.0000,         -9.9999,         -9.9998,         -9.9999
         119,        0.983333,         -9.9998,        -10.0000,        -10.0000,         -9.9999,        -10.0000,        -10.0001,        -10.0001,        -10.0005
         120,        0.991667,         -9.9998,        -10.0000,        -10.0000,        -10.0002,        -10.0000,         -9.9999,         -9.9998,        -10.0001
         121,        1.000000,        -10.0000,         -9.9998,         -9.9997,         -9.9998,        -10.0001,        -10.0002,        -10.0000,        -10.0001
         122,        1.008333,        -10.0001,         -9.9999,         -9.9999,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000
         123,        1.016667,        -10.0001,        -10.0001,        -10.0000,        -10.0001,        -10.0000,         -9.9999,        -10.0002,         -9.9996
         124,        1.025000,        -10.0000,         -9.9999,        -10.0001,        -10.0001,        -10.0000,        -10.0001,         -9.9999,        -10.0004
         125,        1.033333,        -10.0001,        -10.0002,         -9.9999,        -10.0002,        -10.0000,        -10.0001,        -10.0000,        -10.0001
         126,        1.041667,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0000,        -10.0001,        -10.0002,        -10.0002
         127,        1.050000,        -10.0000,         -9.9999,        -10.0001,         -9.9999,        -10.0001,         -9.9999,        -10.0000,         -9.9998
         128,        1.058333,        -10.0002,        -10.0000,        -10.0002,        -10.0001,         -9.9999,        -10.0000,        -10.0001,        -10.0001
         129,        1.066667,        -10.0002,        -10.0000,        -10.0001,        -10.0000,         -9.9999,        -10.0001,        -10.0000,        -10.0000
         130,        1.075000,        -10.0000,        -10.0000,        -10.0000,         -9.9999,        -10.0000,        -10.0000,        -10.0003,         -9.9999
         131,        1.083333,         -9.9999,        -10.0000,         -9.9999,         -9.9999,        -10.0001,        -10.0001,        -10.0001,        -10.0002
         132,        1.091667,        -10.0000,         -9.9999,         -9.9998,        -10.0001,        -10.0000,         -9.9999,         -9.9999,         -9.9999
         133,        1.100000,         -9.9999,         -9.9998,        -10.0000,        -10.0001,        -10.0000,        -10.0002,         -9.9997,         -9.9997
         134,        1.108333,        -10.0001,        -10.0002,        -10.0002,        -10.0000,         -9.9999,        -10.0000,        -10.0000,        -10.0001
         135,        1.116667,         -9.9999,        -10.0003,        -10.0000,        -10.0001,        -10.0002,         -9.9998,        -10.0001,        -10.0000
         136,        1.125000,        -10.0001,        -10.0001,        -10.0001,         -9.9998,         -9.9999,        -10.0001,        -10.0000,         -9.9998
         137,        1.133333,        -10.0001,        -10.0000,         -9.9999,        -10.0001,         -9.9998,        -10.0000,        -10.0001,         -9.9995
         138,        1.141667,         -9.9999,        -10.0000,        -10.0000,        -10.0000,        -10.0000,         -9.9999,        -10.0000,        -10.0000
         139,        1.150000,         -9.9999,        -10.0000,        -10.0002,        -10.0000,        -10.0002,         -9.9998,         -9.9999,        -10.0000
         140,        1.158333,        -10.0001,         -9.9999,         -9.9998,         -9.9999,        -10.0000,        -10.0001,        -10.0001,         -9.9999
         141,        1.166667,        -10.0000,         -9.9999,        -10.0001,        -10.0000,        -10.0000,        -10.0000,        -10.0001,         -9.9998
         142,        1.175000,        -10.0000,         -9.9998,        -10.0001,        -10.0000,        -10.0001,        -10.0000,        -10.0001,        -10.0001
         143,        1.183333,         -9.9999,        -10.0000,        -10.0001,        -10.0001,        -10.0000,        -10.0000,         -9.9999,        -10.0003
         144,        1.191667,         -9.9999,        -10.0000,        -10.0001,        -10.0000,        -10.0001,        -10.0000,         -9.9999,        -10.0000
         145,        1.200000,        -10.0001,        -10.0000,         -9.9999,        -10.0000,         -9.9999,         -9.9999,        -10.0000,        -10.0001
         146,        1.208333,        -10.0003,        -10.0001,        -10.0002,        -10.0000,        -10.0000,        -10.0001,         -9.9999,         -9.9997
         147,        1.216667,        -10.0001,         -9.9999,         -9.9999,        -10.0000,         -9.9999,        -10.0000,         -9.9999,        -10.0000
         148,        1.225000,        -10.0000,         -9.9999,         -9.9999,         -9.9999,        -10.0000,        -10.0001,        -10.0000,        -10.0001
         149,        1.233333,        -10.0000,         -9.9998,        -10.0000,         -9.9998,        -10.0000,         -9.9998,        -10.0000,        -10.0000
         150,        1.241667,         -9.9999,        -10.0000,        -10.0001,        -10.0000,        -10.0000,        -10.0001,         -9.9999,        -10.0000
         151,        1.250000,         -9.9999,        -10.0000,        -10.0003,        -10.0001,         -9.9999,        -10.0001,        -10.0001,        -10.0003
         152,        1.258333,         -9.9999,        -10.0002,         -9.9998,        -10.0000,         -9.9999,        -10.0001,        -10.0001,        -10.0001
