"OutphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_010.tcf]","Time (h)","V 2 [OutphaseC4_010]","V 3 [OutphaseC4_010]","V 4 [OutphaseC4_010]","V 5 [OutphaseC4_010]","V 6 [OutphaseC4_010]","V 7 [OutphaseC4_010]","V 8 [OutphaseC4_010]","V 9 [OutphaseC4_010]","V 10 [OutphaseC4_010]","V 11 [OutphaseC4_010]","V 12 [OutphaseC4_010]","V 13 [OutphaseC4_010]","V 14 [OutphaseC4_010]","V 15 [OutphaseC4_010]","V 16 [OutphaseC4_010]","V  1 [OutphaseC4_010]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.8348
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3834
           4,        0.025000,          0.0764,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0010,          0.3622
           5,        0.033333,          0.5946,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.3090
           6,        0.041667,          0.6850,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0008,          0.3079
           7,        0.050000,          0.7636,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0008,          0.2979
           8,        0.058333,          0.8454,          0.0000,          1.2103,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.3113
           9,        0.066667,          0.8965,          0.0000,          1.5037,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0010,          0.3186
          10,        0.075000,          0.9433,          0.0000,          1.6972,          0.3907,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3191
          11,        0.083333,          0.9720,          0.0000,          1.8281,          0.2731,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.3351
          12,        0.091667,          0.9997,          0.0000,          1.9323,          0.2692,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.3327
          13,        0.100000,          1.0140,          0.0000,          1.4077,          0.2534,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.3416
          14,        0.108333,          1.0269,          0.0000,          1.1714,          0.2520,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0010,          0.3418
          15,        0.116667,          1.0372,          0.0000,          1.0420,          0.2596,          0.1963,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3422
          16,        0.125000,          1.0431,          0.0000,          0.9375,          0.2720,          0.2141,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0010,          0.3488
