"OutphaseC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_004.tcf]","Time (h)","Q 2 [OutphaseC4_004]","Q 3 [OutphaseC4_004]","Q 4 [OutphaseC4_004]","Q 5 [OutphaseC4_004]","Q 6 [OutphaseC4_004]","Q 7 [OutphaseC4_004]","Q 1 [OutphaseC4_004]","Q  8 [OutphaseC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1433,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3290,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.5272,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6890,          0.0000
           8,        0.058333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.8389,          0.0000
           9,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0174,          0.0000
          10,        0.075000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.2069,          0.0000
          11,        0.083333,         -0.0505,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4209,          0.0000
          12,        0.091667,         -0.4684,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.6980,          0.0000
          13,        0.100000,         -0.8383,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9381,          0.0000
          14,        0.108333,         -1.2192,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.2001,          0.0000
          15,        0.116667,         -1.5939,         -0.0117,          0.0000,          0.0000,          0.0000,          0.0000,         -2.4545,          0.0000
          16,        0.125000,         -1.9425,         -0.5511,          0.0000,          0.0000,          0.0000,          0.0000,         -2.6974,          0.0000
          17,        0.133333,         -2.2639,         -0.6562,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9004,          0.0000
          18,        0.141667,         -2.5448,         -0.8106,          0.0000,          0.0000,          0.0000,          0.0000,         -3.0883,          0.0000
          19,        0.150000,         -2.7924,         -0.9496,          0.0000,          0.0000,          0.0000,          0.0000,         -3.2354,          0.0000
          20,        0.158333,         -2.9981,         -1.0449,          0.0000,          0.0000,          0.0000,          0.0000,         -3.3757,          0.0000
          21,        0.166667,         -3.1809,         -1.1703,          0.0000,          0.0000,          0.0000,          0.0000,         -3.4877,          0.0000
          22,        0.175000,         -3.3236,         -1.2559,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5839,          0.0000
          23,        0.183333,         -3.4513,         -1.3347,          0.0000,          0.0000,          0.0000,          0.0000,         -3.6604,          0.0000
          24,        0.191667,         -3.5521,         -1.3840,          0.0000,          0.0000,          0.0000,          0.0000,         -3.7157,          0.0000
          25,        0.200000,         -3.6370,         -1.4653,          0.0000,          0.0000,          0.0000,          0.0000,         -3.7665,          0.0000
          26,        0.208333,         -3.7054,         -1.5005,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8158,          0.0000
          27,        0.216667,         -3.7628,         -1.5502,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8514,          0.0000
