"OutphaseC4_013 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_013.tcf]","Time (h)","Q 2 [OutphaseC4_013]","Q 3 [OutphaseC4_013]","Q 4 [OutphaseC4_013]","Q 5 [OutphaseC4_013]","Q 6 [OutphaseC4_013]","Q 7 [OutphaseC4_013]","Q 1 [OutphaseC4_013]","Q  8 [OutphaseC4_013]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.2703,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.3148,          0.0000
           4,        0.025000,         -0.0048,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.2313,          0.0000
           5,        0.033333,         -5.0068,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -10.6360,          0.0000
           6,        0.041667,         -8.6442,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -13.2897,          0.0000
           7,        0.050000,        -11.9410,         -5.5481,          0.0000,          0.0000,          0.0000,          0.0000,        -14.9312,          0.0000
           8,        0.058333,        -14.2397,         -5.9096,          0.0000,          0.0000,          0.0000,          0.0000,        -16.8043,          0.0000
           9,        0.066667,        -16.1380,         -7.0832,          0.0000,          0.0000,          0.0000,          0.0000,        -17.6828,          0.0000
          10,        0.075000,        -17.2757,         -8.2068,          0.0000,          0.0000,          0.0000,          0.0000,        -18.3828,          0.0000
          11,        0.083333,        -18.2374,         -8.5418,          0.0000,          0.0000,          0.0000,          0.0000,        -18.9641,          0.0000
          12,        0.091667,        -18.7587,         -9.3727,         -0.4983,          0.0000,          0.0000,          0.0000,        -19.1672,          0.0000
          13,        0.100000,        -19.2143,        -10.1992,         -1.9935,          0.0000,          0.0000,          0.0000,        -19.6095,          0.0000
          14,        0.108333,        -19.4612,        -11.0966,         -3.7017,          0.0000,          0.0000,          0.0000,        -19.5708,          0.0000
          15,        0.116667,        -19.6292,        -12.1524,         -5.5155,         -3.2105,          0.0000,          0.0000,        -19.8563,          0.0000
