"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1198.168    ,     0.000
         1.000,       17648,         0,         0, 0.2048951    , 0.9998862    ,  0.000000    ,  144353.8    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  159466.6    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  15112.85    ,  15112.87    , 0.1610714E-01,  16311.04    ,     0.000
         1.500,       26438,         0,         0, 0.2048916    ,  1.498749    ,  0.000000    ,  79733.31    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  79733.32    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.6888390E-02,-0.2929688E-02,-0.9818077E-02,  16311.03    ,    -0.000
         2.000,       35228,         0,         0, 0.2049000    ,  1.998749    ,  0.000000    ,  79733.31    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  79733.32    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5255699E-02,-0.1953125E-02,-0.7208824E-02,  16311.03    ,    -0.000
         2.000,       35229,         0,         0, 0.2048562    ,  2.000035    ,  0.000000    ,  5.550641    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5.550891    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2503395E-03, 0.7812500E-02, 0.7562160E-02,  16311.04    ,     0.068
