"sfe_25","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\013\sfe_25.tcf","Time","1","2","3","4","5","6","1","2","3","4"
"F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\results\013\sfe_25_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.050000,          2.3787,          2.5997,          0.0000,          0.0000,          0.0000,          0.0000,         12.7894,          0.0000,          0.0000,          0.0000
,        0.066667,          2.5775,          2.9909,          0.5848,          1.8821,          0.2673,          0.0000,         21.8762,         12.8572,          2.3783,          0.0008
,        0.083333,          2.5680,          3.2569,          0.4996,          2.5728,          2.1764,          1.8180,         27.0696,         27.6183,         22.4359,         25.6785
,        0.100000,          2.4113,          3.5123,          0.5756,          2.3403,          2.6750,          2.3358,         29.7267,         34.8961,         32.1930,         30.8587
,        0.116667,          2.3701,          3.6690,          0.6382,          2.2838,          2.8485,          2.7853,         31.2717,         38.8280,         37.4086,         36.5284
,        0.133333,          2.3566,          3.7457,          0.6907,          2.2465,          2.9292,          3.0137,         32.1646,         41.0864,         40.2792,         39.6800
,        0.150000,          2.3476,          3.7830,          0.7236,          2.2243,          2.9610,          3.1327,         32.7004,         42.3818,         41.9369,         41.5671
,        0.166667,          2.3456,          3.8108,          0.7429,          2.2117,          2.9849,          3.1892,         33.0268,         43.1365,         42.8761,         42.6708
,        0.183333,          2.3453,          3.8194,          0.7559,          2.2044,          2.9959,          3.2173,         33.2267,         43.6344,         43.4579,         43.3063
,        0.200000,          2.3461,          3.8248,          0.7624,          2.1989,          3.0033,          3.2368,         33.3416,         43.8878,         43.8015,         43.7231
,        0.216667,          2.3461,          3.8282,          0.7674,          2.1961,          3.0064,          3.2451,         33.4123,         44.0447,         43.9922,         43.9472
,        0.233333,          2.3459,          3.8310,          0.7700,          2.1945,          3.0080,          3.2491,         33.4568,         44.1412,         44.1087,         44.0808
,        0.250000,          2.3462,          3.8326,          0.7716,          2.1936,          3.0089,          3.2520,         33.4812,         44.2001,         44.1802,         44.1636
,        0.266667,          2.3462,          3.8336,          0.7726,          2.1929,          3.0095,          3.2539,         33.4989,         44.2378,         44.2264,         44.2158
,        0.283333,          2.3461,          3.8339,          0.7733,          2.1926,          3.0097,          3.2549,         33.5090,         44.2626,         44.2539,         44.2470
,        0.300000,          2.3462,          3.8348,          0.7736,          2.1924,          3.0099,          3.2556,         33.5144,         44.2758,         44.2705,         44.2663
,        0.316667,          2.3461,          3.8351,          0.7738,          2.1922,          3.0101,          3.2560,         33.5173,         44.2827,         44.2806,         44.2785
,        0.333333,          2.3462,          3.8352,          0.7740,          2.1921,          3.0102,          3.2563,         33.5211,         44.2893,         44.2863,         44.2853
,        0.350000,          2.3461,          3.8352,          0.7741,          2.1921,          3.0103,          3.2564,         33.5215,         44.2914,         44.2912,         44.2896
,        0.366667,          2.3462,          3.8350,          0.7741,          2.1921,          3.0103,          3.2565,         33.5230,         44.2927,         44.2933,         44.2919
,        0.383333,          2.3462,          3.8342,          0.7741,          2.1921,          3.0103,          3.2565,         33.5232,         44.2952,         44.2943,         44.2937
,        0.400000,          2.3462,          3.8350,          0.7742,          2.1920,          3.0102,          3.2567,         33.5246,         44.2943,         44.2949,         44.2946
,        0.416667,          2.3463,          3.8353,          0.7742,          2.1920,          3.0104,          3.2566,         33.5249,         44.2975,         44.2955,         44.2955
,        0.433333,          2.3461,          3.8348,          0.7742,          2.1920,          3.0103,          3.2567,         33.5248,         44.2962,         44.2957,         44.2957
,        0.450000,          2.3462,          3.8351,          0.7741,          2.1920,          3.0104,          3.2565,         33.5245,         44.2950,         44.2955,         44.2953
,        0.466667,          2.3462,          3.8349,          0.7742,          2.1920,          3.0103,          3.2567,         33.5248,         44.2968,         44.2960,         44.2957
,        0.483333,          2.3462,          3.8351,          0.7742,          2.1921,          3.0104,          3.2567,         33.5244,         44.2957,         44.2968,         44.2957
,        0.500000,          2.3462,          3.8348,          0.7743,          2.1921,          3.0104,          3.2566,         33.5240,         44.2969,         44.2960,         44.2960
,        0.516667,          2.3462,          3.8349,          0.7742,          2.1920,          3.0104,          3.2567,         33.5243,         44.2969,         44.2962,         44.2963
,        0.533333,          2.3461,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566,         33.5248,         44.2969,         44.2964,         44.2960
,        0.550000,          2.3462,          3.8354,          0.7742,          2.1921,          3.0103,          3.2567,         33.5246,         44.2981,         44.2962,         44.2960
,        0.566667,          2.3462,          3.8353,          0.7742,          2.1920,          3.0103,          3.2567,         33.5254,         44.2970,         44.2964,         44.2965
,        0.583333,          2.3462,          3.8348,          0.7742,          2.1920,          3.0105,          3.2568,         33.5251,         44.2960,         44.2963,         44.2965
,        0.600000,          2.3462,          3.8360,          0.7742,          2.1921,          3.0104,          3.2566,         33.5241,         44.2958,         44.2960,         44.2962
,        0.616667,          2.3462,          3.8354,          0.7742,          2.1920,          3.0104,          3.2567,         33.5245,         44.2959,         44.2962,         44.2964
,        0.633333,          2.3462,          3.8353,          0.7742,          2.1920,          3.0103,          3.2566,         33.5243,         44.2979,         44.2965,         44.2960
,        0.650000,          2.3461,          3.8352,          0.7742,          2.1920,          3.0104,          3.2565,         33.5236,         44.2950,         44.2961,         44.2958
,        0.666667,          2.3462,          3.8349,          0.7742,          2.1921,          3.0103,          3.2567,         33.5239,         44.2957,         44.2960,         44.2964
,        0.683333,          2.3462,          3.8353,          0.7742,          2.1920,          3.0105,          3.2565,         33.5242,         44.2973,         44.2965,         44.2958
,        0.700000,          2.3462,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566,         33.5246,         44.2960,         44.2964,         44.2960
,        0.716667,          2.3461,          3.8353,          0.7742,          2.1920,          3.0104,          3.2566,         33.5273,         44.2965,         44.2966,         44.2965
,        0.733333,          2.3461,          3.8349,          0.7741,          2.1921,          3.0103,          3.2566,         33.5246,         44.2953,         44.2960,         44.2962
,        0.750000,          2.3462,          3.8352,          0.7742,          2.1921,          3.0103,          3.2567,         33.5242,         44.2965,         44.2962,         44.2962
,        0.766667,          2.3462,          3.8350,          0.7742,          2.1920,          3.0104,          3.2566,         33.5240,         44.2966,         44.2963,         44.2960
,        0.783333,          2.3462,          3.8354,          0.7742,          2.1920,          3.0105,          3.2565,         33.5235,         44.2960,         44.2959,         44.2960
,        0.800000,          2.3462,          3.8346,          0.7742,          2.1920,          3.0102,          3.2566,         33.5248,         44.2959,         44.2967,         44.2963
,        0.816667,          2.3462,          3.8352,          0.7742,          2.1920,          3.0103,          3.2565,         33.5266,         44.2984,         44.2967,         44.2962
,        0.833333,          2.3462,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566,         33.5252,         44.2953,         44.2964,         44.2962
,        0.850000,          2.3461,          3.8348,          0.7742,          2.1920,          3.0103,          3.2567,         33.5252,         44.2958,         44.2962,         44.2967
,        0.866667,          2.3462,          3.8353,          0.7742,          2.1919,          3.0101,          3.2566,         33.5251,         44.2971,         44.2959,         44.2957
,        0.883333,          2.3462,          3.8352,          0.7742,          2.1920,          3.0104,          3.2566,         33.5247,         44.2956,         44.2964,         44.2962
,        0.900000,          2.3462,          3.8350,          0.7742,          2.1920,          3.0104,          3.2566,         33.5238,         44.2952,         44.2970,         44.2959
,        0.916667,          2.3462,          3.8354,          0.7742,          2.1920,          3.0103,          3.2566,         33.5246,         44.2962,         44.2965,         44.2960
,        0.933333,          2.3461,          3.8350,          0.7742,          2.1920,          3.0104,          3.2568,         33.5239,         44.2978,         44.2965,         44.2963
,        0.950000,          2.3462,          3.8346,          0.7742,          2.1920,          3.0103,          3.2567,         33.5249,         44.2938,         44.2964,         44.2962
,        0.966667,          2.3462,          3.8353,          0.7742,          2.1920,          3.0105,          3.2567,         33.5245,         44.2971,         44.2960,         44.2960
,        0.983333,          2.3462,          3.8354,          0.7742,          2.1920,          3.0104,          3.2566,         33.5240,         44.2958,         44.2959,         44.2958
,        1.000000,          2.3462,          3.8350,          0.7743,          2.1920,          3.0104,          3.2567,         33.5256,         44.2939,         44.2965,         44.2964
,        1.016667,          2.3462,          3.8355,          0.7743,          2.1920,          3.0105,          3.2567,         33.5249,         44.2959,         44.2967,         44.2966
,        1.033333,          2.3463,          3.8348,          0.7741,          2.1921,          3.0104,          3.2568,         33.5252,         44.2970,         44.2963,         44.2960
,        1.050000,          2.3462,          3.8346,          0.7742,          2.1919,          3.0104,          3.2567,         33.5246,         44.2941,         44.2960,         44.2963
,        1.066667,          2.3461,          3.8348,          0.7742,          2.1920,          3.0104,          3.2566,         33.5238,         44.2974,         44.2960,         44.2967
,        1.083333,          2.3462,          3.8349,          0.7742,          2.1921,          3.0103,          3.2567,         33.5247,         44.2962,         44.2964,         44.2965
,        1.100000,          2.3462,          3.8351,          0.7742,          2.1921,          3.0104,          3.2564,         33.5240,         44.2958,         44.2963,         44.2965
,        1.116667,          2.3462,          3.8350,          0.7742,          2.1921,          3.0104,          3.2566,         33.5243,         44.2958,         44.2959,         44.2959
,        1.133333,          2.3463,          3.8349,          0.7742,          2.1920,          3.0103,          3.2566,         33.5245,         44.2961,         44.2955,         44.2962
,        1.150000,          2.3463,          3.8352,          0.7742,          2.1920,          3.0103,          3.2567,         33.5244,         44.2961,         44.2961,         44.2971
,        1.166667,          2.3462,          3.8354,          0.7742,          2.1920,          3.0104,          3.2567,         33.5250,         44.2981,         44.2964,         44.2965
,        1.183333,          2.3462,          3.8355,          0.7742,          2.1920,          3.0103,          3.2566,         33.5254,         44.2958,         44.2962,         44.2965
,        1.200000,          2.3462,          3.8352,          0.7743,          2.1920,          3.0104,          3.2567,         33.5253,         44.2956,         44.2959,         44.2957
,        1.216667,          2.3461,          3.8350,          0.7742,          2.1920,          3.0103,          3.2566,         33.5245,         44.2969,         44.2962,         44.2959
,        1.233333,          2.3462,          3.8357,          0.7743,          2.1921,          3.0104,          3.2567,         33.5245,         44.2959,         44.2965,         44.2956
,        1.250000,          2.3462,          3.8348,          0.7742,          2.1920,          3.0104,          3.2566,         33.5237,         44.2962,         44.2964,         44.2960
,        1.266667,          2.3462,          3.8345,          0.7742,          2.1920,          3.0104,          3.2567,         33.5246,         44.2961,         44.2961,         44.2970
,        1.283333,          2.3462,          3.8349,          0.7742,          2.1920,          3.0104,          3.2567,         33.5241,         44.2967,         44.2961,         44.2965
,        1.300000,          2.3462,          3.8353,          0.7742,          2.1920,          3.0104,          3.2566,         33.5243,         44.2974,         44.2966,         44.2966
,        1.316667,          2.3462,          3.8355,          0.7741,          2.1920,          3.0103,          3.2566,         33.5246,         44.2956,         44.2966,         44.2963
,        1.333333,          2.3462,          3.8343,          0.7742,          2.1920,          3.0104,          3.2567,         33.5242,         44.2970,         44.2966,         44.2959
,        1.350000,          2.3461,          3.8348,          0.7742,          2.1921,          3.0104,          3.2566,         33.5251,         44.2966,         44.2964,         44.2965
,        1.366667,          2.3462,          3.8354,          0.7743,          2.1922,          3.0104,          3.2567,         33.5254,         44.2963,         44.2965,         44.2963
,        1.383333,          2.3462,          3.8352,          0.7742,          2.1921,          3.0103,          3.2567,         33.5255,         44.2970,         44.2963,         44.2966
,        1.400000,          2.3462,          3.8353,          0.7742,          2.1920,          3.0105,          3.2566,         33.5242,         44.2965,         44.2960,         44.2971
,        1.416667,          2.3462,          3.8344,          0.7742,          2.1920,          3.0105,          3.2566,         33.5241,         44.2967,         44.2959,         44.2968
,        1.433333,          2.3461,          3.8355,          0.7743,          2.1921,          3.0103,          3.2567,         33.5234,         44.2963,         44.2960,         44.2961
,        1.450000,          2.3462,          3.8354,          0.7742,          2.1920,          3.0103,          3.2566,         33.5244,         44.2976,         44.2966,         44.2966
