"VanillaC4_005","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_005.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\results\005\VanillaC4_005_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.016667,          3.4233,          2.2153,          2.9056,          3.0676,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.1961,          1.6255,          2.5037,          2.6107,          3.3695,       -104.1656,        -42.6489,          0.0000,          0.0000,          0.0000,         29.8482,       -119.3902,         61.4789
,        0.033333,          3.0562,          1.8634,          2.5178,          3.1215,          3.4341,          1.0078,          1.8365,          0.0000,          0.0000,          1.0423,          1.4166,          0.8533,          0.9357,          0.9839,          0.9529,          2.6360,       -110.6337,       -100.3259,        -80.4171,        -36.2476,         17.5517,         26.4604,       -117.5837,         33.3723
,        0.050000,          2.7626,          1.9864,          2.4761,          3.1061,          2.8244,          1.7687,          1.9619,          3.0122,          1.4807,          1.5155,          0.9112,          0.0337,          0.0544,          0.0732,          0.0326,          2.3533,       -115.7446,       -112.7463,        -99.2155,        -88.6071,        -52.4719,         -1.8724,       -117.5600,         -4.8960
,        0.066667,          2.7577,          2.0539,          2.5003,          2.8500,          2.5489,          2.0266,          2.0799,          2.6051,          2.1289,          1.8999,          2.1549,          1.7776,          1.6554,          1.7197,          1.0991,          2.2907,       -119.7531,       -118.0197,       -110.3674,       -106.3427,        -92.3958,        -73.4158,       -120.3117,        -68.2973
,        0.083333,          2.7606,          2.0715,          2.4925,          2.6333,          2.5290,          2.1468,          2.1500,          2.4382,          2.3633,          2.0805,          2.1820,          2.0955,          2.2112,          2.8429,          2.3210,          2.2774,       -120.9903,       -119.0362,       -116.7793,       -115.0687,       -106.7457,       -102.1044,       -121.1766,       -104.5881
,        0.100000,          2.7507,          2.0555,          2.4667,          2.5862,          2.5273,          2.1792,          2.1525,          2.3581,          2.4316,          2.1661,          2.3091,          2.3845,          2.4481,          3.0600,          2.5015,          2.2710,       -121.0013,       -120.1212,       -119.1202,       -117.9213,       -113.9843,       -112.9146,       -121.3113,       -112.2681
,        0.116667,          2.7388,          2.0552,          2.4564,          2.5662,          2.5201,          2.1896,          2.1417,          2.3275,          2.4912,          2.2373,          2.3556,          2.4033,          2.4774,          3.1303,          2.5547,          2.2597,       -121.0884,       -120.6368,       -119.9991,       -119.2255,       -117.8466,       -116.2522,       -121.2615,       -115.6477
,        0.133333,          2.7351,          2.0553,          2.4525,          2.5528,          2.5135,          2.1891,          2.1382,          2.3284,          2.5194,          2.2560,          2.3598,          2.4008,          2.4847,          3.1723,          2.5850,          2.2543,       -121.2650,       -120.9677,       -120.5107,       -120.1372,       -119.3694,       -118.2842,       -121.3617,       -117.8935
,        0.150000,          2.7330,          2.0547,          2.4495,          2.5428,          2.5104,          2.1938,          2.1400,          2.3255,          2.5292,          2.2642,          2.3584,          2.3962,          2.4879,          3.1974,          2.6027,          2.2515,       -121.3548,       -121.1544,       -120.9143,       -120.7168,       -120.1753,       -119.4803,       -121.4035,       -119.2487
,        0.166667,          2.7315,          2.0551,          2.4471,          2.5379,          2.5107,          2.1975,          2.1402,          2.3223,          2.5349,          2.2702,          2.3574,          2.3942,          2.4905,          3.2116,          2.6135,          2.2498,       -121.3884,       -121.2759,       -121.1740,       -121.0317,       -120.6738,       -120.2506,       -121.4274,       -120.0905
,        0.183333,          2.7302,          2.0549,          2.4462,          2.5365,          2.5102,          2.1991,          2.1408,          2.3195,          2.5377,          2.2731,          2.3572,          2.3924,          2.4914,          3.2211,          2.6203,          2.2485,       -121.4139,       -121.3621,       -121.2901,       -121.1981,       -120.9921,       -120.7157,       -121.4369,       -120.6250
,        0.200000,          2.7299,          2.0550,          2.4457,          2.5351,          2.5097,          2.1993,          2.1403,          2.3180,          2.5398,          2.2748,          2.3565,          2.3914,          2.4920,          3.2270,          2.6246,          2.2479,       -121.4372,       -121.4033,       -121.3534,       -121.2902,       -121.1745,       -121.0062,       -121.4469,       -120.9480
,        0.216667,          2.7296,          2.0554,          2.4454,          2.5342,          2.5094,          2.1995,          2.1402,          2.3171,          2.5409,          2.2758,          2.3561,          2.3907,          2.4923,          3.2305,          2.6271,          2.2476,       -121.4499,       -121.4269,       -121.3964,       -121.3515,       -121.2838,       -121.1806,       -121.4523,       -121.1455
,        0.233333,          2.7295,          2.0555,          2.4451,          2.5335,          2.5091,          2.1996,          2.1401,          2.3166,          2.5415,          2.2764,          2.3559,          2.3903,          2.4925,          3.2326,          2.6286,          2.2474,       -121.4534,       -121.4387,       -121.4208,       -121.3889,       -121.3527,       -121.2891,       -121.4554,       -121.2663
,        0.250000,          2.7293,          2.0555,          2.4449,          2.5332,          2.5090,          2.1998,          2.1401,          2.3162,          2.5419,          2.2768,          2.3556,          2.3901,          2.4926,          3.2340,          2.6296,          2.2472,       -121.4549,       -121.4483,       -121.4404,       -121.4090,       -121.3936,       -121.3546,       -121.4578,       -121.3408
,        0.266667,          2.7293,          2.0554,          2.4448,          2.5330,          2.5090,          2.1996,          2.1399,          2.3159,          2.5422,          2.2770,          2.3556,          2.3900,          2.4927,          3.2348,          2.6302,          2.2472,       -121.4556,       -121.4512,       -121.4466,       -121.4252,       -121.4193,       -121.3964,       -121.4571,       -121.3876
,        0.283333,          2.7293,          2.0555,          2.4449,          2.5329,          2.5089,          2.1996,          2.1399,          2.3158,          2.5423,          2.2771,          2.3555,          2.3899,          2.4928,          3.2354,          2.6305,          2.2472,       -121.4584,       -121.4566,       -121.4511,       -121.4321,       -121.4359,       -121.4200,       -121.4593,       -121.4161
