"VanillaC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_021.tcf]","Time (h)","Q 2 [VanillaC4_021]","Q 3 [VanillaC4_021]","Q 4 [VanillaC4_021]","Q 5 [VanillaC4_021]","Q 6 [VanillaC4_021]","Q 7 [VanillaC4_021]","Q 1 [VanillaC4_021]","Q  8 [VanillaC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,          0.0000,        -93.1581,          0.0014
           3,        0.016667,        -82.2185,         -3.3846,         -0.0000,          0.0000,         -0.0000,         -0.0005,        -97.1066,          0.0009
           4,        0.025000,        -89.4288,        -68.0100,         -0.0000,          0.0000,         -0.0008,         -0.0003,        -97.2709,         -0.0011
           5,        0.033333,        -93.2356,        -81.3198,        -56.8895,        -12.6587,          0.0005,          0.0003,        -98.1337,         -0.0005
           6,        0.041667,        -95.3497,        -87.6998,        -73.4807,        -55.7346,         -0.0002,         -0.0002,        -98.6833,         -0.0014
           7,        0.050000,        -96.7063,        -91.3952,        -82.0939,        -70.7272,        -46.5893,         -0.0021,        -99.0562,          0.0004
           8,        0.058333,        -97.5988,        -93.7822,        -87.2002,        -79.3189,        -62.8831,        -48.5798,        -99.3088,          0.0000
           9,        0.066667,        -98.2221,        -95.3993,        -90.5849,        -84.8849,        -72.9336,        -65.1058,        -99.4870,        -54.2989
          10,        0.075000,        -98.6513,        -96.5292,        -92.9301,        -88.6835,        -79.8505,        -74.3147,        -99.6097,        -86.0262
          11,        0.083333,        -98.9725,        -97.3566,        -94.6237,        -91.3959,        -84.7339,        -83.9999,        -99.7038,        -93.2340
          12,        0.091667,        -99.2120,        -97.9631,        -95.8670,        -93.4417,        -88.3891,        -92.1672,        -99.7666,        -94.4162
          13,        0.100000,        -99.3861,        -98.4199,        -96.8102,        -94.9560,        -91.7518,        -94.5057,        -99.8231,        -94.8354
          14,        0.108333,        -99.5223,        -98.7705,        -97.5201,        -96.1022,        -94.6848,        -95.3827,        -99.8622,        -95.2547
          15,        0.116667,        -99.6255,        -99.0404,        -98.0727,        -96.9746,        -96.2725,        -96.0679,        -99.8924,        -95.7582
          16,        0.125000,        -99.7041,        -99.2485,        -98.4976,        -97.6677,        -97.1285,        -96.6605,        -99.9152,        -96.3295
          17,        0.133333,        -99.7676,        -99.4098,        -98.8272,        -98.2860,        -97.7238,        -97.2136,        -99.9329,        -96.8936
          18,        0.141667,        -99.8172,        -99.5349,        -99.0889,        -98.7574,        -98.1841,        -97.6968,        -99.9494,        -97.4199
          19,        0.150000,        -99.8568,        -99.6356,        -99.3105,        -99.0755,        -98.5422,        -98.1211,        -99.9575,        -97.8849
          20,        0.158333,        -99.8868,        -99.7146,        -99.4886,        -99.2912,        -98.8315,        -98.5840,        -99.9676,        -98.3552
          21,        0.166667,        -99.9105,        -99.7792,        -99.6166,        -99.4525,        -99.0621,        -98.7419,        -99.9746,        -98.5639
          22,        0.175000,        -99.9297,        -99.8333,        -99.7086,        -99.5719,        -99.2524,        -98.9942,        -99.9793,        -98.8841
          23,        0.183333,        -99.9462,        -99.8756,        -99.7750,        -99.6647,        -99.4127,        -99.1942,        -99.9851,        -99.0750
          24,        0.191667,        -99.9587,        -99.9053,        -99.8269,        -99.7374,        -99.5227,        -99.3637,        -99.9868,        -99.2658
          25,        0.200000,        -99.9689,        -99.9283,        -99.8652,        -99.7933,        -99.6175,        -99.4834,        -99.9889,        -99.4161
          26,        0.208333,        -99.9773,        -99.9457,        -99.8951,        -99.8376,        -99.6972,        -99.5922,        -99.9933,        -99.5377
          27,        0.216667,        -99.9825,        -99.9580,        -99.9177,        -99.8723,        -99.7605,        -99.6751,        -99.9944,        -99.6314
          28,        0.225000,        -99.9865,        -99.9679,        -99.9360,        -99.8994,        -99.8092,        -99.7463,        -99.9964,        -99.7081
          29,        0.233333,        -99.9903,        -99.9744,        -99.9495,        -99.9202,        -99.8493,        -99.7970,        -99.9974,        -99.7696
          30,        0.241667,        -99.9921,        -99.9797,        -99.9611,        -99.9368,        -99.8810,        -99.8400,        -99.9980,        -99.8169
          31,        0.250000,        -99.9939,        -99.9844,        -99.9685,        -99.9504,        -99.9054,        -99.8742,        -99.9992,        -99.8544
          32,        0.258333,        -99.9955,        -99.9875,        -99.9751,        -99.9603,        -99.9249,        -99.8988,        -99.9982,        -99.8844
          33,        0.266667,        -99.9964,        -99.9904,        -99.9806,        -99.9688,        -99.9407,        -99.9202,        -99.9992,        -99.9101
          34,        0.275000,        -99.9965,        -99.9922,        -99.9847,        -99.9756,        -99.9532,        -99.9374,        -99.9993,        -99.9282
          35,        0.283333,        -99.9969,        -99.9946,        -99.9877,        -99.9804,        -99.9632,        -99.9510,        -99.9998,        -99.9441
          36,        0.291667,        -99.9981,        -99.9956,        -99.9899,        -99.9840,        -99.9707,        -99.9626,       -100.0008,        -99.9550
          37,        0.300000,        -99.9984,        -99.9969,        -99.9927,        -99.9875,        -99.9771,        -99.9692,        -99.9998,        -99.9653
          38,        0.308333,        -99.9985,        -99.9972,        -99.9944,        -99.9907,        -99.9819,        -99.9746,       -100.0004,        -99.9711
          39,        0.316667,        -99.9990,        -99.9975,        -99.9953,        -99.9924,        -99.9850,        -99.9818,        -99.9997,        -99.9767
          40,        0.325000,        -99.9989,        -99.9979,        -99.9959,        -99.9943,        -99.9883,        -99.9872,        -99.9992,        -99.9827
          41,        0.333333,        -99.9990,        -99.9983,        -99.9971,        -99.9954,        -99.9909,        -99.9883,        -99.9995,        -99.9882
          42,        0.341667,        -99.9995,        -99.9990,        -99.9979,        -99.9959,        -99.9932,        -99.9900,       -100.0001,        -99.9893
