"VanillaC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_021.tcf]","Time (h)","V 2 [VanillaC4_021]","V 3 [VanillaC4_021]","V 4 [VanillaC4_021]","V 5 [VanillaC4_021]","V 6 [VanillaC4_021]","V 7 [VanillaC4_021]","V 8 [VanillaC4_021]","V 9 [VanillaC4_021]","V 10 [VanillaC4_021]","V 11 [VanillaC4_021]","V 12 [VanillaC4_021]","V 13 [VanillaC4_021]","V 14 [VanillaC4_021]","V 15 [VanillaC4_021]","V 16 [VanillaC4_021]","V  1 [VanillaC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.6426,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.7467
           3,        0.016667,          2.9587,          2.6329,          3.1823,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.8389
           4,        0.025000,          2.6769,          2.4098,          2.8048,          2.8454,          2.8391,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          2.6537
           5,        0.033333,          2.5632,          2.3169,          2.6417,          2.6702,          2.7265,          2.1553,          1.7074,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          2.5551
           6,        0.041667,          2.4936,          2.2594,          2.5504,          2.5667,          2.6231,          2.2087,          2.0417,          1.6797,          0.7204,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.4903
           7,        0.050000,          2.4458,          2.2216,          2.4930,          2.5006,          2.5505,          2.1907,          2.1273,          1.9276,          1.6517,          1.3557,          0.3139,          0.0001,          0.0001,          0.0001,          0.0001,          2.4461
           8,        0.058333,          2.4126,          2.1950,          2.4525,          2.4564,          2.5010,          2.1691,          2.1387,          2.0325,          1.8468,          1.6521,          1.2849,          1.1614,          1.0443,          0.2984,          0.0000,          2.4144
           9,        0.066667,          2.3883,          2.1753,          2.4235,          2.4247,          2.4658,          2.1507,          2.1375,          2.0692,          1.9433,          1.8100,          1.4479,          1.4263,          1.3864,          1.1269,          0.9099,          2.3918
          10,        0.075000,          2.3706,          2.1605,          2.4018,          2.4013,          2.4400,          2.1354,          2.1312,          2.0890,          1.9993,          1.8966,          1.5542,          1.5754,          1.6107,          1.4740,          1.7665,          2.3751
          11,        0.083333,          2.3573,          2.1494,          2.3853,          2.3834,          2.4204,          2.1243,          2.1270,          2.0999,          2.0329,          1.9533,          1.6380,          1.7064,          1.8697,          1.9835,          1.9575,          2.3627
          12,        0.091667,          2.3470,          2.1409,          2.3727,          2.3697,          2.4057,          2.1148,          2.1223,          2.1061,          2.0563,          1.9908,          1.7580,          1.9364,          2.1325,          2.1236,          2.0437,          2.3530
          13,        0.100000,          2.3390,          2.1341,          2.3630,          2.3592,          2.3942,          2.1077,          2.1194,          2.1100,          2.0714,          2.0381,          1.9025,          2.0670,          2.2266,          2.1704,          2.0775,          2.3457
          14,        0.108333,          2.3328,          2.1288,          2.3555,          2.3511,          2.3854,          2.1025,          2.1167,          2.1129,          2.0920,          2.1094,          1.9686,          2.1057,          2.2600,          2.1911,          2.0935,          2.3401
          15,        0.116667,          2.3281,          2.1246,          2.3496,          2.3448,          2.3787,          2.0986,          2.1144,          2.1166,          2.1271,          2.1544,          1.9904,          2.1248,          2.2776,          2.2048,          2.1066,          2.3356
          16,        0.125000,          2.3243,          2.1214,          2.3450,          2.3398,          2.3735,          2.0956,          2.1131,          2.1283,          2.1518,          2.1741,          2.0017,          2.1349,          2.2883,          2.2152,          2.1187,          2.3322
          17,        0.133333,          2.3214,          2.1188,          2.3414,          2.3360,          2.3695,          2.0931,          2.1142,          2.1401,          2.1638,          2.1831,          2.0082,          2.1418,          2.2962,          2.2243,          2.1298,          2.3295
          18,        0.141667,          2.3191,          2.1169,          2.3386,          2.3330,          2.3664,          2.0915,          2.1180,          2.1467,          2.1691,          2.1881,          2.0127,          2.1470,          2.3023,          2.2323,          2.1399,          2.3275
          19,        0.150000,          2.3173,          2.1154,          2.3364,          2.3307,          2.3642,          2.0915,          2.1209,          2.1497,          2.1719,          2.1910,          2.0162,          2.1513,          2.3073,          2.2390,          2.1486,          2.3256
          20,        0.158333,          2.3159,          2.1142,          2.3347,          2.3290,          2.3631,          2.0922,          2.1224,          2.1511,          2.1736,          2.1928,          2.0189,          2.1557,          2.3230,          2.2601,          2.1561,          2.3243
          21,        0.166667,          2.3148,          2.1132,          2.3335,          2.3280,          2.3627,          2.0926,          2.1230,          2.1519,          2.1745,          2.1940,          2.0221,          2.1613,          2.3156,          2.2492,          2.1936,          2.3233
          22,        0.175000,          2.3139,          2.1125,          2.3325,          2.3274,          2.3624,          2.0927,          2.1232,          2.1521,          2.1750,          2.1950,          2.0249,          2.1605,          2.3173,          2.2534,          2.1664,          2.3226
          23,        0.183333,          2.3132,          2.1119,          2.3319,          2.3270,          2.3621,          2.0927,          2.1233,          2.1522,          2.1755,          2.1962,          2.0241,          2.1616,          2.3196,          2.2564,          2.1708,          2.3218
          24,        0.191667,          2.3127,          2.1116,          2.3316,          2.3266,          2.3618,          2.0926,          2.1232,          2.1523,          2.1759,          2.1963,          2.0255,          2.1635,          2.3214,          2.2585,          2.1743,          2.3213
          25,        0.200000,          2.3123,          2.1113,          2.3313,          2.3264,          2.3614,          2.0924,          2.1230,          2.1524,          2.1760,          2.1965,          2.0266,          2.1643,          2.3225,          2.2607,          2.1770,          2.3210
          26,        0.208333,          2.3120,          2.1112,          2.3310,          2.3261,          2.3612,          2.0922,          2.1229,          2.1523,          2.1760,          2.1969,          2.0272,          2.1652,          2.3237,          2.2624,          2.1793,          2.3207
          27,        0.216667,          2.3118,          2.1110,          2.3308,          2.3259,          2.3610,          2.0921,          2.1229,          2.1522,          2.1761,          2.1971,          2.0277,          2.1661,          2.3245,          2.2637,          2.1810,          2.3205
          28,        0.225000,          2.3117,          2.1109,          2.3306,          2.3257,          2.3608,          2.0920,          2.1228,          2.1522,          2.1761,          2.1972,          2.0281,          2.1667,          2.3252,          2.2649,          2.1825,          2.3204
          29,        0.233333,          2.3116,          2.1108,          2.3305,          2.3255,          2.3607,          2.0919,          2.1227,          2.1522,          2.1761,          2.1973,          2.0285,          2.1672,          2.3259,          2.2657,          2.1836,          2.3203
          30,        0.241667,          2.3115,          2.1107,          2.3304,          2.3254,          2.3605,          2.0918,          2.1226,          2.1521,          2.1762,          2.1975,          2.0288,          2.1676,          2.3263,          2.2663,          2.1844,          2.3202
          31,        0.250000,          2.3114,          2.1106,          2.3303,          2.3253,          2.3604,          2.0918,          2.1225,          2.1521,          2.1762,          2.1975,          2.0290,          2.1677,          2.3267,          2.2668,          2.1852,          2.3201
          32,        0.258333,          2.3114,          2.1106,          2.3302,          2.3253,          2.3603,          2.0917,          2.1225,          2.1521,          2.1762,          2.1976,          2.0293,          2.1681,          2.3269,          2.2673,          2.1857,          2.3200
          33,        0.266667,          2.3112,          2.1106,          2.3301,          2.3252,          2.3603,          2.0917,          2.1225,          2.1521,          2.1762,          2.1977,          2.0294,          2.1683,          2.3271,          2.2676,          2.1861,          2.3200
          34,        0.275000,          2.3113,          2.1105,          2.3301,          2.3251,          2.3602,          2.0916,          2.1224,          2.1520,          2.1762,          2.1977,          2.0295,          2.1685,          2.3273,          2.2678,          2.1865,          2.3199
          35,        0.283333,          2.3112,          2.1105,          2.3300,          2.3251,          2.3601,          2.0916,          2.1224,          2.1520,          2.1762,          2.1977,          2.0296,          2.1686,          2.3274,          2.2681,          2.1868,          2.3199
          36,        0.291667,          2.3112,          2.1105,          2.3300,          2.3251,          2.3601,          2.0916,          2.1224,          2.1521,          2.1763,          2.1978,          2.0296,          2.1686,          2.3275,          2.2682,          2.1870,          2.3199
          37,        0.300000,          2.3112,          2.1105,          2.3300,          2.3250,          2.3601,          2.0916,          2.1224,          2.1520,          2.1762,          2.1978,          2.0297,          2.1687,          2.3277,          2.2683,          2.1871,          2.3198
          38,        0.308333,          2.3111,          2.1104,          2.3300,          2.3250,          2.3601,          2.0915,          2.1224,          2.1520,          2.1762,          2.1978,          2.0297,          2.1687,          2.3278,          2.2684,          2.1873,          2.3199
          39,        0.316667,          2.3111,          2.1104,          2.3300,          2.3250,          2.3600,          2.0915,          2.1224,          2.1521,          2.1762,          2.1978,          2.0298,          2.1687,          2.3279,          2.2686,          2.1874,          2.3198
          40,        0.325000,          2.3112,          2.1105,          2.3300,          2.3250,          2.3600,          2.0915,          2.1223,          2.1520,          2.1762,          2.1978,          2.0298,          2.1689,          2.3279,          2.2686,          2.1875,          2.3198
          41,        0.333333,          2.3111,          2.1104,          2.3299,          2.3250,          2.3600,          2.0915,          2.1223,          2.1520,          2.1762,          2.1978,          2.0298,          2.1689,          2.3279,          2.2687,          2.1876,          2.3198
          42,        0.341667,          2.3112,          2.1104,          2.3299,          2.3250,          2.3600,          2.0915,          2.1223,          2.1520,          2.1762,          2.1978,          2.0299,          2.1690,          2.3278,          2.2687,          2.1876,          2.3198
