"OutphaseC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_012.tcf]","Time (h)","Q 2 [OutphaseC4_012]","Q 3 [OutphaseC4_012]","Q 4 [OutphaseC4_012]","Q 5 [OutphaseC4_012]","Q 6 [OutphaseC4_012]","Q 7 [OutphaseC4_012]","Q 1 [OutphaseC4_012]","Q  8 [OutphaseC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.5224,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9003,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.0847,          0.0000
           5,        0.033333,         -1.4039,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3805,          0.0000
           6,        0.041667,         -4.1431,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.4830,          0.0000
           7,        0.050000,         -6.6440,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -9.9134,          0.0000
           8,        0.058333,         -8.7451,         -3.8300,          0.0000,          0.0000,          0.0000,          0.0000,        -11.3493,          0.0000
           9,        0.066667,        -10.4954,         -4.0883,          0.0000,          0.0000,          0.0000,          0.0000,        -12.2088,          0.0000
          10,        0.075000,        -11.7127,         -4.9846,          0.0000,          0.0000,          0.0000,          0.0000,        -13.0946,          0.0000
          11,        0.083333,        -12.7041,         -5.6836,          0.0000,          0.0000,          0.0000,          0.0000,        -13.6369,          0.0000
          12,        0.091667,        -13.3761,         -5.9994,          0.0000,          0.0000,          0.0000,          0.0000,        -14.0526,          0.0000
          13,        0.100000,        -13.8541,         -6.5386,          0.0000,          0.0000,          0.0000,          0.0000,        -14.3928,          0.0000
          14,        0.108333,        -14.2094,         -6.8468,         -0.0019,          0.0000,          0.0000,          0.0000,        -14.5077,          0.0000
          15,        0.116667,        -14.4220,         -7.3329,         -0.9198,          0.0000,          0.0000,          0.0000,        -14.7331,          0.0000
          16,        0.125000,        -14.6305,         -7.9629,         -1.9321,          0.0000,          0.0000,          0.0000,        -14.6589,          0.0000
          17,        0.133333,        -14.7131,         -8.5443,         -3.0988,         -0.8468,          0.0000,          0.0000,        -14.8747,          0.0000
          18,        0.141667,        -14.8261,         -9.2109,         -4.3116,         -2.6827,          0.0000,          0.0000,        -14.9029,          0.0000
