"VanillaC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_020.tcf]","Time (h)","Q 2 [VanillaC4_020]","Q 3 [VanillaC4_020]","Q 4 [VanillaC4_020]","Q 5 [VanillaC4_020]","Q 6 [VanillaC4_020]","Q 7 [VanillaC4_020]","Q 1 [VanillaC4_020]","Q  8 [VanillaC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -13.2305,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -79.3781,          0.0017
           3,        0.016667,        -70.8264,         -6.8864,          0.0000,          0.0000,          0.0000,          0.0012,        -85.2776,          0.0027
           4,        0.025000,        -79.4451,        -59.1703,          0.0000,          0.0000,          0.0000,          0.0016,        -86.8080,         -0.0014
           5,        0.033333,        -83.2715,        -72.0458,        -47.6112,         -0.0000,         -0.0014,         -0.0007,        -87.8822,          0.0004
           6,        0.041667,        -85.4387,        -78.3040,        -64.2936,        -45.5667,          0.0010,         -0.0008,        -88.5704,          0.0005
           7,        0.050000,        -86.7822,        -81.9088,        -72.8358,        -60.8800,        -33.4410,         -0.0006,        -88.9531,          0.0003
           8,        0.058333,        -87.6752,        -84.1555,        -77.8887,        -69.9121,        -51.8913,        -40.0893,        -89.2479,         -0.0008
           9,        0.066667,        -88.2827,        -85.6804,        -81.1232,        -75.4808,        -62.4964,        -53.5590,        -89.4469,        -47.0117
          10,        0.075000,        -88.7173,        -86.7670,        -83.3736,        -79.1959,        -69.6932,        -63.5830,        -89.5929,        -67.7770
          11,        0.083333,        -89.0234,        -87.5403,        -84.9697,        -81.8368,        -74.7937,        -71.4161,        -89.6839,        -81.9320
          12,        0.091667,        -89.2541,        -88.1125,        -86.1486,        -83.7631,        -78.4809,        -80.6821,        -89.7604,        -83.6754
          13,        0.100000,        -89.4244,        -88.5429,        -87.0233,        -85.2021,        -81.4165,        -84.0172,        -89.8127,        -84.3508
          14,        0.108333,        -89.5542,        -88.8627,        -87.6918,        -86.2972,        -84.3229,        -85.0615,        -89.8592,        -84.9031
          15,        0.116667,        -89.6518,        -89.1128,        -88.1992,        -87.1323,        -86.1165,        -85.8415,        -89.8878,        -85.5059
          16,        0.125000,        -89.7272,        -89.3052,        -88.5933,        -87.7666,        -87.0567,        -86.5212,        -89.9159,        -86.1393
          17,        0.133333,        -89.7861,        -89.4577,        -88.9026,        -88.3194,        -87.6675,        -87.1112,        -89.9311,        -86.7597
          18,        0.141667,        -89.8314,        -89.5729,        -89.1445,        -88.7731,        -88.1435,        -87.6225,        -89.9478,        -87.3183
          19,        0.150000,        -89.8678,        -89.6646,        -89.3452,        -89.0904,        -88.5179,        -88.0674,        -89.9586,        -87.8091
          20,        0.158333,        -89.8972,        -89.7379,        -89.5119,        -89.3065,        -88.8180,        -88.4374,        -89.9686,        -88.2241
          21,        0.166667,        -89.9174,        -89.7966,        -89.6336,        -89.4646,        -89.0587,        -88.7482,        -89.9734,        -88.5701
          22,        0.175000,        -89.9356,        -89.8449,        -89.7219,        -89.5849,        -89.2519,        -88.9975,        -89.9792,        -88.8549
          23,        0.183333,        -89.9501,        -89.8830,        -89.7864,        -89.6754,        -89.4068,        -89.2042,        -89.9844,        -89.0864
          24,        0.191667,        -89.9612,        -89.9119,        -89.8347,        -89.7466,        -89.5300,        -89.3670,        -89.9886,        -89.2740
          25,        0.200000,        -89.9709,        -89.9328,        -89.8721,        -89.8012,        -89.6283,        -89.4972,        -89.9902,        -89.4224
          26,        0.208333,        -89.9781,        -89.9482,        -89.9006,        -89.8444,        -89.7068,        -89.5986,        -89.9924,        -89.5413
          27,        0.216667,        -89.9835,        -89.9603,        -89.9222,        -89.8777,        -89.7685,        -89.6828,        -89.9940,        -89.6365
          28,        0.225000,        -89.9874,        -89.9692,        -89.9396,        -89.9045,        -89.8176,        -89.7523,        -89.9957,        -89.7121
          29,        0.233333,        -89.9898,        -89.9760,        -89.9528,        -89.9247,        -89.8561,        -89.8037,        -89.9977,        -89.7733
          30,        0.241667,        -89.9928,        -89.9824,        -89.9626,        -89.9403,        -89.8863,        -89.8450,        -89.9974,        -89.8204
          31,        0.250000,        -89.9947,        -89.9855,        -89.9706,        -89.9536,        -89.9105,        -89.8762,        -89.9977,        -89.8575
          32,        0.258333,        -89.9956,        -89.9883,        -89.9772,        -89.9635,        -89.9298,        -89.9034,        -89.9985,        -89.8883
          33,        0.266667,        -89.9964,        -89.9907,        -89.9822,        -89.9714,        -89.9442,        -89.9254,        -89.9988,        -89.9118
          34,        0.275000,        -89.9971,        -89.9934,        -89.9862,        -89.9772,        -89.9566,        -89.9397,        -89.9992,        -89.9303
          35,        0.283333,        -89.9976,        -89.9944,        -89.9887,        -89.9817,        -89.9657,        -89.9531,        -89.9988,        -89.9450
          36,        0.291667,        -89.9984,        -89.9956,        -89.9915,        -89.9859,        -89.9727,        -89.9641,        -89.9998,        -89.9572
          37,        0.300000,        -89.9990,        -89.9965,        -89.9927,        -89.9889,        -89.9785,        -89.9691,        -89.9994,        -89.9663
          38,        0.308333,        -89.9989,        -89.9976,        -89.9951,        -89.9915,        -89.9832,        -89.9748,        -89.9997,        -89.9739
          39,        0.316667,        -89.9990,        -89.9975,        -89.9958,        -89.9931,        -89.9864,        -89.9833,        -90.0003,        -89.9788
          40,        0.325000,        -89.9990,        -89.9983,        -89.9963,        -89.9950,        -89.9896,        -89.9864,        -90.0001,        -89.9825
          41,        0.333333,        -90.0001,        -89.9986,        -89.9973,        -89.9959,        -89.9918,        -89.9902,        -89.9995,        -89.9870
          42,        0.341667,        -89.9992,        -89.9991,        -89.9977,        -89.9967,        -89.9935,        -89.9897,        -89.9997,        -89.9899
          43,        0.350000,        -89.9996,        -89.9991,        -89.9980,        -89.9969,        -89.9945,        -89.9941,        -90.0001,        -89.9925
          44,        0.358333,        -89.9996,        -89.9995,        -89.9988,        -89.9976,        -89.9958,        -89.9948,        -90.0003,        -89.9933
          45,        0.366667,        -89.9996,        -89.9994,        -89.9993,        -89.9982,        -89.9964,        -89.9951,        -89.9999,        -89.9948
          46,        0.375000,        -89.9995,        -89.9993,        -89.9989,        -89.9987,        -89.9971,        -89.9954,        -89.9997,        -89.9965
          47,        0.383333,        -89.9994,        -89.9996,        -89.9993,        -89.9985,        -89.9977,        -89.9981,        -89.9998,        -89.9964
          48,        0.391667,        -89.9997,        -89.9999,        -89.9992,        -89.9991,        -89.9984,        -89.9974,        -89.9994,        -89.9973
          49,        0.400000,        -89.9994,        -89.9997,        -90.0000,        -89.9993,        -89.9987,        -89.9984,        -89.9999,        -89.9987
          50,        0.408333,        -89.9999,        -89.9998,        -89.9996,        -89.9993,        -89.9993,        -90.0022,        -90.0000,        -89.9973
          51,        0.416667,        -89.9998,        -89.9994,        -89.9997,        -89.9995,        -89.9987,        -89.9978,        -90.0000,        -89.9991
          52,        0.425000,        -90.0001,        -89.9998,        -89.9992,        -89.9998,        -89.9994,        -89.9987,        -90.0000,        -89.9985
          53,        0.433333,        -90.0004,        -89.9997,        -89.9998,        -89.9995,        -89.9995,        -89.9992,        -90.0002,        -89.9986
          54,        0.441667,        -90.0003,        -89.9996,        -89.9998,        -89.9996,        -89.9998,        -89.9988,        -90.0001,        -89.9994
          55,        0.450000,        -89.9999,        -89.9998,        -89.9997,        -89.9994,        -89.9995,        -90.0016,        -89.9997,        -90.0001
          56,        0.458333,        -90.0000,        -90.0002,        -90.0000,        -90.0000,        -89.9997,        -90.0005,        -90.0002,        -89.9986
          57,        0.466667,        -89.9997,        -89.9996,        -90.0000,        -89.9995,        -89.9998,        -90.0004,        -90.0000,        -89.9992
          58,        0.475000,        -89.9996,        -89.9996,        -89.9997,        -89.9998,        -90.0001,        -89.9984,        -90.0000,        -89.9999
          59,        0.483333,        -90.0000,        -90.0001,        -89.9997,        -90.0003,        -89.9998,        -89.9989,        -89.9996,        -89.9985
          60,        0.491667,        -90.0001,        -89.9999,        -90.0005,        -89.9999,        -89.9998,        -90.0007,        -90.0001,        -90.0000
          61,        0.500000,        -90.0001,        -90.0002,        -89.9997,        -90.0002,        -89.9997,        -90.0009,        -90.0001,        -89.9992
          62,        0.508333,        -90.0003,        -90.0003,        -90.0001,        -90.0003,        -89.9997,        -90.0009,        -90.0004,        -90.0003
          63,        0.516667,        -89.9998,        -89.9999,        -90.0001,        -90.0004,        -89.9995,        -90.0016,        -90.0007,        -90.0006
          64,        0.525000,        -90.0002,        -89.9999,        -90.0000,        -89.9998,        -90.0007,        -89.9993,        -90.0000,        -89.9995
          65,        0.533333,        -90.0004,        -90.0002,        -90.0000,        -90.0001,        -89.9991,        -90.0024,        -89.9996,        -89.9999
          66,        0.541667,        -90.0002,        -90.0000,        -90.0000,        -89.9998,        -90.0000,        -90.0006,        -90.0000,        -89.9993
