"VanillaC4_001","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_001.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\results\001\VanillaC4_001_POMM.csv","Maximum (Extracted from Time Series)",          0.6307,          0.0000,          0.4956,          0.4701,          0.5395,          0.0000,          0.0000,          0.0000,          0.0000,          0.1630,          0.0000,          0.1625,          0.5799,          0.5560,          0.5531,          0.6295,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002
"","Time of Maximum",          0.0333,          0.0000,          0.1333,          1.4333,          0.1750,          0.0000,          0.0000,          0.0000,          0.0000,          3.7667,          0.0000,          4.4917,          0.3833,          5.3500,          1.9750,          0.0167,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.1333
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0001,         -1.0002,         -1.0002,         -1.0002,         -1.0002,         -1.0001,         -1.0001,         -1.0002
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.5750,          2.1917,          0.8167,          3.7583,          1.6250,          5.7333,          1.9500,          1.8750
