"OutphaseC4_008 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_008.tcf]","Time (h)","Q 2 [OutphaseC4_008]","Q 3 [OutphaseC4_008]","Q 4 [OutphaseC4_008]","Q 5 [OutphaseC4_008]","Q 6 [OutphaseC4_008]","Q 7 [OutphaseC4_008]","Q 1 [OutphaseC4_008]","Q  8 [OutphaseC4_008]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.5344,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4367,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8613,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.5485,          0.0000
           7,        0.050000,         -0.3948,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.1150,          0.0000
           8,        0.058333,         -1.5045,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8712,          0.0000
           9,        0.066667,         -2.5758,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6015,          0.0000
          10,        0.075000,         -3.5710,         -0.5360,          0.0000,          0.0000,          0.0000,          0.0000,         -5.2049,          0.0000
          11,        0.083333,         -4.4660,         -1.6205,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8579,          0.0000
          12,        0.091667,         -5.2221,         -1.8002,          0.0000,          0.0000,          0.0000,          0.0000,         -6.2580,          0.0000
          13,        0.100000,         -5.8477,         -2.2342,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7066,          0.0000
          14,        0.108333,         -6.3360,         -2.5288,          0.0000,          0.0000,          0.0000,          0.0000,         -6.9942,          0.0000
          15,        0.116667,         -6.7361,         -2.7202,          0.0000,          0.0000,          0.0000,          0.0000,         -7.2264,          0.0000
          16,        0.125000,         -7.0285,         -2.9556,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4341,          0.0000
          17,        0.133333,         -7.2725,         -3.0926,          0.0000,          0.0000,          0.0000,          0.0000,         -7.5279,          0.0000
          18,        0.141667,         -7.4423,         -3.2404,          0.0000,          0.0000,          0.0000,          0.0000,         -7.6814,          0.0000
          19,        0.150000,         -7.5858,         -3.3624,          0.0000,          0.0000,          0.0000,          0.0000,         -7.7458,          0.0000
          20,        0.158333,         -7.6801,         -3.4770,          0.0000,          0.0000,          0.0000,          0.0000,         -7.7927,          0.0000
          21,        0.166667,         -7.7642,         -3.6107,          0.0000,          0.0000,          0.0000,          0.0000,         -7.8677,          0.0000
          22,        0.175000,         -7.8202,         -3.7608,         -0.1642,          0.0000,          0.0000,          0.0000,         -7.8917,          0.0000
          23,        0.183333,         -7.8684,         -3.9423,         -0.5036,          0.0000,          0.0000,          0.0000,         -7.9388,          0.0000
          24,        0.191667,         -7.9047,         -4.1812,         -0.8972,          0.0000,          0.0000,          0.0000,         -7.9162,          0.0000
          25,        0.200000,         -7.9235,         -4.4132,         -1.3415,         -0.0002,          0.0000,          0.0000,         -7.9587,          0.0000
          26,        0.208333,         -7.9468,         -4.6688,         -1.8184,         -0.9539,          0.0000,          0.0000,         -7.9765,          0.0000
          27,        0.216667,         -7.9520,         -4.9414,         -2.3104,         -1.5136,          0.0000,          0.0000,         -7.9676,          0.0000
