Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.00,      0.00
Found 2D domains                                  ,      0.27,      0.27
Start 2D BC Array Sizes Domain_001                ,      0.28,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.30,      0.01
Start Estry Setup s0                              ,      0.30,      0.00
End Estry Setup s0                                ,      0.30,      0.00
Start TUFLOW Setup s2                             ,      0.30,      0.00
End TUFLOW Setup s2                               ,      0.47,      0.16
Reading Geometry File Domain_001                  ,      0.50,      0.04
Start Read Grid Read GRID Zpts                    ,      0.51,      0.00
End Read Grid Read GRID Zpts                      ,      0.51,      0.00
Start Read Read GIS Code                          ,      0.52,      0.00
End Read Read GIS Code                            ,      0.53,      0.01
Finished Reading Geometry File Domain_001         ,      0.53,      0.00
Start Read input file (stage 2) Domain_001        ,      0.53,      0.00
End Read input file (stage 2) Domain_001          ,      0.60,      0.08
Identifying cells within user defined output zones,      0.60,      0.00
Finished Identifying cells within user defined out,      0.61,      0.00
Setting instability water levels Domain_001       ,      0.61,      0.00
Finished Setting instability water levels Domain_0,      0.61,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.61,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.61,      0.00
Start Reading Input File (Stage 3)                ,      0.61,      0.00
End Reading Input File (Stage 3)                  ,      0.61,      0.00
Reading Boundary File Domain_001                  ,      0.61,      0.00
Finished Reading Boundary File Domain_001         ,      0.68,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      0.69,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.70,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.70,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.73,      0.02
Start Writing _grd_check                          ,      0.75,      0.02
End Writing _grd_check                            ,      4.96,      4.21
Start Writing _zpt_check                          ,      4.96,      0.00
End Writing _zpt_check                            ,     15.22,     10.26
Start Writing _uvpt_check                         ,     15.22,      0.00
End Writing _uvpt_check                           ,     22.20,      6.98
Start Writing check DEMs                          ,     22.65,      0.46
Start Calculating grid interpolation factors      ,     22.66,      0.00
End Calculating grid interpolation factors        ,     22.68,      0.02
End Writing check DEMs                            ,     22.77,      0.09
Start Calculating grid interpolation factors      ,     22.77,      0.00
End Calculating grid interpolation factors        ,     22.79,      0.02
Starting Simulation                               ,     22.81,      0.02
Summary File Close                                ,     22.81,      0.00
