"VanillaC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_004.tcf]","Time (h)","V 2 [VanillaC4_004]","V 3 [VanillaC4_004]","V 4 [VanillaC4_004]","V 5 [VanillaC4_004]","V 6 [VanillaC4_004]","V 7 [VanillaC4_004]","V 8 [VanillaC4_004]","V 9 [VanillaC4_004]","V 10 [VanillaC4_004]","V 11 [VanillaC4_004]","V 12 [VanillaC4_004]","V 13 [VanillaC4_004]","V 14 [VanillaC4_004]","V 15 [VanillaC4_004]","V 16 [VanillaC4_004]","V  1 [VanillaC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9451
           3,        0.016667,          0.1155,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0120
           4,        0.025000,          1.0105,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.9505
           5,        0.033333,          0.9721,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.9197
           6,        0.041667,          0.9375,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.8997
           7,        0.050000,          0.9205,          0.2235,          0.8286,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.8892
           8,        0.058333,          0.9094,          0.2862,          0.8455,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.8824
           9,        0.066667,          0.9027,          0.3157,          0.8413,          0.7801,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.8777
          10,        0.075000,          0.8979,          0.3329,          0.8373,          0.8040,          0.3212,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0003,          0.8746
          11,        0.083333,          0.8946,          0.3390,          0.8331,          0.8094,          0.8689,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.8726
          12,        0.091667,          0.8923,          0.3427,          0.8294,          0.8079,          0.8728,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8710
          13,        0.100000,          0.8906,          0.3452,          0.8267,          0.8068,          0.8702,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0003,          0.8701
          14,        0.108333,          0.8896,          0.3471,          0.8250,          0.8052,          0.8675,          0.0594,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.8694
          15,        0.116667,          0.8887,          0.3484,          0.8236,          0.8040,          0.8647,          0.2137,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.8689
          16,        0.125000,          0.8881,          0.3493,          0.8225,          0.8032,          0.8622,          0.2696,          0.1565,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.8685
          17,        0.133333,          0.8877,          0.3499,          0.8216,          0.8023,          0.8601,          0.3009,          0.2882,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.8683
