"VanillaC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_016.tcf]","Time (h)","V 2 [VanillaC4_016]","V 3 [VanillaC4_016]","V 4 [VanillaC4_016]","V 5 [VanillaC4_016]","V 6 [VanillaC4_016]","V 7 [VanillaC4_016]","V 8 [VanillaC4_016]","V 9 [VanillaC4_016]","V 10 [VanillaC4_016]","V 11 [VanillaC4_016]","V 12 [VanillaC4_016]","V 13 [VanillaC4_016]","V 14 [VanillaC4_016]","V 15 [VanillaC4_016]","V 16 [VanillaC4_016]","V  1 [VanillaC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.9585,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.7131
           3,        0.016667,          2.3541,          1.8591,          2.3051,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          2.2100
           4,        0.025000,          2.1663,          1.7784,          2.2340,          2.2067,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          2.0595
           5,        0.033333,          2.0702,          1.7394,          2.1186,          2.1318,          2.2143,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          1.9806
           6,        0.041667,          2.0156,          1.6827,          2.0646,          2.0596,          2.1347,          1.5728,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.9423
           7,        0.050000,          1.9780,          1.6748,          2.0040,          2.0079,          2.0752,          1.6486,          1.5988,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          1.9029
           8,        0.058333,          1.9531,          1.6594,          1.9710,          1.9740,          2.0340,          1.6527,          1.6699,          1.5849,          1.0908,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.8810
           9,        0.066667,          1.9359,          1.6470,          1.9494,          1.9480,          2.0037,          1.6452,          1.6796,          1.6782,          1.4939,          1.1423,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          1.8658
          10,        0.075000,          1.9231,          1.6383,          1.9329,          1.9296,          1.9808,          1.6403,          1.6787,          1.6953,          1.6285,          1.4506,          0.9342,          0.7770,          0.0831,          0.0001,          0.0001,          1.8552
          11,        0.083333,          1.9138,          1.6315,          1.9204,          1.9159,          1.9643,          1.6328,          1.6707,          1.6957,          1.6696,          1.5763,          1.0952,          1.0984,          1.0346,          0.6661,          0.0001,          1.8475
          12,        0.091667,          1.9070,          1.6262,          1.9111,          1.9052,          1.9516,          1.6261,          1.6644,          1.6931,          1.6852,          1.6301,          1.2245,          1.2585,          1.3131,          0.9850,          0.7692,          1.8418
          13,        0.100000,          1.9018,          1.6227,          1.9040,          1.8970,          1.9415,          1.6209,          1.6596,          1.6888,          1.6886,          1.6565,          1.3022,          1.3656,          1.4587,          1.2905,          1.4003,          1.8375
          14,        0.108333,          1.8980,          1.6197,          1.8985,          1.8907,          1.9337,          1.6167,          1.6546,          1.6836,          1.6893,          1.6704,          1.3524,          1.4358,          1.6087,          1.6393,          1.5532,          1.8343
          15,        0.116667,          1.8950,          1.6174,          1.8945,          1.8857,          1.9275,          1.6129,          1.6504,          1.6799,          1.6899,          1.6780,          1.3992,          1.5838,          1.7828,          1.7224,          1.6269,          1.8319
          16,        0.125000,          1.8928,          1.6157,          1.8914,          1.8821,          1.9226,          1.6099,          1.6467,          1.6767,          1.6891,          1.6820,          1.4821,          1.6504,          1.8303,          1.7636,          1.6687,          1.8301
          17,        0.133333,          1.8910,          1.6143,          1.8889,          1.8791,          1.9188,          1.6074,          1.6437,          1.6739,          1.6879,          1.7014,          1.5122,          1.6747,          1.8566,          1.7899,          1.7002,          1.8286
          18,        0.141667,          1.8897,          1.6132,          1.8870,          1.8768,          1.9160,          1.6057,          1.6413,          1.6716,          1.6918,          1.7177,          1.5252,          1.6884,          1.8721,          1.8093,          1.7267,          1.8276
          19,        0.150000,          1.8887,          1.6124,          1.8856,          1.8751,          1.9138,          1.6042,          1.6393,          1.6704,          1.6980,          1.7238,          1.5328,          1.6971,          1.8822,          1.8243,          1.7486,          1.8267
          20,        0.158333,          1.8879,          1.6117,          1.8844,          1.8736,          1.9120,          1.6030,          1.6380,          1.6717,          1.7003,          1.7268,          1.5379,          1.7036,          1.8895,          1.8365,          1.7664,          1.8260
          21,        0.166667,          1.8873,          1.6113,          1.8834,          1.8725,          1.9105,          1.6020,          1.6375,          1.6725,          1.7015,          1.7285,          1.5415,          1.7080,          1.8946,          1.8460,          1.7806,          1.8255
          22,        0.175000,          1.8868,          1.6108,          1.8827,          1.8716,          1.9095,          1.6013,          1.6375,          1.6728,          1.7021,          1.7296,          1.5442,          1.7114,          1.8986,          1.8528,          1.7917,          1.8251
          23,        0.183333,          1.8864,          1.6105,          1.8822,          1.8709,          1.9086,          1.6009,          1.6373,          1.6728,          1.7024,          1.7304,          1.5464,          1.7141,          1.9017,          1.8586,          1.8004,          1.8248
          24,        0.191667,          1.8861,          1.6103,          1.8817,          1.8703,          1.9080,          1.6007,          1.6371,          1.6727,          1.7025,          1.7308,          1.5481,          1.7162,          1.9043,          1.8629,          1.8073,          1.8245
          25,        0.200000,          1.8858,          1.6101,          1.8814,          1.8700,          1.9076,          1.6005,          1.6369,          1.6726,          1.7026,          1.7312,          1.5493,          1.7179,          1.9062,          1.8665,          1.8129,          1.8244
          26,        0.208333,          1.8857,          1.6099,          1.8811,          1.8697,          1.9073,          1.6003,          1.6368,          1.6725,          1.7026,          1.7314,          1.5504,          1.7191,          1.9077,          1.8690,          1.8171,          1.8242
          27,        0.216667,          1.8855,          1.6098,          1.8809,          1.8694,          1.9070,          1.6002,          1.6367,          1.6724,          1.7027,          1.7316,          1.5511,          1.7201,          1.9088,          1.8711,          1.8204,          1.8241
          28,        0.225000,          1.8854,          1.6097,          1.8807,          1.8693,          1.9068,          1.6000,          1.6365,          1.6723,          1.7027,          1.7317,          1.5518,          1.7209,          1.9096,          1.8728,          1.8231,          1.8240
          29,        0.233333,          1.8854,          1.6096,          1.8806,          1.8692,          1.9066,          1.5999,          1.6364,          1.6722,          1.7027,          1.7318,          1.5522,          1.7215,          1.9104,          1.8740,          1.8252,          1.8240
          30,        0.241667,          1.8853,          1.6096,          1.8805,          1.8690,          1.9065,          1.5999,          1.6363,          1.6722,          1.7027,          1.7319,          1.5526,          1.7219,          1.9109,          1.8776,          1.8555,          1.8239
          31,        0.250000,          1.8852,          1.6096,          1.8804,          1.8689,          1.9064,          1.5998,          1.6363,          1.6721,          1.7026,          1.7319,          1.5528,          1.7223,          1.9117,          1.8782,          1.8310,          1.8239
          32,        0.258333,          1.8852,          1.6095,          1.8804,          1.8689,          1.9063,          1.5998,          1.6362,          1.6721,          1.7027,          1.7320,          1.5531,          1.7232,          1.9133,          1.8780,          1.8286,          1.8238
          33,        0.266667,          1.8852,          1.6095,          1.8803,          1.8688,          1.9063,          1.5997,          1.6362,          1.6720,          1.7026,          1.7320,          1.5537,          1.7229,          1.9121,          1.8771,          1.8296,          1.8238
          34,        0.275000,          1.8851,          1.6095,          1.8803,          1.8688,          1.9062,          1.5997,          1.6362,          1.6720,          1.7027,          1.7321,          1.5535,          1.7231,          1.9122,          1.8777,          1.8302,          1.8238
          35,        0.283333,          1.8851,          1.6095,          1.8803,          1.8687,          1.9061,          1.5997,          1.6362,          1.6720,          1.7027,          1.7322,          1.5536,          1.7231,          1.9123,          1.8778,          1.8307,          1.8238
          36,        0.291667,          1.8851,          1.6095,          1.8802,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7027,          1.7321,          1.5536,          1.7231,          1.9124,          1.8782,          1.8310,          1.8238
          37,        0.300000,          1.8851,          1.6094,          1.8802,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7026,          1.7321,          1.5537,          1.7233,          1.9125,          1.8783,          1.8314,          1.8238
          38,        0.308333,          1.8851,          1.6094,          1.8802,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7026,          1.7321,          1.5537,          1.7233,          1.9126,          1.8784,          1.8316,          1.8237
          39,        0.316667,          1.8851,          1.6095,          1.8803,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7026,          1.7321,          1.5538,          1.7234,          1.9127,          1.8785,          1.8318,          1.8237
          40,        0.325000,          1.8851,          1.6094,          1.8802,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7026,          1.7321,          1.5538,          1.7234,          1.9127,          1.8785,          1.8319,          1.8237
          41,        0.333333,          1.8851,          1.6094,          1.8802,          1.8687,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5538,          1.7234,          1.9128,          1.8786,          1.8322,          1.8238
          42,        0.341667,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5538,          1.7234,          1.9128,          1.8787,          1.8321,          1.8238
          43,        0.350000,          1.8851,          1.6094,          1.8802,          1.8687,          1.9061,          1.5996,          1.6361,          1.6720,          1.7026,          1.7321,          1.5538,          1.7235,          1.9127,          1.8787,          1.8322,          1.8237
          44,        0.358333,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8788,          1.8323,          1.8237
          45,        0.366667,          1.8851,          1.6094,          1.8802,          1.8686,          1.9061,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5538,          1.7235,          1.9128,          1.8789,          1.8323,          1.8237
          46,        0.375000,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6360,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8324,          1.8237
          47,        0.383333,          1.8850,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8323,          1.8237
          48,        0.391667,          1.8850,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9129,          1.8790,          1.8324,          1.8237
          49,        0.400000,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5538,          1.7235,          1.9128,          1.8790,          1.8324,          1.8237
          50,        0.408333,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7236,          1.9128,          1.8789,          1.8324,          1.8237
          51,        0.416667,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8324,          1.8238
          52,        0.425000,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9129,          1.8788,          1.8325,          1.8237
          53,        0.433333,          1.8850,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8324,          1.8237
          54,        0.441667,          1.8850,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7236,          1.9128,          1.8789,          1.8324,          1.8237
          55,        0.450000,          1.8851,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8325,          1.8238
          56,        0.458333,          1.8850,          1.6094,          1.8802,          1.8686,          1.9061,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9128,          1.8789,          1.8324,          1.8237
          57,        0.466667,          1.8850,          1.6094,          1.8802,          1.8686,          1.9060,          1.5996,          1.6361,          1.6719,          1.7026,          1.7321,          1.5539,          1.7235,          1.9129,          1.8788,          1.8324,          1.8237
