"VanillaC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_016.tcf]","Time (h)","Q 2 [VanillaC4_016]","Q 3 [VanillaC4_016]","Q 4 [VanillaC4_016]","Q 5 [VanillaC4_016]","Q 6 [VanillaC4_016]","Q 7 [VanillaC4_016]","Q 1 [VanillaC4_016]","Q  8 [VanillaC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -42.6683,          0.0006
           3,        0.016667,        -34.2273,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,        -46.5339,          0.0006
           4,        0.025000,        -42.0173,        -21.1227,          0.0000,          0.0000,          0.0000,         -0.0005,        -47.9859,          0.0021
           5,        0.033333,        -45.3937,        -35.2319,          0.0000,          0.0000,          0.0004,          0.0019,        -48.7848,         -0.0014
           6,        0.041667,        -46.9727,        -41.0277,        -26.0685,          0.0000,          0.0001,         -0.0003,        -49.2468,         -0.0006
           7,        0.050000,        -47.9507,        -44.0040,        -35.4539,        -18.7404,         -0.0004,          0.0012,        -49.4255,          0.0001
           8,        0.058333,        -48.5593,        -45.8530,        -40.1616,        -30.8245,         -0.0002,         -0.0008,        -49.6085,          0.0016
           9,        0.066667,        -48.9824,        -47.0479,        -43.1213,        -37.0343,        -14.8676,          0.0008,        -49.7147,         -0.0004
          10,        0.075000,        -49.2584,        -47.8707,        -45.0650,        -40.8510,        -25.8801,         -2.2992,        -49.7941,         -0.0005
          11,        0.083333,        -49.4531,        -48.4350,        -46.3771,        -43.3496,        -32.8065,        -23.8287,        -49.8484,         -2.6146
          12,        0.091667,        -49.5885,        -48.8360,        -47.3060,        -45.0827,        -37.4884,        -30.7662,        -49.8869,        -25.1596
          13,        0.100000,        -49.6917,        -49.1248,        -47.9800,        -46.3005,        -40.6705,        -35.5661,        -49.9142,        -39.7274
          14,        0.108333,        -49.7660,        -49.3348,        -48.4685,        -47.1999,        -42.9839,        -40.0444,        -49.9355,        -42.1932
          15,        0.116667,        -49.8220,        -49.4896,        -48.8299,        -47.8644,        -44.6597,        -43.8781,        -49.9510,        -43.5761
          16,        0.125000,        -49.8638,        -49.6083,        -49.0996,        -48.3597,        -45.9286,        -45.2442,        -49.9623,        -44.6264
          17,        0.133333,        -49.8952,        -49.6978,        -49.3011,        -48.7335,        -47.1233,        -46.2387,        -49.9709,        -45.5704
          18,        0.141667,        -49.9194,        -49.7660,        -49.4566,        -49.0162,        -47.8930,        -47.0253,        -49.9791,        -46.4127
          19,        0.150000,        -49.9382,        -49.8195,        -49.5765,        -49.2290,        -48.3921,        -47.6505,        -49.9826,        -47.1340
          20,        0.158333,        -49.9516,        -49.8592,        -49.6704,        -49.4025,        -48.7563,        -48.1495,        -49.9875,        -47.7304
          21,        0.166667,        -49.9623,        -49.8904,        -49.7421,        -49.5465,        -49.0254,        -48.5392,        -49.9895,        -48.2094
          22,        0.175000,        -49.9706,        -49.9145,        -49.7994,        -49.6534,        -49.2390,        -48.8444,        -49.9922,        -48.5825
          23,        0.183333,        -49.9773,        -49.9330,        -49.8454,        -49.7332,        -49.4051,        -49.0904,        -49.9938,        -48.8814
          24,        0.191667,        -49.9822,        -49.9474,        -49.8817,        -49.7937,        -49.5346,        -49.2858,        -49.9950,        -49.1192
          25,        0.200000,        -49.9861,        -49.9595,        -49.9083,        -49.8402,        -49.6361,        -49.4412,        -49.9954,        -49.3092
          26,        0.208333,        -49.9894,        -49.9688,        -49.9297,        -49.8760,        -49.7160,        -49.5623,        -49.9970,        -49.4567
          27,        0.216667,        -49.9914,        -49.9760,        -49.9455,        -49.9033,        -49.7775,        -49.6574,        -49.9973,        -49.5735
          28,        0.225000,        -49.9937,        -49.9807,        -49.9575,        -49.9249,        -49.8261,        -49.7301,        -49.9983,        -49.6666
          29,        0.233333,        -49.9950,        -49.9852,        -49.9673,        -49.9412,        -49.8643,        -49.7904,        -49.9985,        -49.7393
