"InphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_006.tcf]","Time (h)","V 2 [InphaseC4_006]","V 3 [InphaseC4_006]","V 4 [InphaseC4_006]","V 5 [InphaseC4_006]","V 6 [InphaseC4_006]","V 7 [InphaseC4_006]","V 8 [InphaseC4_006]","V 9 [InphaseC4_006]","V 10 [InphaseC4_006]","V 11 [InphaseC4_006]","V 12 [InphaseC4_006]","V 13 [InphaseC4_006]","V 14 [InphaseC4_006]","V 15 [InphaseC4_006]","V 16 [InphaseC4_006]","V  1 [InphaseC4_006]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.7651,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.1018
           3,        0.016667,          3.1384,          0.5547,          1.7786,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          3.1177
           4,        0.025000,          2.7924,          0.3641,          1.4314,          2.0870,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          3.1090
           5,        0.033333,          2.0743,          0.4436,          1.4037,          2.2356,          2.3606,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          3.1104
           6,        0.041667,          1.9529,          0.6061,          1.4495,          2.3215,          2.5373,          0.0000,          0.9716,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          2.4478
           7,        0.050000,          1.8989,          0.7043,          1.5051,          2.4082,          2.4447,          0.2532,          0.8805,          0.8736,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          0.0000,          2.2573
           8,        0.058333,          1.8525,          0.7513,          1.5251,          2.4518,          2.1277,          0.3820,          0.9843,          1.8130,          0.5407,          0.4562,          0.0002,          0.0001,          0.0001,          0.0000,          0.0000,          2.1630
           9,        0.066667,          1.8225,          0.7841,          1.5320,          2.4711,          1.9947,          0.5424,          1.1092,          2.1212,          0.6779,          0.6818,          0.6919,          0.0225,          0.0001,          0.0001,          0.0000,          2.1085
          10,        0.075000,          1.8086,          0.8058,          1.5351,          2.4813,          1.9120,          0.6227,          1.1828,          2.2947,          0.6185,          0.8252,          1.0547,          0.7277,          0.4361,          0.3326,          0.0001,          2.0752
          11,        0.083333,          1.8015,          0.8179,          1.5375,          2.4890,          1.8554,          0.6784,          1.2274,          2.3826,          0.7173,          0.8583,          1.2777,          0.9808,          0.7373,          0.5998,          0.4358,          2.0559
          12,        0.091667,          1.7973,          0.8250,          1.5396,          2.4925,          1.8224,          0.7231,          1.2586,          2.4399,          0.8132,          0.9359,          1.3802,          1.2314,          1.0597,          1.0267,          0.8753,          2.0445
          13,        0.100000,          1.7943,          0.8292,          1.5407,          2.4970,          1.8020,          0.7541,          1.2812,          2.4618,          0.8820,          0.9870,          1.4710,          1.5762,          1.4479,          1.3302,          1.0891,          2.0385
          14,        0.108333,          1.7926,          0.8318,          1.5414,          2.4974,          1.7888,          0.7750,          1.2957,          2.4093,          0.9385,          1.0365,          1.5560,          1.8236,          1.5791,          1.4394,          1.1988,          2.0344
          15,        0.116667,          1.7916,          0.8334,          1.5418,          2.4975,          1.7801,          0.7883,          1.3046,          2.3219,          0.9835,          1.0782,          1.6175,          1.9673,          1.6861,          1.4849,          1.2587,          2.0319
          16,        0.125000,          1.7912,          0.8343,          1.5421,          2.4962,          1.7746,          0.7969,          1.3103,          2.2841,          1.0199,          1.1065,          1.6437,          2.0519,          1.7490,          1.5217,          1.2884,          2.0305
          17,        0.133333,          1.7908,          0.8348,          1.5423,          2.4947,          1.7712,          0.8027,          1.3140,          2.2666,          1.0400,          1.1214,          1.6573,          2.0887,          1.7778,          1.5520,          1.3202,          2.0296
          18,        0.141667,          1.7906,          0.8352,          1.5424,          2.4932,          1.7690,          0.8064,          1.3165,          2.2555,          1.0501,          1.1296,          1.6649,          2.0993,          1.7956,          1.5794,          1.3502,          2.0290
          19,        0.150000,          1.7905,          0.8354,          1.5424,          2.4921,          1.7676,          0.8087,          1.3179,          2.2446,          1.0570,          1.1354,          1.6698,          2.1086,          1.8073,          1.5993,          1.3721,          2.0287
          20,        0.158333,          1.7904,          0.8355,          1.5425,          2.4915,          1.7666,          0.8101,          1.3189,          2.2360,          1.0618,          1.1396,          1.6733,          2.1191,          1.8162,          1.6120,          1.3857,          2.0285
          21,        0.166667,          1.7903,          0.8356,          1.5425,          2.4911,          1.7660,          0.8111,          1.3195,          2.2300,          1.0653,          1.1424,          1.6756,          2.1280,          1.8234,          1.6198,          1.3936,          2.0284
          22,        0.175000,          1.7903,          0.8357,          1.5425,          2.4908,          1.7657,          0.8116,          1.3198,          2.2259,          1.0679,          1.1444,          1.6772,          2.1346,          1.8283,          1.6248,          1.3982,          2.0283
          23,        0.183333,          1.7902,          0.8357,          1.5425,          2.4907,          1.7654,          0.8119,          1.3201,          2.2231,          1.0694,          1.1457,          1.6782,          2.1389,          1.8316,          1.6280,          1.4012,          2.0283
          24,        0.191667,          1.7902,          0.8357,          1.5425,          2.4907,          1.7653,          0.8123,          1.3202,          2.2211,          1.0705,          1.1465,          1.6789,          2.1416,          1.8337,          1.6303,          1.4032,          2.0282
          25,        0.200000,          1.7903,          0.8357,          1.5426,          2.4907,          1.7652,          0.8124,          1.3202,          2.2199,          1.0713,          1.1471,          1.6795,          2.1433,          1.8351,          1.6318,          1.4046,          2.0282
          26,        0.208333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7651,          0.8125,          1.3204,          2.2190,          1.0718,          1.1475,          1.6797,          2.1444,          1.8361,          1.6328,          1.4056,          2.0282
          27,        0.216667,          1.7902,          0.8357,          1.5425,          2.4907,          1.7651,          0.8126,          1.3204,          2.2183,          1.0721,          1.1477,          1.6799,          2.1451,          1.8366,          1.6335,          1.4062,          2.0282
          28,        0.225000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8126,          1.3204,          2.2180,          1.0723,          1.1479,          1.6801,          2.1456,          1.8370,          1.6339,          1.4067,          2.0282
          29,        0.233333,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2177,          1.0724,          1.1480,          1.6802,          2.1459,          1.8373,          1.6342,          1.4070,          2.0282
          30,        0.241667,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8126,          1.3204,          2.2175,          1.0725,          1.1480,          1.6802,          2.1461,          1.8375,          1.6344,          1.4071,          2.0282
          31,        0.250000,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2174,          1.0727,          1.1481,          1.6803,          2.1463,          1.8376,          1.6346,          1.4073,          2.0282
          32,        0.258333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2173,          1.0727,          1.1482,          1.6804,          2.1464,          1.8376,          1.6346,          1.4074,          2.0282
          33,        0.266667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2173,          1.0727,          1.1482,          1.6804,          2.1464,          1.8377,          1.6347,          1.4074,          2.0282
          34,        0.275000,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8126,          1.3205,          2.2173,          1.0727,          1.1482,          1.6803,          2.1464,          1.8377,          1.6347,          1.4075,          2.0282
          35,        0.283333,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8377,          1.6348,          1.4075,          2.0282
          36,        0.291667,          1.7903,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2173,          1.0727,          1.1482,          1.6804,          2.1466,          1.8377,          1.6348,          1.4075,          2.0282
          37,        0.300000,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          38,        0.308333,          1.7902,          0.8357,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6347,          1.4075,          2.0282
          39,        0.316667,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8377,          1.6347,          1.4075,          2.0282
          40,        0.325000,          1.7902,          0.8357,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          41,        0.333333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4075,          2.0281
          42,        0.341667,          1.7903,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          43,        0.350000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8377,          1.6348,          1.4075,          2.0282
          44,        0.358333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8126,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          45,        0.366667,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4076,          2.0282
          46,        0.375000,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0728,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          47,        0.383333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          48,        0.391667,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8377,          1.6348,          1.4075,          2.0282
          49,        0.400000,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6803,          2.1465,          1.8377,          1.6348,          1.4075,          2.0281
          50,        0.408333,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          51,        0.416667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4075,          2.0282
          52,        0.425000,          1.7902,          0.8358,          1.5425,          2.4905,          1.7650,          0.8127,          1.3205,          2.2171,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4076,          2.0282
          53,        0.433333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8377,          1.6348,          1.4075,          2.0281
          54,        0.441667,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0281
          55,        0.450000,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          56,        0.458333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          57,        0.466667,          1.7903,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0281
          58,        0.475000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          59,        0.483333,          1.7903,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0281
          60,        0.491667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7649,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          61,        0.500000,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2171,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          62,        0.508333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7649,          0.8126,          1.3205,          2.2172,          1.0728,          1.1482,          1.6803,          2.1466,          1.8378,          1.6348,          1.4075,          2.0282
          63,        0.516667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4075,          2.0282
          64,        0.525000,          1.7903,          0.8357,          1.5426,          2.4906,          1.7650,          0.8126,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          65,        0.533333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7649,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6349,          1.4076,          2.0282
          66,        0.541667,          1.7903,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0281
          67,        0.550000,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          68,        0.558333,          1.7903,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          69,        0.566667,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          70,        0.575000,          1.7902,          0.8358,          1.5426,          2.4906,          1.7649,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6349,          1.4075,          2.0282
          71,        0.583333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          72,        0.591667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8126,          1.3204,          2.2172,          1.0727,          1.1482,          1.6803,          2.1466,          1.8378,          1.6347,          1.4075,          2.0282
          73,        0.600000,          1.7903,          0.8357,          1.5425,          2.4905,          1.7649,          0.8126,          1.3205,          2.2171,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          74,        0.608333,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4075,          2.0282
          75,        0.616667,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0281
          76,        0.625000,          1.7903,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4076,          2.0282
          77,        0.633333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7649,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6803,          2.1466,          1.8378,          1.6347,          1.4076,          2.0282
          78,        0.641667,          1.7902,          0.8357,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2171,          1.0727,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4076,          2.0281
          79,        0.650000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6803,          2.1466,          1.8378,          1.6348,          1.4076,          2.0282
          80,        0.658333,          1.7902,          0.8357,          1.5425,          2.4905,          1.7650,          0.8126,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          81,        0.666667,          1.7903,          0.8358,          1.5425,          2.4906,          1.7650,          0.8126,          1.3205,          2.2171,          1.0728,          1.1482,          1.6805,          2.1466,          1.8378,          1.6348,          1.4076,          2.0282
          82,        0.675000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0728,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          83,        0.683333,          1.7902,          0.8357,          1.5426,          2.4906,          1.7649,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          84,        0.691667,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3205,          2.2171,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4075,          2.0282
          85,        0.700000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0281
          86,        0.708333,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          87,        0.716667,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2171,          1.0727,          1.1482,          1.6804,          2.1466,          1.8377,          1.6348,          1.4075,          2.0282
          88,        0.725000,          1.7902,          0.8358,          1.5426,          2.4906,          1.7650,          0.8127,          1.3204,          2.2171,          1.0728,          1.1482,          1.6803,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          89,        0.733333,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2172,          1.0727,          1.1482,          1.6804,          2.1465,          1.8378,          1.6348,          1.4075,          2.0282
          90,        0.741667,          1.7902,          0.8357,          1.5425,          2.4906,          1.7650,          0.8127,          1.3205,          2.2171,          1.0727,          1.1482,          1.6804,          2.1466,          1.8378,          1.6348,          1.4076,          2.0282
          91,        0.750000,          1.7902,          0.8358,          1.5425,          2.4906,          1.7650,          0.8127,          1.3204,          2.2172,          1.0728,          1.1482,          1.6803,          2.1465,          1.8377,          1.6348,          1.4075,          2.0282
