"InphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_006.tcf]","Time (h)","Q 2 [InphaseC4_006]","Q 3 [InphaseC4_006]","Q 4 [InphaseC4_006]","Q 5 [InphaseC4_006]","Q 6 [InphaseC4_006]","Q 7 [InphaseC4_006]","Q 1 [InphaseC4_006]","Q  8 [InphaseC4_006]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,         -0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -44.0122,         -0.0000
           3,        0.016667,        -39.6726,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0006,        -46.6013,          0.0011
           4,        0.025000,        -36.5494,        -17.5979,          0.0000,          0.0000,          0.0000,         -0.0002,        -46.6013,          0.0018
           5,        0.033333,        -35.8807,        -27.0856,        -17.5391,          0.0000,          0.0001,          0.0018,        -46.5926,          0.0007
           6,        0.041667,        -39.5248,        -32.6666,        -25.4003,         -4.7395,         -0.0002,         -0.0008,        -44.1246,          0.0004
           7,        0.050000,        -42.8347,        -38.0825,        -27.2720,        -13.7248,          0.0005,          0.0011,        -45.1793,          0.0003
           8,        0.058333,        -44.3650,        -41.6536,        -31.8285,        -21.5953,         -6.4151,         -0.0001,        -45.7563,          0.0008
           9,        0.066667,        -45.1202,        -43.5931,        -37.1207,        -29.5864,        -17.2716,          0.0004,        -45.9922,         -0.0013
          10,        0.075000,        -45.6575,        -44.7114,        -40.3568,        -35.5735,        -24.5521,        -14.0595,        -46.1839,         -0.4611
          11,        0.083333,        -46.0352,        -45.4338,        -42.3557,        -39.3464,        -30.9658,        -22.3788,        -46.3434,        -18.4006
          12,        0.091667,        -46.2586,        -45.8938,        -43.8032,        -41.8322,        -35.7229,        -30.1014,        -46.4468,        -34.2583
          13,        0.100000,        -46.3886,        -46.1704,        -44.8174,        -43.5275,        -38.9277,        -40.0697,        -46.5026,        -40.8280
          14,        0.108333,        -46.4654,        -46.3348,        -45.4642,        -44.6412,        -41.3982,        -41.2973,        -46.5365,        -42.7980
          15,        0.116667,        -46.5163,        -46.4366,        -45.8697,        -45.3436,        -43.3203,        -42.4664,        -46.5585,        -42.8385
          16,        0.125000,        -46.5466,        -46.4972,        -46.1295,        -45.7928,        -44.5624,        -43.5700,        -46.5718,        -43.2377
          17,        0.133333,        -46.5648,        -46.5351,        -46.3007,        -46.0852,        -45.2631,        -44.3362,        -46.5807,        -43.9966
          18,        0.141667,        -46.5755,        -46.5572,        -46.4080,        -46.2704,        -45.6728,        -45.0380,        -46.5849,        -44.8246
          19,        0.150000,        -46.5823,        -46.5711,        -46.4759,        -46.3883,        -45.9627,        -45.5627,        -46.5882,        -45.4734
          20,        0.158333,        -46.5865,        -46.5795,        -46.5191,        -46.4637,        -46.1713,        -45.9184,        -46.5898,        -45.8860
          21,        0.166667,        -46.5889,        -46.5852,        -46.5463,        -46.5109,        -46.3138,        -46.1546,        -46.5913,        -46.1372
          22,        0.175000,        -46.5908,        -46.5878,        -46.5627,        -46.5408,        -46.4082,        -46.3026,        -46.5918,        -46.2915
          23,        0.183333,        -46.5912,        -46.5896,        -46.5745,        -46.5605,        -46.4715,        -46.3982,        -46.5922,        -46.3882
          24,        0.191667,        -46.5917,        -46.5910,        -46.5812,        -46.5725,        -46.5125,        -46.4634,        -46.5920,        -46.4531
          25,        0.200000,        -46.5926,        -46.5918,        -46.5856,        -46.5796,        -46.5400,        -46.5064,        -46.5925,        -46.5002
          26,        0.208333,        -46.5922,        -46.5922,        -46.5883,        -46.5847,        -46.5578,        -46.5358,        -46.5929,        -46.5320
          27,        0.216667,        -46.5929,        -46.5924,        -46.5892,        -46.5878,        -46.5702,        -46.5555,        -46.5929,        -46.5533
          28,        0.225000,        -46.5930,        -46.5927,        -46.5904,        -46.5900,        -46.5785,        -46.5688,        -46.5926,        -46.5674
          29,        0.233333,        -46.5928,        -46.5927,        -46.5920,        -46.5909,        -46.5833,        -46.5768,        -46.5929,        -46.5760
          30,        0.241667,        -46.5931,        -46.5926,        -46.5910,        -46.5921,        -46.5867,        -46.5828,        -46.5925,        -46.5829
          31,        0.250000,        -46.5929,        -46.5926,        -46.5921,        -46.5923,        -46.5892,        -46.5863,        -46.5929,        -46.5862
          32,        0.258333,        -46.5930,        -46.5923,        -46.5921,        -46.5923,        -46.5900,        -46.5889,        -46.5927,        -46.5888
          33,        0.266667,        -46.5932,        -46.5930,        -46.5921,        -46.5926,        -46.5902,        -46.5903,        -46.5931,        -46.5896
          34,        0.275000,        -46.5927,        -46.5932,        -46.5928,        -46.5930,        -46.5915,        -46.5917,        -46.5930,        -46.5909
          35,        0.283333,        -46.5929,        -46.5929,        -46.5930,        -46.5923,        -46.5928,        -46.5917,        -46.5927,        -46.5922
          36,        0.291667,        -46.5929,        -46.5929,        -46.5931,        -46.5926,        -46.5923,        -46.5918,        -46.5926,        -46.5910
          37,        0.300000,        -46.5932,        -46.5927,        -46.5926,        -46.5934,        -46.5925,        -46.5924,        -46.5931,        -46.5929
          38,        0.308333,        -46.5926,        -46.5926,        -46.5932,        -46.5930,        -46.5927,        -46.5923,        -46.5929,        -46.5923
          39,        0.316667,        -46.5924,        -46.5928,        -46.5925,        -46.5927,        -46.5931,        -46.5922,        -46.5928,        -46.5924
          40,        0.325000,        -46.5940,        -46.5934,        -46.5926,        -46.5930,        -46.5924,        -46.5933,        -46.5927,        -46.5922
          41,        0.333333,        -46.5928,        -46.5930,        -46.5921,        -46.5931,        -46.5920,        -46.5929,        -46.5928,        -46.5927
          42,        0.341667,        -46.5926,        -46.5929,        -46.5922,        -46.5925,        -46.5937,        -46.5930,        -46.5931,        -46.5928
          43,        0.350000,        -46.5929,        -46.5931,        -46.5930,        -46.5927,        -46.5933,        -46.5931,        -46.5929,        -46.5927
          44,        0.358333,        -46.5924,        -46.5927,        -46.5924,        -46.5932,        -46.5929,        -46.5927,        -46.5932,        -46.5925
          45,        0.366667,        -46.5925,        -46.5927,        -46.5924,        -46.5925,        -46.5936,        -46.5932,        -46.5930,        -46.5932
          46,        0.375000,        -46.5925,        -46.5926,        -46.5929,        -46.5927,        -46.5932,        -46.5932,        -46.5928,        -46.5931
          47,        0.383333,        -46.5926,        -46.5932,        -46.5934,        -46.5936,        -46.5929,        -46.5927,        -46.5928,        -46.5939
          48,        0.391667,        -46.5925,        -46.5928,        -46.5928,        -46.5928,        -46.5920,        -46.5934,        -46.5929,        -46.5924
          49,        0.400000,        -46.5929,        -46.5931,        -46.5919,        -46.5930,        -46.5925,        -46.5931,        -46.5926,        -46.5922
          50,        0.408333,        -46.5928,        -46.5926,        -46.5927,        -46.5926,        -46.5926,        -46.5926,        -46.5926,        -46.5930
          51,        0.416667,        -46.5932,        -46.5929,        -46.5922,        -46.5933,        -46.5925,        -46.5928,        -46.5932,        -46.5930
          52,        0.425000,        -46.5930,        -46.5928,        -46.5931,        -46.5933,        -46.5930,        -46.5929,        -46.5927,        -46.5929
          53,        0.433333,        -46.5924,        -46.5925,        -46.5924,        -46.5926,        -46.5935,        -46.5926,        -46.5929,        -46.5932
          54,        0.441667,        -46.5932,        -46.5932,        -46.5925,        -46.5929,        -46.5927,        -46.5929,        -46.5928,        -46.5925
          55,        0.450000,        -46.5927,        -46.5931,        -46.5930,        -46.5930,        -46.5918,        -46.5931,        -46.5931,        -46.5925
          56,        0.458333,        -46.5928,        -46.5926,        -46.5928,        -46.5927,        -46.5929,        -46.5923,        -46.5923,        -46.5933
          57,        0.466667,        -46.5930,        -46.5929,        -46.5929,        -46.5927,        -46.5930,        -46.5929,        -46.5926,        -46.5931
          58,        0.475000,        -46.5927,        -46.5927,        -46.5929,        -46.5928,        -46.5926,        -46.5928,        -46.5930,        -46.5926
          59,        0.483333,        -46.5936,        -46.5929,        -46.5928,        -46.5933,        -46.5929,        -46.5928,        -46.5927,        -46.5930
          60,        0.491667,        -46.5936,        -46.5929,        -46.5925,        -46.5925,        -46.5932,        -46.5930,        -46.5929,        -46.5941
          61,        0.500000,        -46.5935,        -46.5932,        -46.5933,        -46.5924,        -46.5939,        -46.5928,        -46.5924,        -46.5929
          62,        0.508333,        -46.5929,        -46.5930,        -46.5926,        -46.5928,        -46.5931,        -46.5926,        -46.5929,        -46.5939
          63,        0.516667,        -46.5922,        -46.5926,        -46.5929,        -46.5929,        -46.5935,        -46.5928,        -46.5931,        -46.5927
          64,        0.525000,        -46.5928,        -46.5931,        -46.5920,        -46.5936,        -46.5927,        -46.5927,        -46.5929,        -46.5916
          65,        0.533333,        -46.5937,        -46.5929,        -46.5928,        -46.5929,        -46.5928,        -46.5922,        -46.5928,        -46.5932
          66,        0.541667,        -46.5931,        -46.5926,        -46.5935,        -46.5930,        -46.5925,        -46.5927,        -46.5926,        -46.5930
          67,        0.550000,        -46.5929,        -46.5932,        -46.5934,        -46.5929,        -46.5929,        -46.5927,        -46.5928,        -46.5931
          68,        0.558333,        -46.5932,        -46.5931,        -46.5929,        -46.5926,        -46.5932,        -46.5929,        -46.5931,        -46.5928
          69,        0.566667,        -46.5927,        -46.5929,        -46.5922,        -46.5924,        -46.5929,        -46.5927,        -46.5930,        -46.5933
          70,        0.575000,        -46.5923,        -46.5927,        -46.5930,        -46.5927,        -46.5928,        -46.5924,        -46.5933,        -46.5931
          71,        0.583333,        -46.5928,        -46.5928,        -46.5935,        -46.5928,        -46.5927,        -46.5929,        -46.5928,        -46.5929
          72,        0.591667,        -46.5931,        -46.5930,        -46.5931,        -46.5934,        -46.5934,        -46.5928,        -46.5927,        -46.5933
          73,        0.600000,        -46.5933,        -46.5928,        -46.5928,        -46.5928,        -46.5931,        -46.5926,        -46.5928,        -46.5934
          74,        0.608333,        -46.5932,        -46.5930,        -46.5932,        -46.5927,        -46.5923,        -46.5927,        -46.5928,        -46.5927
          75,        0.616667,        -46.5924,        -46.5928,        -46.5919,        -46.5934,        -46.5935,        -46.5929,        -46.5932,        -46.5932
          76,        0.625000,        -46.5925,        -46.5931,        -46.5929,        -46.5930,        -46.5930,        -46.5927,        -46.5932,        -46.5928
          77,        0.633333,        -46.5930,        -46.5926,        -46.5926,        -46.5929,        -46.5930,        -46.5927,        -46.5929,        -46.5920
          78,        0.641667,        -46.5935,        -46.5927,        -46.5924,        -46.5930,        -46.5925,        -46.5926,        -46.5928,        -46.5924
          79,        0.650000,        -46.5928,        -46.5929,        -46.5933,        -46.5933,        -46.5927,        -46.5930,        -46.5928,        -46.5923
          80,        0.658333,        -46.5922,        -46.5928,        -46.5932,        -46.5925,        -46.5935,        -46.5930,        -46.5928,        -46.5934
          81,        0.666667,        -46.5927,        -46.5926,        -46.5922,        -46.5925,        -46.5941,        -46.5926,        -46.5925,        -46.5921
          82,        0.675000,        -46.5932,        -46.5927,        -46.5933,        -46.5929,        -46.5929,        -46.5933,        -46.5931,        -46.5934
          83,        0.683333,        -46.5925,        -46.5927,        -46.5931,        -46.5931,        -46.5935,        -46.5926,        -46.5927,        -46.5931
          84,        0.691667,        -46.5929,        -46.5928,        -46.5938,        -46.5932,        -46.5936,        -46.5927,        -46.5924,        -46.5927
          85,        0.700000,        -46.5937,        -46.5931,        -46.5926,        -46.5932,        -46.5919,        -46.5926,        -46.5928,        -46.5921
          86,        0.708333,        -46.5932,        -46.5928,        -46.5935,        -46.5930,        -46.5930,        -46.5928,        -46.5932,        -46.5921
          87,        0.716667,        -46.5923,        -46.5936,        -46.5925,        -46.5928,        -46.5931,        -46.5930,        -46.5930,        -46.5919
          88,        0.725000,        -46.5933,        -46.5923,        -46.5935,        -46.5921,        -46.5927,        -46.5930,        -46.5928,        -46.5927
