"OutphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_018.tcf]","Time (h)","V 2 [OutphaseC4_018]","V 3 [OutphaseC4_018]","V 4 [OutphaseC4_018]","V 5 [OutphaseC4_018]","V 6 [OutphaseC4_018]","V 7 [OutphaseC4_018]","V 8 [OutphaseC4_018]","V 9 [OutphaseC4_018]","V 10 [OutphaseC4_018]","V 11 [OutphaseC4_018]","V 12 [OutphaseC4_018]","V 13 [OutphaseC4_018]","V 14 [OutphaseC4_018]","V 15 [OutphaseC4_018]","V 16 [OutphaseC4_018]","V  1 [OutphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.3120,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.5286
           3,        0.016667,          1.6746,          0.0000,          2.3596,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0787
           4,        0.025000,          1.9269,          1.5991,          3.4547,          1.6803,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0624
           5,        0.033333,          1.9414,          2.2694,          4.0086,          1.2937,          1.1577,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0271
           6,        0.041667,          1.9878,          2.5319,          3.4456,          1.2576,          0.9262,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9590
           7,        0.050000,          1.9683,          2.6797,          3.0292,          1.5795,          1.0873,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9547
           8,        0.058333,          1.9582,          2.7724,          2.7673,          1.8085,          1.2053,          0.1302,          1.3845,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9494
           9,        0.066667,          1.9567,          2.8193,          2.5803,          1.8704,          1.3938,          1.3970,          2.0036,          0.5156,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9462
          10,        0.075000,          1.9539,          2.8494,          2.4636,          1.8634,          1.5154,          1.7721,          1.8992,          0.4321,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9450
          11,        0.083333,          1.9519,          2.8697,          2.3896,          1.8539,          1.5892,          2.0063,          0.3202,          0.4797,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9437
          12,        0.091667,          1.9507,          2.8753,          2.3402,          1.8492,          1.6426,          2.1755,          0.1328,          0.5142,          0.9424,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9434
