"InphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_020.tcf]","Time (h)","Q 2 [InphaseC4_020]","Q 3 [InphaseC4_020]","Q 4 [InphaseC4_020]","Q 5 [InphaseC4_020]","Q 6 [InphaseC4_020]","Q 7 [InphaseC4_020]","Q 1 [InphaseC4_020]","Q  8 [InphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -60.4943,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -83.1768,         -0.0015
           3,        0.016667,        -78.9044,        -31.2526,          0.0000,          0.0000,          0.0000,          0.0003,        -88.9348,         -0.0008
           4,        0.025000,        -78.6328,        -60.5648,        -39.8197,          0.0000,         -0.0002,          0.0001,        -88.3343,          0.0014
           5,        0.033333,        -80.1666,        -72.1992,        -61.0043,        -36.9225,          0.0007,          0.0011,        -88.5258,         -0.0009
           6,        0.041667,        -82.6084,        -77.9990,        -68.0424,        -54.8132,        -22.0176,          0.0013,        -85.8608,         -0.0009
           7,        0.050000,        -85.5579,        -82.3442,        -72.3841,        -65.2311,        -53.0891,        -11.2405,        -87.2299,         -0.0018
           8,        0.058333,        -87.3881,        -85.4293,        -78.0259,        -72.9166,        -64.3721,        -46.0425,        -88.3203,        -41.9884
           9,        0.066667,        -88.4844,        -87.2942,        -82.4972,        -79.0075,        -70.1905,        -64.0948,        -89.0497,        -73.7093
          10,        0.075000,        -89.1343,        -88.2974,        -85.2749,        -83.0660,        -75.0261,        -79.5866,        -89.4735,        -86.2085
          11,        0.083333,        -89.4942,        -88.8685,        -86.9746,        -85.5312,        -80.9801,        -88.9123,        -89.6912,        -90.7107
          12,        0.091667,        -89.6940,        -89.2221,        -88.0229,        -87.0091,        -86.0701,        -89.2379,        -89.8256,        -90.2763
          13,        0.100000,        -89.7942,        -89.4593,        -88.6672,        -87.7710,        -88.8876,        -89.8530,        -89.8918,        -89.8988
          14,        0.108333,        -89.8442,        -89.6180,        -89.0230,        -88.5318,        -89.6607,        -89.9982,        -89.9184,        -89.8903
          15,        0.116667,        -89.8799,        -89.7205,        -89.2682,        -89.0744,        -89.7774,        -89.9311,        -89.9370,        -89.9538
          16,        0.125000,        -89.9099,        -89.7886,        -89.5058,        -89.4488,        -89.7260,        -89.8538,        -89.9499,        -89.9156
          17,        0.133333,        -89.9356,        -89.8401,        -89.7066,        -89.6751,        -89.7217,        -89.7804,        -89.9650,        -89.8072
          18,        0.141667,        -89.9521,        -89.8887,        -89.8377,        -89.8065,        -89.7724,        -89.7675,        -89.9740,        -89.7454
          19,        0.150000,        -89.9653,        -89.9251,        -89.9046,        -89.8817,        -89.8350,        -89.7878,        -89.9837,        -89.7567
          20,        0.158333,        -89.9724,        -89.9544,        -89.9378,        -89.9216,        -89.8849,        -89.8268,        -89.9810,        -89.8035
          21,        0.166667,        -89.9828,        -89.9701,        -89.9568,        -89.9451,        -89.9157,        -89.8692,        -89.9906,        -89.8585
          22,        0.175000,        -89.9895,        -89.9816,        -89.9694,        -89.9599,        -89.9351,        -89.9065,        -89.9920,        -89.9013
          23,        0.183333,        -89.9945,        -89.9879,        -89.9790,        -89.9717,        -89.9499,        -89.9313,        -89.9958,        -89.9298
          24,        0.191667,        -89.9966,        -89.9925,        -89.9855,        -89.9804,        -89.9623,        -89.9510,        -89.9972,        -89.9492
          25,        0.200000,        -89.9984,        -89.9953,        -89.9908,        -89.9864,        -89.9722,        -89.9637,        -89.9988,        -89.9622
          26,        0.208333,        -89.9987,        -89.9972,        -89.9930,        -89.9904,        -89.9804,        -89.9738,        -89.9987,        -89.9723
          27,        0.216667,        -89.9987,        -89.9974,        -89.9955,        -89.9931,        -89.9872,        -89.9823,        -89.9993,        -89.9807
          28,        0.225000,        -89.9993,        -89.9988,        -89.9966,        -89.9958,        -89.9912,        -89.9869,        -89.9991,        -89.9869
          29,        0.233333,        -89.9996,        -89.9989,        -89.9968,        -89.9965,        -89.9936,        -89.9903,        -89.9999,        -89.9905
          30,        0.241667,        -89.9996,        -89.9993,        -89.9986,        -89.9984,        -89.9958,        -89.9937,        -89.9995,        -89.9928
          31,        0.250000,        -89.9998,        -90.0000,        -89.9982,        -89.9984,        -89.9966,        -89.9959,        -89.9998,        -89.9946
          32,        0.258333,        -89.9998,        -90.0001,        -89.9987,        -89.9983,        -89.9968,        -89.9964,        -89.9993,        -89.9966
          33,        0.266667,        -90.0003,        -89.9997,        -89.9994,        -89.9991,        -89.9988,        -89.9978,        -89.9991,        -89.9973
          34,        0.275000,        -90.0000,        -90.0006,        -89.9997,        -89.9988,        -89.9987,        -89.9993,        -89.9997,        -89.9980
          35,        0.283333,        -89.9996,        -89.9996,        -89.9994,        -89.9991,        -89.9991,        -89.9984,        -89.9999,        -89.9987
          36,        0.291667,        -90.0001,        -89.9998,        -90.0003,        -89.9996,        -89.9992,        -89.9999,        -89.9997,        -89.9995
          37,        0.300000,        -89.9999,        -90.0004,        -90.0002,        -90.0002,        -89.9992,        -89.9998,        -90.0001,        -89.9992
          38,        0.308333,        -90.0000,        -90.0000,        -89.9995,        -89.9997,        -90.0001,        -89.9993,        -90.0000,        -89.9997
          39,        0.316667,        -89.9996,        -89.9997,        -90.0004,        -90.0002,        -90.0000,        -89.9997,        -89.9999,        -89.9995
          40,        0.325000,        -89.9999,        -89.9998,        -89.9994,        -90.0000,        -90.0001,        -89.9990,        -89.9996,        -90.0008
          41,        0.333333,        -89.9995,        -90.0003,        -89.9999,        -90.0003,        -89.9997,        -90.0002,        -90.0004,        -89.9993
          42,        0.341667,        -89.9997,        -89.9997,        -89.9993,        -89.9997,        -89.9998,        -89.9998,        -89.9992,        -89.9991
          43,        0.350000,        -90.0001,        -89.9997,        -89.9991,        -90.0000,        -89.9999,        -90.0000,        -89.9994,        -89.9998
          44,        0.358333,        -90.0000,        -89.9996,        -90.0003,        -89.9998,        -90.0000,        -89.9994,        -89.9995,        -90.0006
