"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\001\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.0000,          0.0000,          0.0000,          0.0000
          11,        0.166667,          0.0000,          0.0000,          0.0000,          0.0000
          12,        0.183333,          0.0000,          0.0000,          0.0000,          0.0000
          13,        0.200000,          0.0000,          0.0000,          0.0000,          0.0000
          14,        0.216667,          0.0000,          0.0000,          0.0000,          0.0000
          15,        0.233333,          0.0000,          0.0000,          0.0000,          0.0000
          16,        0.250000,          0.0000,          0.0000,          0.0000,          0.0000
          17,        0.266667,          0.0000,          0.0000,          0.0000,          0.0000
          18,        0.283333,          0.0000,          0.0000,          0.0000,          0.0000
          19,        0.300000,          0.0000,          0.0000,          0.0000,          0.0000
          20,        0.316667,          0.0000,          0.0000,          0.0000,          0.0000
          21,        0.333333,          0.0000,          0.0000,          0.0000,          0.0000
          22,        0.350000,          0.0000,          0.0000,          0.0000,          0.0000
          23,        0.366667,          0.0000,          0.0000,          0.0000,          0.0000
          24,        0.383333,          0.0000,          0.0000,          0.0000,          0.0000
          25,        0.400000,          0.0000,          0.0000,          0.0000,          0.0000
          26,        0.416667,          0.0000,          0.0000,          0.0000,          0.0000
          27,        0.433333,          0.0000,          0.0000,          0.0000,          0.0000
          28,        0.450000,          0.0000,          0.0000,          0.0000,          0.0000
          29,        0.466667,          0.0000,          0.0000,          0.0000,          0.0000
          30,        0.483333,          0.0000,          0.0000,          0.0000,          0.0000
          31,        0.500000,          0.0000,          0.0000,          0.0000,          0.0000
          32,        0.516667,          0.0000,          0.0000,          0.0000,          0.0000
          33,        0.533333,          0.0000,          0.0000,          0.0000,          0.0000
          34,        0.550000,          0.0000,          0.0000,          0.0000,          0.0000
          35,        0.566667,          0.0000,          0.0000,          0.0000,          0.0000
          36,        0.583333,          0.0000,          0.0000,          0.0000,          0.0000
          37,        0.600000,          0.0000,          0.0000,          0.0000,          0.0000
          38,        0.616667,          0.0000,          0.0000,          0.0000,          0.0000
          39,        0.633333,          0.0000,          0.0000,          0.0000,          0.0000
          40,        0.650000,          0.0000,          0.0000,          0.0000,          0.0000
          41,        0.666667,          0.0000,          0.0000,          0.0000,          0.0000
          42,        0.683333,          0.0000,          0.0000,          0.0000,          0.0000
          43,        0.700000,          0.0000,          0.0000,          0.0000,          0.0000
          44,        0.716667,          0.0000,          0.0000,          0.0000,          0.0000
          45,        0.733333,          0.0000,          0.0000,          0.0000,          0.0000
          46,        0.750000,          0.0000,          0.0000,          0.0000,          0.0000
          47,        0.766667,          0.0000,          0.0000,          0.0000,          0.0000
          48,        0.783333,          0.0000,          0.0000,          0.0000,          0.0000
          49,        0.800000,          0.0000,          0.0000,          0.0000,          0.0000
          50,        0.816667,          0.0000,          0.0000,          0.0000,          0.0000
          51,        0.833333,          0.0000,          0.0000,          0.0000,          0.0000
          52,        0.850000,          0.0000,          0.0000,          0.0000,          0.0000
          53,        0.866667,          0.0000,          0.0000,          0.0000,          0.0000
          54,        0.883333,          0.0000,          0.0000,          0.0000,          0.0000
          55,        0.900000,          0.0000,          0.0000,          0.0000,          0.0000
          56,        0.916667,          0.0000,          0.0000,          0.0000,          0.0000
          57,        0.933333,          0.0000,          0.0000,          0.0000,          0.0000
          58,        0.950000,          0.0000,          0.0000,          0.0000,          0.0000
          59,        0.966667,          0.0000,          0.0000,          0.0000,          0.0000
          60,        0.983333,          0.0030,          0.0000,          0.0000,          0.0000
          61,        1.000000,          0.0060,          0.0000,          0.0000,          0.0000
          62,        1.016667,          0.0078,          0.0000,          0.0000,          0.0000
          63,        1.033333,          0.0093,          0.0000,          0.0000,          0.0000
          64,        1.050000,          0.0106,          0.0000,          0.0000,          0.0000
          65,        1.066667,          0.0117,          0.0000,          0.0000,          0.0000
          66,        1.083333,          0.0127,          0.0000,          0.0000,          0.0000
          67,        1.100000,          0.0135,          0.0000,          0.0000,          0.0000
          68,        1.116667,          0.0143,          0.0000,          0.0000,          0.0000
          69,        1.133333,          0.0147,          0.0000,          0.0000,          0.0000
          70,        1.150000,          0.0155,          0.0000,          0.0000,          0.0000
          71,        1.166667,          0.0160,          0.0000,          0.0000,          0.0000
          72,        1.183333,          0.0164,          0.0000,          0.0000,          0.0000
          73,        1.200000,          0.0168,          0.0000,          0.0000,          0.0000
          74,        1.216667,          0.0171,          0.0000,          0.0000,          0.0000
          75,        1.233333,          0.0174,          0.0000,          0.0000,          0.0000
          76,        1.250000,          0.0176,          0.0000,          0.0000,          0.0000
          77,        1.266667,          0.0178,          0.0000,          0.0000,          0.0000
          78,        1.283333,          0.0180,          0.0000,          0.0000,          0.0000
          79,        1.300000,          0.0181,          0.0000,          0.0000,          0.0000
          80,        1.316667,          0.0182,          0.0000,          0.0000,          0.0000
          81,        1.333333,          0.0183,          0.0000,          0.0000,          0.0000
          82,        1.350000,          0.0184,          0.0000,          0.0000,          0.0000
          83,        1.366667,          0.0185,          0.0000,          0.0000,          0.0000
          84,        1.383333,          0.0185,          0.0000,          0.0000,          0.0000
          85,        1.400000,          0.0186,          0.0000,          0.0000,          0.0000
          86,        1.416667,          0.0187,          0.0000,          0.0000,          0.0000
          87,        1.433333,          0.0187,          0.0061,          0.0000,          0.0000
          88,        1.450000,          0.0187,          0.0069,          0.0000,          0.0000
          89,        1.466667,          0.0188,          0.0074,          0.0000,          0.0000
          90,        1.483333,          0.0188,          0.0066,          0.0000,          0.0000
          91,        1.500000,          0.0188,          0.0059,          0.0000,          0.0000
          92,        1.516667,          0.0188,          0.0061,          0.0000,          0.0000
          93,        1.533333,          0.0188,          0.0063,          0.0000,          0.0000
          94,        1.550000,          0.0188,          0.0083,          0.0000,          0.0000
          95,        1.566667,          0.0188,          0.0109,          0.0000,          0.0000
          96,        1.583333,          0.0188,          0.0124,          0.0000,          0.0000
          97,        1.600000,          0.0189,          0.0139,          0.0000,          0.0000
          98,        1.616667,          0.0189,          0.0158,          0.0000,          0.0000
          99,        1.633333,          0.0189,          0.0169,          0.0000,          0.0000
         100,        1.650000,          0.0189,          0.0175,          0.0000,          0.0000
         101,        1.666667,          0.0189,          0.0180,          0.0000,          0.0000
         102,        1.683333,          0.0189,          0.0183,          0.0000,          0.0000
         103,        1.700000,          0.0189,          0.0184,          0.0000,          0.0000
         104,        1.716667,          0.0189,          0.0186,          0.0000,          0.0000
         105,        1.733333,          0.0189,          0.0187,          0.0000,          0.0000
         106,        1.750000,          0.0189,          0.0187,          0.0000,          0.0000
         107,        1.766667,          0.0189,          0.0188,          0.0000,          0.0000
         108,        1.783333,          0.0189,          0.0187,          0.0000,          0.0000
         109,        1.800000,          0.0189,          0.0186,          0.0000,          0.0000
         110,        1.816667,          0.0189,          0.0186,          0.0000,          0.0000
         111,        1.833333,          0.0189,          0.0184,          0.0000,          0.0000
         112,        1.850000,          0.0189,          0.0181,          0.0000,          0.0000
         113,        1.866667,          0.0189,          0.0172,          0.0000,          0.0000
         114,        1.883333,          0.0189,          0.0156,          0.0000,          0.0000
         115,        1.900000,          0.0189,          0.0142,          0.0002,          0.0000
         116,        1.916667,          0.0189,          0.0142,          0.0002,          0.0000
         117,        1.933333,          0.0189,          0.0137,          0.0002,          0.0000
         118,        1.950000,          0.0189,          0.0139,          0.0002,          0.0000
         119,        1.966667,          0.0189,          0.0139,          0.0007,          0.0000
         120,        1.983333,          0.0189,          0.0141,          0.0016,          0.0000
         121,        2.000000,          0.0189,          0.0144,          0.0025,          0.0000
         122,        2.016667,          0.0189,          0.0148,          0.0031,          0.0000
         123,        2.033333,          0.0189,          0.0149,          0.0038,          0.0000
         124,        2.050000,          0.0189,          0.0152,          0.0046,          0.0000
         125,        2.066667,          0.0189,          0.0153,          0.0056,          0.0000
         126,        2.083333,          0.0189,          0.0156,          0.0065,          0.0000
         127,        2.100000,          0.0189,          0.0158,          0.0074,          0.0000
         128,        2.116667,          0.0189,          0.0159,          0.0082,          0.0000
         129,        2.133333,          0.0189,          0.0163,          0.0090,          0.0000
         130,        2.150000,          0.0189,          0.0164,          0.0097,          0.0000
         131,        2.166667,          0.0189,          0.0164,          0.0105,          0.0000
         132,        2.183333,          0.0189,          0.0167,          0.0112,          0.0000
         133,        2.200000,          0.0189,          0.0169,          0.0117,          0.0000
         134,        2.216667,          0.0189,          0.0171,          0.0122,          0.0000
         135,        2.233333,          0.0189,          0.0172,          0.0128,          0.0000
         136,        2.250000,          0.0189,          0.0172,          0.0131,          0.0000
         137,        2.266667,          0.0189,          0.0175,          0.0135,          0.0000
         138,        2.283333,          0.0189,          0.0175,          0.0142,          0.0024
         139,        2.300000,          0.0189,          0.0177,          0.0200,          0.0090
         140,        2.316667,          0.0189,          0.0179,          0.0130,          0.0115
         141,        2.333333,          0.0189,          0.0179,          0.0177,          0.0124
         142,        2.350000,          0.0189,          0.0178,          0.0149,          0.0134
         143,        2.366667,          0.0189,          0.0179,          0.0186,          0.0142
         144,        2.383333,          0.0189,          0.0179,          0.0132,          0.0147
         145,        2.400000,          0.0189,          0.0180,          0.0139,          0.0151
         146,        2.416667,          0.0189,          0.0181,          0.0161,          0.0152
         147,        2.433333,          0.0189,          0.0183,          0.0164,          0.0156
         148,        2.450000,          0.0189,          0.0184,          0.0167,          0.0157
         149,        2.466667,          0.0189,          0.0183,          0.0205,          0.0159
         150,        2.483333,          0.0189,          0.0185,          0.0172,          0.0160
         151,        2.500000,          0.0189,          0.0185,          0.0174,          0.0166
         152,        2.516667,          0.0189,          0.0186,          0.0174,          0.0167
         153,        2.533333,          0.0189,          0.0187,          0.0176,          0.0168
         154,        2.550000,          0.0189,          0.0186,          0.0178,          0.0174
         155,        2.566667,          0.0189,          0.0187,          0.0178,          0.0174
         156,        2.583333,          0.0189,          0.0185,          0.0179,          0.0175
         157,        2.600000,          0.0189,          0.0187,          0.0180,          0.0176
         158,        2.616667,          0.0189,          0.0187,          0.0181,          0.0178
         159,        2.633333,          0.0189,          0.0188,          0.0182,          0.0179
         160,        2.650000,          0.0189,          0.0188,          0.0182,          0.0180
         161,        2.666667,          0.0189,          0.0187,          0.0183,          0.0180
         162,        2.683333,          0.0189,          0.0187,          0.0183,          0.0181
         163,        2.700000,          0.0189,          0.0188,          0.0184,          0.0181
         164,        2.716667,          0.0189,          0.0189,          0.0185,          0.0182
         165,        2.733333,          0.0189,          0.0188,          0.0185,          0.0181
         166,        2.750000,          0.0189,          0.0188,          0.0185,          0.0181
         167,        2.766667,          0.0189,          0.0188,          0.0187,          0.0183
         168,        2.783333,          0.0189,          0.0188,          0.0188,          0.0184
         169,        2.800000,          0.0189,          0.0189,          0.0188,          0.0185
         170,        2.816667,          0.0189,          0.0190,          0.0188,          0.0186
         171,        2.833333,          0.0189,          0.0190,          0.0188,          0.0187
         172,        2.850000,          0.0189,          0.0189,          0.0188,          0.0187
         173,        2.866667,          0.0189,          0.0190,          0.0188,          0.0187
         174,        2.883333,          0.0189,          0.0188,          0.0188,          0.0188
         175,        2.900000,          0.0189,          0.0189,          0.0188,          0.0188
         176,        2.916667,          0.0189,          0.0190,          0.0188,          0.0188
         177,        2.933333,          0.0189,          0.0189,          0.0188,          0.0188
         178,        2.950000,          0.0189,          0.0189,          0.0188,          0.0188
         179,        2.966667,          0.0189,          0.0190,          0.0188,          0.0188
         180,        2.983333,          0.0189,          0.0190,          0.0188,          0.0188
         181,        3.000000,          0.0189,          0.0189,          0.0188,          0.0188
         182,        3.016667,          0.0189,          0.0189,          0.0188,          0.0188
         183,        3.033333,          0.0189,          0.0188,          0.0188,          0.0188
         184,        3.050000,          0.0189,          0.0188,          0.0188,          0.0188
         185,        3.066667,          0.0189,          0.0190,          0.0188,          0.0188
         186,        3.083333,          0.0189,          0.0189,          0.0188,          0.0188
         187,        3.100000,          0.0189,          0.0189,          0.0189,          0.0188
         188,        3.116667,          0.0189,          0.0188,          0.0189,          0.0188
         189,        3.133333,          0.0189,          0.0189,          0.0189,          0.0189
         190,        3.150000,          0.0189,          0.0190,          0.0189,          0.0188
         191,        3.166667,          0.0189,          0.0188,          0.0189,          0.0189
         192,        3.183333,          0.0189,          0.0190,          0.0189,          0.0189
         193,        3.200000,          0.0189,          0.0189,          0.0189,          0.0189
         194,        3.216667,          0.0189,          0.0189,          0.0189,          0.0189
         195,        3.233333,          0.0189,          0.0189,          0.0189,          0.0189
         196,        3.250000,          0.0189,          0.0188,          0.0189,          0.0189
         197,        3.266667,          0.0189,          0.0190,          0.0189,          0.0189
         198,        3.283333,          0.0189,          0.0189,          0.0189,          0.0189
         199,        3.300000,          0.0189,          0.0188,          0.0189,          0.0189
         200,        3.316667,          0.0189,          0.0190,          0.0189,          0.0189
         201,        3.333333,          0.0189,          0.0187,          0.0189,          0.0189
         202,        3.350000,          0.0189,          0.0189,          0.0189,          0.0189
         203,        3.366667,          0.0189,          0.0190,          0.0189,          0.0189
         204,        3.383333,          0.0189,          0.0190,          0.0189,          0.0189
         205,        3.400000,          0.0189,          0.0189,          0.0189,          0.0189
         206,        3.416667,          0.0189,          0.0188,          0.0189,          0.0189
         207,        3.433333,          0.0189,          0.0189,          0.0189,          0.0189
         208,        3.450000,          0.0189,          0.0190,          0.0189,          0.0189
         209,        3.466667,          0.0189,          0.0189,          0.0189,          0.0189
         210,        3.483333,          0.0189,          0.0189,          0.0189,          0.0189
         211,        3.500000,          0.0189,          0.0188,          0.0189,          0.0189
         212,        3.516667,          0.0189,          0.0189,          0.0189,          0.0189
