"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.167,              ,  13289.54    ,  42524.75    ,  72876.00    ,  0.000000    ,  86165.54    ,  42524.75    ,  43640.80    ,  43640.80    , 0.3085639E-02, 0.2397725E-05,  128690.3    ,  43640.80    ,  128690.3    , 0.3085639E-02, 0.2397725E-05, 0.2397725E-05
         0.333,              ,  0.000000    ,  72855.90    ,  72876.00    ,  0.000000    ,  72876.00    ,  72855.90    ,  20.10009    ,  20.09375    ,-0.6335829E-02,-0.4347592E-05,  145731.9    ,  43660.89    ,  274422.2    ,-0.3250190E-02,-0.1184376E-05,-0.1184376E-05
         0.500,              ,  0.000000    ,  72663.36    ,  72876.00    ,  0.000000    ,  72876.00    ,  72663.36    ,  212.6388    ,  212.6445    , 0.5691528E-02, 0.3910645E-05,  145539.4    ,  43873.54    ,  419961.5    , 0.2441339E-02, 0.5813243E-06, 0.5813243E-06
         0.667,              ,  0.000000    ,  72875.01    ,  72876.01    ,  0.000000    ,  72876.01    ,  72875.01    , 0.9985200    ,  1.000000    , 0.1480032E-02, 0.1015452E-05,  145751.0    ,  43874.54    ,  565712.6    , 0.3921370E-02, 0.6931737E-06, 0.6931737E-06
         0.833,              ,  0.000000    ,  72876.00    ,  72876.01    ,  0.000000    ,  72876.01    ,  72876.00    , 0.5691642E-02, 0.3906250E-02,-0.1785392E-02,-0.1224952E-05,  145752.0    ,  43874.54    ,  711464.6    , 0.2135979E-02, 0.3002228E-06, 0.3002228E-06
         1.000,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    ,-0.2593994E-03,  0.000000    , 0.2593994E-03, 0.1779732E-06,  145752.0    ,  43874.54    ,  857216.5    , 0.2395378E-02, 0.2794367E-06, 0.2794367E-06
         1.167,              ,  0.000000    ,  72876.03    ,  72876.04    ,  0.000000    ,  72876.04    ,  72876.03    , 0.9674393E-02, 0.1171875E-01, 0.2044357E-02, 0.1402627E-05,  145752.1    ,  43874.55    ,  1002969.    , 0.4439735E-02, 0.4426594E-06, 0.4426594E-06
         1.333,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    ,-0.5187280E-03,-0.7812500E-02,-0.7293772E-02,-0.5004235E-05,  145752.0    ,  43874.55    ,  1148721.    ,-0.2854037E-02,-0.2484535E-06,-0.2484535E-06
         1.500,              ,  0.000000    ,  72875.99    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.99    ,-0.1998901E-02, 0.3906250E-02, 0.5905151E-02, 0.4051507E-05,  145752.0    ,  43874.55    ,  1294473.    , 0.3051115E-02, 0.2357033E-06, 0.2357033E-06
         1.667,              ,  0.000000    ,  72876.03    ,  72876.04    ,  0.000000    ,  72876.04    ,  72876.03    , 0.8896034E-02,-0.3906250E-02,-0.1280228E-01,-0.8783604E-05,  145752.1    ,  43874.55    ,  1440225.    ,-0.9751169E-02,-0.6770589E-06,-0.6770589E-06
         1.833,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.3707867E-02,  0.000000    ,-0.3707867E-02,-0.2543957E-05,  145752.0    ,  43874.55    ,  1585977.    ,-0.1345904E-01,-0.8486277E-06,-0.8486277E-06
         2.000,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    , 0.2563477E-02, 0.7812500E-02, 0.5249023E-02, 0.3601340E-05,  145752.0    ,  43874.55    ,  1731729.    ,-0.8210013E-02,-0.4740935E-06,-0.4740935E-06
