"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.167,         338,         0,         0,  2.272985    , 0.1666667    ,  13289.54    ,  42524.75    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  43640.80    ,  43640.80    , 0.3085639E-02,  43640.80    ,     0.000
         0.333,         621,         0,         1,  2.045291    , 0.3307580    ,  0.000000    ,  72855.90    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20.10009    ,  20.09375    ,-0.6335829E-02,  43660.89    ,    -0.000
         0.500,         921,         0,         1,  2.051464    , 0.5000000    ,  0.000000    ,  72663.36    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  212.6388    ,  212.6445    , 0.5691528E-02,  43873.54    ,     0.000
         0.667,        1222,         0,         1,  2.057639    , 0.6522222    ,  0.000000    ,  72875.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.9985200    ,  1.000000    , 0.1480032E-02,  43874.54    ,     0.000
         0.833,        1523,         0,         1,  2.063824    , 0.7800000    ,  0.000000    ,  72876.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.01    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5691642E-02, 0.3906250E-02,-0.1785392E-02,  43874.54    ,    -0.000
         1.000,        1822,         0,         1,  2.070063    , 0.9527778    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.2593994E-03,  0.000000    , 0.2593994E-03,  43874.54    ,     0.000
         1.167,        2113,         0,         1,  2.076106    ,  1.148851    ,  0.000000    ,  72876.03    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.9674393E-02, 0.1171875E-01, 0.2044357E-02,  43874.55    ,     0.000
         1.333,        2404,         0,         1,  2.082117    ,  1.304023    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.5187280E-03,-0.7812500E-02,-0.7293772E-02,  43874.55    ,    -0.000
         1.500,        2694,         0,         1,  2.088192    ,  1.304023    ,  0.000000    ,  72875.99    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1998901E-02, 0.3906250E-02, 0.5905151E-02,  43874.55    ,     0.000
         1.667,        2985,         0,         1,  2.094282    ,  1.569540    ,  0.000000    ,  72876.03    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72876.04    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.8896034E-02,-0.3906250E-02,-0.1280228E-01,  43874.55    ,    -0.000
         1.833,        3276,         0,         1,  2.100410    ,  1.721839    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3707867E-02,  0.000000    ,-0.3707867E-02,  43874.55    ,    -0.000
         2.000,        3566,         0,         1,  2.106536    ,  1.987931    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  72875.98    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2563477E-02, 0.7812500E-02, 0.5249023E-02,  43874.55    ,     0.000
