Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.28,      0.28
Start 2D BC Array Sizes Domain_001                ,      0.29,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.30,      0.01
Start Estry Setup s0                              ,      0.30,      0.00
End Estry Setup s0                                ,      0.30,      0.00
Start TUFLOW Setup s2                             ,      0.31,      0.00
End TUFLOW Setup s2                               ,      0.45,      0.14
Reading Geometry File Domain_001                  ,      0.48,      0.03
Start Read Grid Read GRID Zpts                    ,      0.48,      0.00
End Read Grid Read GRID Zpts                      ,      0.49,      0.01
Start Read Read GIS Code                          ,      0.49,      0.00
End Read Read GIS Code                            ,      0.50,      0.01
Finished Reading Geometry File Domain_001         ,      0.50,      0.00
Start Read input file (stage 2) Domain_001        ,      0.50,      0.00
End Read input file (stage 2) Domain_001          ,      0.53,      0.03
Identifying cells within user defined output zones,      0.53,      0.00
Finished Identifying cells within user defined out,      0.53,      0.00
Setting instability water levels Domain_001       ,      0.53,      0.00
Finished Setting instability water levels Domain_0,      0.53,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.54,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.54,      0.00
Start Reading Input File (Stage 3)                ,      0.54,      0.00
End Reading Input File (Stage 3)                  ,      0.54,      0.00
Reading Boundary File Domain_001                  ,      0.54,      0.00
Finished Reading Boundary File Domain_001         ,      0.61,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.62,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.64,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.64,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.66,      0.02
Start Writing _grd_check                          ,      0.68,      0.02
End Writing _grd_check                            ,      1.49,      0.82
Start Writing _zpt_check                          ,      1.49,      0.00
End Writing _zpt_check                            ,      2.59,      1.10
Start Writing _uvpt_check                         ,      2.59,      0.00
End Writing _uvpt_check                           ,      3.27,      0.67
Start Writing check DEMs                          ,      4.39,      1.12
Start Calculating grid interpolation factors      ,      4.39,      0.00
End Calculating grid interpolation factors        ,      4.46,      0.07
End Writing check DEMs                            ,      4.51,      0.05
Start Calculating grid interpolation factors      ,      4.51,      0.00
End Calculating grid interpolation factors        ,      4.57,      0.07
Starting Simulation                               ,      4.60,      0.02
Summary File Close                                ,      4.60,      0.00
