"OutphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_002.tcf]","Time (h)","Q 2 [OutphaseC4_002]","Q 3 [OutphaseC4_002]","Q 4 [OutphaseC4_002]","Q 5 [OutphaseC4_002]","Q 6 [OutphaseC4_002]","Q 7 [OutphaseC4_002]","Q 1 [OutphaseC4_002]","Q  8 [OutphaseC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0206,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0689,          0.0000
           8,        0.058333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1237,          0.0000
           9,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1681,          0.0000
          10,        0.075000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.2154,          0.0000
          11,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.2584,          0.0000
          12,        0.091667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3135,          0.0000
          13,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3524,          0.0000
          14,        0.108333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3945,          0.0000
          15,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.4376,          0.0000
          16,        0.125000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.4969,          0.0000
          17,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.5425,          0.0000
          18,        0.141667,         -0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6064,          0.0000
          19,        0.150000,         -0.0689,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6785,          0.0000
          20,        0.158333,         -0.1868,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.7620,          0.0000
          21,        0.166667,         -0.3123,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.8559,          0.0000
          22,        0.175000,         -0.4394,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.9622,          0.0000
          23,        0.183333,         -0.5766,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0521,          0.0000
          24,        0.191667,         -0.7096,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.1503,          0.0000
          25,        0.200000,         -0.8406,         -0.1653,          0.0000,          0.0000,          0.0000,          0.0000,         -1.2397,          0.0000
          26,        0.208333,         -0.9670,         -0.2138,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3246,          0.0000
          27,        0.216667,         -1.0845,         -0.2708,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3978,          0.0000
          28,        0.225000,         -1.1918,         -0.3331,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4791,          0.0000
