"VanillaC4_017","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_017.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\results\017\VanillaC4_017_POMM.csv","Maximum (Extracted from Time Series)",          3.1507,          2.0400,          2.5794,          2.3750,          2.3484,          1.7966,          1.8123,          1.8095,          1.8199,          1.8483,          1.6754,          1.8385,          2.0246,          1.9907,          2.0573,          2.8922,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0014
"","Time of Maximum",          0.0083,          0.0167,          0.0167,          0.0250,          0.0333,          0.0500,          0.0583,          0.0750,          4.1500,          4.1417,          4.1250,          4.1167,          4.1167,          4.1083,          4.1000,          0.0083,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0583,          0.0000,          0.0750
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -60.0007,        -60.0005,        -60.0006,        -60.0006,        -60.0048,        -60.0688,        -60.0008,        -60.4557
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.5833,          5.7750,          3.6833,          5.5583,          4.1333,          4.1167,          2.6583,          4.1000
