"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6653.177    ,     0.000
         4.000,       64386,         0,         7, 0.2331174    ,  3.994509    , 0.8365527    ,  844184.6    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  864000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  19816.21    ,  19816.23    , 0.1985522E-01,  26469.40    ,     0.000
         4.500,       72498,         0,         8, 0.2275544    ,  4.487030    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2733231E-02, 0.3906250E-02, 0.1173019E-02,  26469.41    ,     0.000
         5.000,       80555,         0,         9, 0.2220074    ,  4.982966    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2164841E-03, 0.1953125E-02, 0.1736641E-02,  26469.41    ,     0.000
         5.500,       88541,         0,        10, 0.2164424    ,  5.442024    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.4481602E-01,-0.5078125E-01,-0.5965233E-02,  26469.36    ,    -0.000
         6.000,       96564,         0,        10, 0.2345441    ,  5.999806    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  108000.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3468323E-01, 0.4296875E-01, 0.8285522E-02,  26469.40    ,     0.000
         6.000,       96565,         0,        10, 0.2345467    ,  5.999806    ,  0.000000    ,  7.518805    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7.518768    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.3671646E-04,-0.1171875E-01,-0.1168203E-01,  26469.39    ,    -0.078
