"InphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_021.tcf]","Time (h)","Q 2 [InphaseC4_021]","Q 3 [InphaseC4_021]","Q 4 [InphaseC4_021]","Q 5 [InphaseC4_021]","Q 6 [InphaseC4_021]","Q 7 [InphaseC4_021]","Q 1 [InphaseC4_021]","Q  8 [InphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,        -69.8472,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,        -92.2660,          0.0003
           3,        0.016667,        -87.9518,        -41.8895,          0.0000,          0.0000,          0.0000,         -0.0003,        -98.5447,          0.0006
           4,        0.025000,        -88.4022,        -70.4566,        -50.0932,          0.0000,          0.0009,          0.0000,        -97.2858,         -0.0014
           5,        0.033333,        -90.4164,        -82.4611,        -70.8465,        -48.8867,          0.0001,         -0.0004,        -98.0359,          0.0006
           6,        0.041667,        -92.6921,        -88.2101,        -78.3859,        -66.6686,        -45.6193,         -0.0014,        -95.6641,         -0.0010
           7,        0.050000,        -95.2936,        -92.3814,        -83.0650,        -76.7269,        -66.0740,        -49.2336,        -96.9062,          0.0004
           8,        0.058333,        -97.1888,        -95.3043,        -88.3224,        -83.6749,        -76.3402,        -60.2434,        -98.1400,        -58.2340
           9,        0.066667,        -98.4867,        -97.1106,        -92.4709,        -89.3243,        -79.4622,        -77.6319,        -99.0432,        -93.6597
          10,        0.075000,        -99.2002,        -98.0868,        -95.1661,        -93.1520,        -85.9936,        -94.6711,        -99.4953,       -100.0470
          11,        0.083333,        -99.5451,        -98.6878,        -96.9254,        -95.4849,        -91.8531,       -100.1919,        -99.7299,       -102.1465
          12,        0.091667,        -99.6988,        -99.0599,        -97.9486,        -96.5290,        -97.2091,       -100.4383,        -99.8557,       -101.1094
          13,        0.100000,        -99.7440,        -99.3306,        -98.5244,        -97.5588,        -99.4816,       -100.6074,        -99.8618,       -100.5920
          14,        0.108333,        -99.7964,        -99.5023,        -98.7679,        -98.4520,        -99.9968,       -100.4578,        -99.9159,       -100.3697
          15,        0.116667,        -99.8463,        -99.6155,        -99.1162,        -99.0854,        -99.9879,       -100.2397,        -99.9135,       -100.2773
          16,        0.125000,        -99.8614,        -99.6829,        -99.4434,        -99.4979,        -99.8555,       -100.0465,        -99.8867,       -100.1164
          17,        0.133333,        -99.9180,        -99.7678,        -99.7015,        -99.7231,        -99.8195,        -99.9096,       -100.0076,        -99.9264
          18,        0.141667,        -99.9525,        -99.8480,        -99.8441,        -99.8464,        -99.8466,        -99.8630,        -99.9671,        -99.8322
          19,        0.150000,        -99.9139,        -99.9113,        -99.9155,        -99.9101,        -99.8897,        -99.8567,        -99.8954,        -99.8254
          20,        0.158333,        -99.9743,        -99.9402,        -99.9470,        -99.9365,        -99.9230,        -99.8744,       -100.0692,        -99.8561
          21,        0.166667,       -100.0139,        -99.9678,        -99.9561,        -99.9534,        -99.9392,        -99.9027,        -99.9904,        -99.8951
          22,        0.175000,        -99.9303,        -99.9876,        -99.9758,        -99.9685,        -99.9497,        -99.9268,        -99.8542,        -99.9253
          23,        0.183333,       -100.0103,        -99.9828,        -99.9876,        -99.9745,        -99.9591,        -99.9444,       -100.1476,        -99.9443
          24,        0.191667,       -100.0639,        -99.9958,        -99.9790,        -99.9865,        -99.9694,        -99.9592,       -100.0112,        -99.9588
          25,        0.200000,        -99.9068,       -100.0047,        -99.9984,        -99.9941,        -99.9787,        -99.9703,        -99.7841,        -99.9691
          26,        0.208333,       -100.0192,        -99.9863,       -100.0037,        -99.9875,        -99.9865,        -99.9791,       -100.2175,        -99.9784
          27,        0.216667,       -100.0948,        -99.9974,        -99.9812,        -99.9983,        -99.9882,        -99.9857,       -100.0327,        -99.9850
          28,        0.225000,        -99.8766,       -100.0121,       -100.0028,       -100.0006,        -99.9926,        -99.9890,        -99.6822,        -99.9898
          29,        0.233333,       -100.0143,        -99.9837,       -100.0112,        -99.9886,        -99.9963,        -99.9930,       -100.2809,        -99.9929
          30,        0.241667,       -100.1333,        -99.9968,        -99.9790,       -100.0007,        -99.9940,        -99.9942,       -100.0813,        -99.9951
          31,        0.250000,        -99.8455,       -100.0175,       -100.0039,       -100.0063,        -99.9967,        -99.9957,        -99.5851,        -99.9965
          32,        0.258333,       -100.0061,        -99.9819,       -100.0183,        -99.9882,       -100.0009,        -99.9968,       -100.3367,        -99.9971
          33,        0.266667,       -100.1691,        -99.9967,        -99.9756,       -100.0031,        -99.9958,        -99.9980,       -100.1221,        -99.9978
          34,        0.275000,        -99.8183,       -100.0233,       -100.0025,       -100.0097,        -99.9981,        -99.9991,        -99.4953,        -99.9987
          35,        0.283333,        -99.9933,        -99.9790,       -100.0246,        -99.9859,       -100.0027,       -100.0000,       -100.3666,        -99.9988
          36,        0.291667,       -100.1978,        -99.9963,        -99.9721,       -100.0034,        -99.9967,       -100.0000,       -100.1639,        -99.9992
          37,        0.300000,        -99.8036,       -100.0271,       -100.0012,       -100.0128,        -99.9990,        -99.9998,        -99.4303,        -99.9992
          38,        0.308333,        -99.9818,        -99.9764,       -100.0301,        -99.9846,       -100.0049,        -99.9992,       -100.3842,       -100.0002
          39,        0.316667,       -100.2179,        -99.9943,        -99.9706,       -100.0020,        -99.9965,       -100.0004,       -100.1987,       -100.0000
          40,        0.325000,        -99.7943,       -100.0320,        -99.9991,       -100.0152,        -99.9990,       -100.0010,        -99.3828,       -100.0006
          41,        0.333333,        -99.9722,        -99.9738,       -100.0338,        -99.9824,       -100.0056,       -100.0007,       -100.4008,       -100.0003
          42,        0.341667,       -100.2324,        -99.9928,        -99.9686,       -100.0018,        -99.9960,        -99.9999,       -100.2346,       -100.0006
          43,        0.350000,        -99.7907,       -100.0339,        -99.9980,       -100.0162,        -99.9975,       -100.0013,        -99.3534,       -100.0000
          44,        0.358333,        -99.9654,        -99.9733,       -100.0357,        -99.9816,       -100.0069,        -99.9996,       -100.3997,        -99.9999
          45,        0.366667,       -100.2413,        -99.9926,        -99.9680,       -100.0011,        -99.9966,       -100.0003,       -100.2515,       -100.0008
          46,        0.375000,        -99.7876,       -100.0353,        -99.9959,       -100.0171,        -99.9976,       -100.0005,        -99.3292,       -100.0005
          47,        0.383333,        -99.9580,        -99.9719,       -100.0378,        -99.9817,       -100.0068,        -99.9996,       -100.3982,        -99.9997
          48,        0.391667,       -100.2461,        -99.9930,        -99.9671,       -100.0006,        -99.9965,       -100.0008,       -100.2671,       -100.0004
          49,        0.400000,        -99.7883,       -100.0359,        -99.9951,       -100.0184,        -99.9973,       -100.0012,        -99.3189,       -100.0001
          50,        0.408333,        -99.9524,        -99.9722,       -100.0392,        -99.9814,       -100.0065,        -99.9998,       -100.3946,        -99.9996
          51,        0.416667,       -100.2509,        -99.9912,        -99.9674,       -100.0006,        -99.9965,       -100.0004,       -100.2848,       -100.0005
          52,        0.425000,        -99.7898,       -100.0381,        -99.9938,       -100.0194,        -99.9968,       -100.0010,        -99.3123,        -99.9992
          53,        0.433333,        -99.9499,        -99.9716,       -100.0398,        -99.9811,       -100.0075,        -99.9990,       -100.3951,        -99.9993
          54,        0.441667,       -100.2576,        -99.9912,        -99.9664,        -99.9990,        -99.9968,        -99.9999,       -100.2969,       -100.0008
          55,        0.450000,        -99.7890,       -100.0365,        -99.9945,       -100.0200,        -99.9965,       -100.0008,        -99.3023,        -99.9999
          56,        0.458333,        -99.9471,        -99.9714,       -100.0397,        -99.9804,       -100.0072,        -99.9994,       -100.3895,        -99.9995
          57,        0.466667,       -100.2600,        -99.9903,        -99.9667,        -99.9978,        -99.9970,        -99.9994,       -100.3078,       -100.0001
          58,        0.475000,        -99.7907,       -100.0369,        -99.9932,       -100.0190,        -99.9971,       -100.0004,        -99.2999,        -99.9995
          59,        0.483333,        -99.9436,        -99.9718,       -100.0417,        -99.9824,       -100.0076,       -100.0002,       -100.3844,        -99.9995
          60,        0.491667,       -100.2608,        -99.9901,        -99.9674,        -99.9978,        -99.9967,        -99.9988,       -100.3131,       -100.0005
          61,        0.500000,        -99.7921,       -100.0384,        -99.9922,       -100.0199,        -99.9970,       -100.0000,        -99.2976,        -99.9998
          62,        0.508333,        -99.9398,        -99.9716,       -100.0413,        -99.9816,       -100.0064,        -99.9997,       -100.3802,        -99.9994
          63,        0.516667,       -100.2603,        -99.9905,        -99.9674,        -99.9983,        -99.9964,        -99.9999,       -100.3193,       -100.0006
          64,        0.525000,        -99.7913,       -100.0388,        -99.9922,       -100.0202,        -99.9964,       -100.0004,        -99.2918,       -100.0007
          65,        0.533333,        -99.9384,        -99.9719,       -100.0411,        -99.9809,       -100.0073,        -99.9991,       -100.3735,        -99.9997
          66,        0.541667,       -100.2637,        -99.9900,        -99.9675,        -99.9990,        -99.9972,       -100.0003,       -100.3243,       -100.0002
          67,        0.550000,        -99.7931,       -100.0370,        -99.9917,       -100.0201,        -99.9969,       -100.0017,        -99.2921,        -99.9999
          68,        0.558333,        -99.9378,        -99.9713,       -100.0414,        -99.9808,       -100.0070,        -99.9989,       -100.3735,        -99.9994
          69,        0.566667,       -100.2638,        -99.9898,        -99.9685,        -99.9975,        -99.9963,        -99.9989,       -100.3297,       -100.0003
          70,        0.575000,        -99.7944,       -100.0386,        -99.9917,       -100.0209,        -99.9960,       -100.0014,        -99.2898,        -99.9999
          71,        0.583333,        -99.9353,        -99.9713,       -100.0419,        -99.9819,       -100.0074,        -99.9983,       -100.3704,        -99.9997
          72,        0.591667,       -100.2654,        -99.9902,        -99.9666,        -99.9975,        -99.9963,        -99.9999,       -100.3372,       -100.0005
          73,        0.600000,        -99.7938,       -100.0394,        -99.9910,       -100.0207,        -99.9964,       -100.0013,        -99.2885,       -100.0002
          74,        0.608333,        -99.9346,        -99.9717,       -100.0408,        -99.9815,       -100.0072,       -100.0004,       -100.3698,        -99.9998
          75,        0.616667,       -100.2653,        -99.9901,        -99.9676,        -99.9972,        -99.9970,        -99.9988,       -100.3403,       -100.0007
          76,        0.625000,        -99.7940,       -100.0387,        -99.9909,       -100.0209,        -99.9962,       -100.0015,        -99.2862,       -100.0002
          77,        0.633333,        -99.9318,        -99.9718,       -100.0420,        -99.9809,       -100.0075,        -99.9987,       -100.3671,        -99.9996
          78,        0.641667,       -100.2663,        -99.9886,        -99.9682,        -99.9966,        -99.9961,       -100.0000,       -100.3410,       -100.0008
          79,        0.650000,        -99.7947,       -100.0385,        -99.9904,       -100.0209,        -99.9967,       -100.0011,        -99.2843,       -100.0001
          80,        0.658333,        -99.9330,        -99.9712,       -100.0419,        -99.9811,       -100.0073,        -99.9994,       -100.3631,       -100.0001
          81,        0.666667,       -100.2670,        -99.9899,        -99.9672,        -99.9964,        -99.9964,        -99.9999,       -100.3440,       -100.0007
          82,        0.675000,        -99.7948,       -100.0396,        -99.9911,       -100.0202,        -99.9967,       -100.0017,        -99.2791,        -99.9998
          83,        0.683333,        -99.9319,        -99.9712,       -100.0422,        -99.9814,       -100.0076,        -99.9988,       -100.3619,        -99.9995
          84,        0.691667,       -100.2678,        -99.9890,        -99.9674,        -99.9978,        -99.9966,        -99.9995,       -100.3438,       -100.0008
          85,        0.700000,        -99.7936,       -100.0392,        -99.9905,       -100.0202,        -99.9959,       -100.0003,        -99.2806,       -100.0005
          86,        0.708333,        -99.9334,        -99.9707,       -100.0426,        -99.9806,       -100.0073,        -99.9992,       -100.3667,       -100.0000
          87,        0.716667,       -100.2673,        -99.9888,        -99.9669,        -99.9972,        -99.9964,        -99.9998,       -100.3465,       -100.0005
          88,        0.725000,        -99.7918,       -100.0392,        -99.9905,       -100.0211,        -99.9957,       -100.0008,        -99.2770,       -100.0000
          89,        0.733333,        -99.9321,        -99.9718,       -100.0422,        -99.9811,       -100.0078,        -99.9989,       -100.3649,        -99.9999
          90,        0.741667,       -100.2695,        -99.9894,        -99.9680,        -99.9967,        -99.9963,        -99.9995,       -100.3432,       -100.0005
          91,        0.750000,        -99.7920,       -100.0391,        -99.9906,       -100.0207,        -99.9959,       -100.0010,        -99.2768,        -99.9996
          92,        0.758333,        -99.9332,        -99.9714,       -100.0427,        -99.9812,       -100.0079,        -99.9991,       -100.3693,        -99.9995
          93,        0.766667,       -100.2694,        -99.9902,        -99.9669,        -99.9972,        -99.9961,       -100.0001,       -100.3446,       -100.0003
          94,        0.775000,        -99.7907,       -100.0390,        -99.9909,       -100.0205,        -99.9958,       -100.0007,        -99.2749,        -99.9999
          95,        0.783333,        -99.9342,        -99.9703,       -100.0431,        -99.9807,       -100.0079,        -99.9991,       -100.3759,        -99.9997
          96,        0.791667,       -100.2696,        -99.9899,        -99.9684,        -99.9967,        -99.9967,        -99.9995,       -100.3416,        -99.9999
          97,        0.800000,        -99.7891,       -100.0392,        -99.9917,       -100.0219,        -99.9958,       -100.0016,        -99.2730,        -99.9994
          98,        0.808333,        -99.9351,        -99.9709,       -100.0429,        -99.9809,       -100.0073,        -99.9979,       -100.3771,        -99.9998
          99,        0.816667,       -100.2698,        -99.9897,        -99.9663,        -99.9977,        -99.9961,        -99.9999,       -100.3340,       -100.0014
         100,        0.825000,        -99.7873,       -100.0391,        -99.9906,       -100.0207,        -99.9967,       -100.0015,        -99.2762,       -100.0001
         101,        0.833333,        -99.9368,        -99.9704,       -100.0431,        -99.9810,       -100.0083,        -99.9991,       -100.3747,        -99.9996
         102,        0.841667,       -100.2700,        -99.9904,        -99.9665,        -99.9980,        -99.9970,       -100.0008,       -100.3380,       -100.0009
         103,        0.850000,        -99.7909,       -100.0388,        -99.9914,       -100.0206,        -99.9967,       -100.0096,        -99.2762,       -100.0051
         104,        0.858333,        -99.9337,        -99.9696,       -100.0427,        -99.9810,       -100.0077,        -99.9940,       -100.3671,        -99.9868
         105,        0.866667,       -100.2681,        -99.9893,        -99.9675,        -99.9972,        -99.9964,       -100.0035,       -100.3424,        -99.9904
         106,        0.875000,        -99.7970,       -100.0385,        -99.9903,       -100.0213,       -100.0002,        -99.9929,        -99.2852,        -99.9932
         107,        0.883333,        -99.9306,        -99.9706,       -100.0436,        -99.9819,       -100.0076,        -99.9958,       -100.3571,        -99.9959
         108,        0.891667,       -100.2656,        -99.9894,        -99.9674,        -99.9961,        -99.9966,        -99.9981,       -100.3527,        -99.9992
         109,        0.900000,        -99.8017,       -100.0392,        -99.9892,       -100.0208,        -99.9955,       -100.0000,        -99.2875,        -99.9999
         110,        0.908333,        -99.9257,        -99.9716,       -100.0429,        -99.9812,       -100.0067,        -99.9985,       -100.3476,        -99.9986
         111,        0.916667,       -100.2648,        -99.9896,        -99.9693,        -99.9964,        -99.9960,        -99.9990,       -100.3553,        -99.9994
         112,        0.925000,        -99.8055,       -100.0387,        -99.9885,       -100.0208,        -99.9954,       -100.0003,        -99.2889,        -99.9990
         113,        0.933333,        -99.9236,        -99.9723,       -100.0434,        -99.9821,       -100.0073,        -99.9986,       -100.3384,        -99.9992
         114,        0.941667,       -100.2625,        -99.9886,        -99.9694,        -99.9951,        -99.9969,       -100.0000,       -100.3653,       -100.0003
         115,        0.950000,        -99.8079,       -100.0391,        -99.9873,       -100.0217,        -99.9961,       -100.0013,        -99.2922,       -100.0004
         116,        0.958333,        -99.9206,        -99.9731,       -100.0427,        -99.9829,       -100.0077,        -99.9984,       -100.3330,        -99.9998
         117,        0.966667,       -100.2626,        -99.9875,        -99.9700,        -99.9953,        -99.9970,        -99.9982,       -100.3701,       -100.0007
         118,        0.975000,        -99.8113,       -100.0389,        -99.9889,       -100.0214,        -99.9953,       -100.0012,        -99.2908,       -100.0001
         119,        0.983333,        -99.9160,        -99.9740,       -100.0420,        -99.9827,       -100.0072,        -99.9991,       -100.3259,        -99.9994
         120,        0.991667,       -100.2625,        -99.9878,        -99.9702,        -99.9958,        -99.9974,        -99.9991,       -100.3779,       -100.0000
         121,        1.000000,        -99.8128,       -100.0396,        -99.9870,       -100.0209,        -99.9964,       -100.0008,        -99.2921,       -100.0004
         122,        1.008333,        -99.9129,        -99.9717,       -100.0430,        -99.9820,       -100.0077,        -99.9991,       -100.3235,        -99.9995
         123,        1.016667,       -100.2641,        -99.9867,        -99.9701,        -99.9956,        -99.9981,       -100.0006,       -100.3810,       -100.0002
         124,        1.025000,        -99.8159,       -100.0389,        -99.9871,       -100.0223,        -99.9959,       -100.0020,        -99.2954,       -100.0001
         125,        1.033333,        -99.9125,        -99.9734,       -100.0424,        -99.9827,       -100.0079,        -99.9990,       -100.3124,        -99.9998
         126,        1.041667,       -100.2642,        -99.9875,        -99.9703,        -99.9949,        -99.9967,        -99.9998,       -100.3877,       -100.0009
         127,        1.050000,        -99.8178,       -100.0398,        -99.9866,       -100.0220,        -99.9950,       -100.0014,        -99.2948,        -99.9997
         128,        1.058333,        -99.9109,        -99.9734,       -100.0426,        -99.9827,       -100.0075,        -99.9982,       -100.3075,        -99.9998
         129,        1.066667,       -100.2636,        -99.9867,        -99.9709,        -99.9939,        -99.9982,        -99.9998,       -100.3969,       -100.0003
         130,        1.075000,        -99.8195,       -100.0393,        -99.9853,       -100.0221,        -99.9956,       -100.0008,        -99.2925,       -100.0001
         131,        1.083333,        -99.9077,        -99.9735,       -100.0434,        -99.9826,       -100.0078,        -99.9986,       -100.3051,        -99.9992
         132,        1.091667,       -100.2648,        -99.9848,        -99.9703,        -99.9952,        -99.9971,       -100.0002,       -100.3992,       -100.0008
         133,        1.100000,        -99.8194,       -100.0393,        -99.9854,       -100.0224,        -99.9954,       -100.0000,        -99.2894,        -99.9997
         134,        1.108333,        -99.9039,        -99.9739,       -100.0433,        -99.9841,       -100.0071,        -99.9998,       -100.3001,        -99.9998
         135,        1.116667,       -100.2644,        -99.9862,        -99.9706,        -99.9938,        -99.9974,        -99.9997,       -100.4009,       -100.0008
         136,        1.125000,        -99.8200,       -100.0396,        -99.9854,       -100.0209,        -99.9956,       -100.0011,        -99.2895,        -99.9997
         137,        1.133333,        -99.9057,        -99.9728,       -100.0432,        -99.9827,       -100.0064,        -99.9989,       -100.2993,        -99.9997
         138,        1.141667,       -100.2691,        -99.9857,        -99.9713,        -99.9939,        -99.9970,        -99.9993,       -100.4057,       -100.0004
         139,        1.150000,        -99.8229,       -100.0406,        -99.9851,       -100.0222,        -99.9955,       -100.0009,        -99.2910,        -99.9998
         140,        1.158333,        -99.9062,        -99.9735,       -100.0435,        -99.9832,       -100.0072,        -99.9989,       -100.3004,        -99.9989
         141,        1.166667,       -100.2696,        -99.9859,        -99.9709,        -99.9937,        -99.9969,        -99.9999,       -100.4106,        -99.9997
         142,        1.175000,        -99.8200,       -100.0404,        -99.9860,       -100.0211,        -99.9960,       -100.0009,        -99.2853,       -100.0000
         143,        1.183333,        -99.9032,        -99.9737,       -100.0438,        -99.9833,       -100.0072,        -99.9978,       -100.3032,        -99.9998
         144,        1.191667,       -100.2706,        -99.9860,        -99.9717,        -99.9945,        -99.9980,       -100.0002,       -100.4066,       -100.0002
         145,        1.200000,        -99.8186,       -100.0409,        -99.9856,       -100.0229,        -99.9957,       -100.0011,        -99.2849,        -99.9997
         146,        1.208333,        -99.9030,        -99.9739,       -100.0439,        -99.9825,       -100.0076,        -99.9996,       -100.3009,        -99.9994
         147,        1.216667,       -100.2701,        -99.9860,        -99.9720,        -99.9943,        -99.9978,       -100.0004,       -100.4099,       -100.0014
         148,        1.225000,        -99.8182,       -100.0410,        -99.9855,       -100.0217,        -99.9956,       -100.0011,        -99.2839,       -100.0004
         149,        1.233333,        -99.9022,        -99.9743,       -100.0442,        -99.9831,       -100.0071,       -100.0003,       -100.3020,        -99.9992
         150,        1.241667,       -100.2711,        -99.9854,        -99.9708,        -99.9940,        -99.9971,        -99.9998,       -100.4070,       -100.0006
         151,        1.250000,        -99.8176,       -100.0410,        -99.9852,       -100.0221,        -99.9956,       -100.0002,        -99.2808,        -99.9998
         152,        1.258333,        -99.9041,        -99.9734,       -100.0439,        -99.9831,       -100.0079,        -99.9990,       -100.3049,        -99.9994
         153,        1.266667,       -100.2721,        -99.9851,        -99.9702,        -99.9944,        -99.9969,        -99.9993,       -100.4109,       -100.0009
         154,        1.275000,        -99.8155,       -100.0407,        -99.9860,       -100.0232,        -99.9956,       -100.0011,        -99.2818,        -99.9997
         155,        1.283333,        -99.9044,        -99.9730,       -100.0445,        -99.9818,       -100.0073,        -99.9996,       -100.3092,        -99.9992
         156,        1.291667,       -100.2724,        -99.9859,        -99.9711,        -99.9953,        -99.9973,        -99.9990,       -100.4116,       -100.0001
         157,        1.300000,        -99.8148,       -100.0408,        -99.9854,       -100.0220,        -99.9960,       -100.0012,        -99.2767,        -99.9997
         158,        1.308333,        -99.9048,        -99.9734,       -100.0447,        -99.9821,       -100.0076,        -99.9992,       -100.3116,        -99.9995
         159,        1.316667,       -100.2736,        -99.9860,        -99.9709,        -99.9942,        -99.9974,        -99.9992,       -100.4022,       -100.0006
         160,        1.325000,        -99.8149,       -100.0409,        -99.9860,       -100.0231,        -99.9958,       -100.0002,        -99.2768,       -100.0001
         161,        1.333333,        -99.9065,        -99.9726,       -100.0431,        -99.9827,       -100.0071,        -99.9980,       -100.3128,        -99.9997
         162,        1.341667,       -100.2741,        -99.9862,        -99.9701,        -99.9948,        -99.9971,       -100.0000,       -100.4002,       -100.0007
         163,        1.350000,        -99.8126,       -100.0407,        -99.9856,       -100.0226,        -99.9958,       -100.0003,        -99.2807,        -99.9664
         164,        1.358333,        -99.9029,        -99.9730,       -100.0444,        -99.9817,       -100.0081,        -99.9804,       -100.3006,       -100.0054
         165,        1.366667,       -100.2714,        -99.9857,        -99.9714,        -99.9937,        -99.9971,        -99.9968,       -100.4085,        -99.9883
         166,        1.375000,        -99.8238,       -100.0392,        -99.9851,       -100.0215,        -99.9990,        -99.9904,        -99.2927,        -99.9931
         167,        1.383333,        -99.9005,        -99.9740,       -100.0433,        -99.9839,       -100.0072,        -99.9964,       -100.2913,        -99.9957
         168,        1.391667,       -100.2690,        -99.9849,        -99.9725,        -99.9932,        -99.9979,        -99.9981,       -100.4138,        -99.9994
         169,        1.400000,        -99.8273,       -100.0408,        -99.9852,       -100.0222,        -99.9946,        -99.9995,        -99.2949,        -99.9992
         170,        1.408333,        -99.8941,        -99.9748,       -100.0449,        -99.9838,       -100.0062,        -99.9990,       -100.2855,        -99.9991
         171,        1.416667,       -100.2646,        -99.9846,        -99.9731,        -99.9940,        -99.9972,        -99.9994,       -100.4237,       -100.0002
         172,        1.425000,        -99.8314,       -100.0408,        -99.9836,       -100.0218,        -99.9955,       -100.0013,        -99.2999,        -99.9997
         173,        1.433333,        -99.8928,        -99.9751,       -100.0433,        -99.9842,       -100.0071,        -99.9988,       -100.2777,        -99.9991
         174,        1.441667,       -100.2676,        -99.9838,        -99.9738,        -99.9931,        -99.9974,        -99.9997,       -100.4294,       -100.0004
         175,        1.450000,        -99.8356,       -100.0401,        -99.9840,       -100.0227,        -99.9951,       -100.0012,        -99.3019,        -99.9997
         176,        1.458333,        -99.8905,        -99.9743,       -100.0437,        -99.9835,       -100.0070,        -99.9991,       -100.2680,        -99.9996
         177,        1.466667,       -100.2657,        -99.9832,        -99.9738,        -99.9929,        -99.9974,       -100.0001,       -100.4334,       -100.0007
         178,        1.475000,        -99.8401,       -100.0392,        -99.9840,       -100.0219,        -99.9951,       -100.0009,        -99.3045,       -100.0001
         179,        1.483333,        -99.8874,        -99.9754,       -100.0436,        -99.9841,       -100.0072,        -99.9992,       -100.2636,        -99.9991
         180,        1.491667,       -100.2676,        -99.9836,        -99.9740,        -99.9932,        -99.9979,       -100.0004,       -100.4380,       -100.0009
         181,        1.500000,        -99.8417,       -100.0395,        -99.9824,       -100.0224,        -99.9953,       -100.0002,        -99.3053,        -99.9998
         182,        1.508333,        -99.8848,        -99.9766,       -100.0438,        -99.9842,       -100.0070,        -99.9991,       -100.2552,        -99.9996
         183,        1.516667,       -100.2677,        -99.9827,        -99.9733,        -99.9915,        -99.9977,        -99.9991,       -100.4472,       -100.0010
         184,        1.525000,        -99.8437,       -100.0404,        -99.9827,       -100.0220,        -99.9949,       -100.0017,        -99.3049,       -100.0004
         185,        1.533333,        -99.8817,        -99.9759,       -100.0441,        -99.9848,       -100.0068,        -99.9999,       -100.2479,        -99.9999
         186,        1.541667,       -100.2677,        -99.9837,        -99.9752,        -99.9922,        -99.9983,        -99.9995,       -100.4520,       -100.0001
         187,        1.550000,        -99.8467,       -100.0413,        -99.9817,       -100.0221,        -99.9952,       -100.0003,        -99.3070,       -100.0001
         188,        1.558333,        -99.8799,        -99.9762,       -100.0446,        -99.9851,       -100.0073,       -100.0002,       -100.2455,        -99.9996
         189,        1.566667,       -100.2677,        -99.9821,        -99.9755,        -99.9926,        -99.9981,       -100.0007,       -100.4565,       -100.0006
         190,        1.575000,        -99.8471,       -100.0399,        -99.9822,       -100.0221,        -99.9945,       -100.0011,        -99.3024,        -99.9995
         191,        1.583333,        -99.8773,        -99.9775,       -100.0444,        -99.9850,       -100.0075,        -99.9993,       -100.2371,        -99.9995
         192,        1.591667,       -100.2682,        -99.9820,        -99.9756,        -99.9907,        -99.9974,       -100.0005,       -100.4599,       -100.0007
         193,        1.600000,        -99.8490,       -100.0408,        -99.9809,       -100.0230,        -99.9941,       -100.0003,        -99.3024,        -99.9997
         194,        1.608333,        -99.8762,        -99.9756,       -100.0434,        -99.9854,       -100.0073,        -99.9987,       -100.2350,        -99.9995
         195,        1.616667,       -100.2693,        -99.9810,        -99.9752,        -99.9908,        -99.9976,        -99.9988,       -100.4651,       -100.0006
         196,        1.625000,        -99.8503,       -100.0410,        -99.9808,       -100.0231,        -99.9951,       -100.0008,        -99.3041,       -100.0002
         197,        1.633333,        -99.8751,        -99.9767,       -100.0438,        -99.9848,       -100.0074,        -99.9993,       -100.2312,        -99.9998
         198,        1.641667,       -100.2683,        -99.9818,        -99.9757,        -99.9915,        -99.9979,       -100.0003,       -100.4671,       -100.0005
         199,        1.650000,        -99.8507,       -100.0407,        -99.9806,       -100.0238,        -99.9949,       -100.0012,        -99.3040,        -99.9996
         200,        1.658333,        -99.8739,        -99.9772,       -100.0438,        -99.9850,       -100.0078,        -99.9985,       -100.2305,        -99.9994
         201,        1.666667,       -100.2694,        -99.9811,        -99.9751,        -99.9904,        -99.9981,        -99.9996,       -100.4685,       -100.0006
         202,        1.675000,        -99.8511,       -100.0413,        -99.9800,       -100.0232,        -99.9948,       -100.0002,        -99.3016,       -100.0006
         203,        1.683333,        -99.8731,        -99.9771,       -100.0442,        -99.9854,       -100.0068,        -99.9986,       -100.2285,        -99.9995
         204,        1.691667,       -100.2700,        -99.9809,        -99.9751,        -99.9914,        -99.9980,        -99.9992,       -100.4715,       -100.0005
         205,        1.700000,        -99.8514,       -100.0407,        -99.9800,       -100.0229,        -99.9944,       -100.0010,        -99.2997,       -100.0003
         206,        1.708333,        -99.8727,        -99.9764,       -100.0439,        -99.9849,       -100.0070,       -100.0001,       -100.2293,        -99.9990
         207,        1.716667,       -100.2716,        -99.9820,        -99.9756,        -99.9916,        -99.9980,        -99.9999,       -100.4689,       -100.0001
         208,        1.725000,        -99.8516,       -100.0410,        -99.9800,       -100.0232,        -99.9943,       -100.0018,        -99.3009,       -100.0000
         209,        1.733333,        -99.8736,        -99.9760,       -100.0449,        -99.9851,       -100.0076,        -99.9999,       -100.2308,        -99.9991
         210,        1.741667,       -100.2712,        -99.9816,        -99.9748,        -99.9903,        -99.9980,        -99.9991,       -100.4708,       -100.0005
