"InphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_021.tcf]","Time (h)","V 2 [InphaseC4_021]","V 3 [InphaseC4_021]","V 4 [InphaseC4_021]","V 5 [InphaseC4_021]","V 6 [InphaseC4_021]","V 7 [InphaseC4_021]","V 8 [InphaseC4_021]","V 9 [InphaseC4_021]","V 10 [InphaseC4_021]","V 11 [InphaseC4_021]","V 12 [InphaseC4_021]","V 13 [InphaseC4_021]","V 14 [InphaseC4_021]","V 15 [InphaseC4_021]","V 16 [InphaseC4_021]","V  1 [InphaseC4_021]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.6312,          2.3342,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          3.5133
           3,        0.016667,          3.2277,          1.8741,          2.5347,          2.9200,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          3.3302
           4,        0.025000,          3.0617,          1.4291,          2.3146,          2.9090,          2.5122,          1.3158,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          2.9774
           5,        0.033333,          2.7208,          1.5098,          2.2850,          2.9399,          2.6577,          1.3040,          1.7358,          1.5073,          0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.7615
           6,        0.041667,          2.5931,          1.5960,          2.2729,          2.9471,          2.6420,          1.3479,          1.7387,          1.9489,          1.2367,          1.1332,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          2.4631
           7,        0.050000,          2.5598,          1.6589,          2.2523,          2.9594,          2.4890,          1.4510,          1.8191,          2.0204,          1.4903,          1.5113,          1.3528,          1.0342,          0.8967,          0.0016,          0.0000,          2.3426
           8,        0.058333,          2.5488,          1.7026,          2.2601,          2.9476,          2.4268,          1.5552,          1.8849,          2.1610,          1.6554,          1.5946,          1.4515,          1.1666,          1.0924,          1.2413,          0.8698,          2.2819
           9,        0.066667,          2.5442,          1.7333,          2.2662,          2.7923,          2.4077,          1.6480,          1.9303,          2.2021,          1.7632,          1.6055,          1.4813,          1.4398,          1.4517,          1.8495,          1.7099,          2.2542
          10,        0.075000,          2.5420,          1.7509,          2.2684,          2.6954,          2.3999,          1.7056,          1.9694,          2.1995,          1.7353,          1.6822,          1.6914,          1.7381,          1.9105,          2.4863,          1.9264,          2.2394
          11,        0.083333,          2.5412,          1.7583,          2.2653,          2.6434,          2.3940,          1.7466,          1.9893,          2.1023,          1.8677,          1.8156,          1.9287,          2.0977,          2.1415,          2.5952,          2.0719,          2.2335
          12,        0.091667,          2.5390,          1.7601,          2.2609,          2.6112,          2.3912,          1.7674,          1.9950,          2.1330,          1.9828,          1.9539,          2.1058,          2.1858,          2.2046,          2.6137,          2.1105,          2.2291
          13,        0.100000,          2.5360,          1.7598,          2.2574,          2.5940,          2.3881,          1.7773,          1.9859,          2.1726,          2.0892,          2.0366,          2.1509,          2.2238,          2.2318,          2.6204,          2.1167,          2.2254
          14,        0.108333,          2.5328,          1.7601,          2.2547,          2.5818,          2.3824,          1.7766,          1.9933,          2.2302,          2.1331,          2.0576,          2.1707,          2.2367,          2.2373,          2.6131,          2.1221,          2.2232
          15,        0.116667,          2.5308,          1.7606,          2.2533,          2.5706,          2.3757,          1.7872,          2.0008,          2.2651,          2.1382,          2.0609,          2.1768,          2.2350,          2.2356,          2.6118,          2.1229,          2.2190
          16,        0.125000,          2.5302,          1.7606,          2.2522,          2.5602,          2.3762,          1.7953,          2.0097,          2.2796,          2.1373,          2.0593,          2.1745,          2.2326,          2.2350,          2.6089,          2.1216,          2.2174
          17,        0.133333,          2.5290,          1.7616,          2.2509,          2.5562,          2.3783,          1.8028,          2.0154,          2.2866,          2.1371,          2.0586,          2.1740,          2.2325,          2.2345,          2.6055,          2.1189,          2.2174
          18,        0.141667,          2.5282,          1.7618,          2.2504,          2.5555,          2.3810,          1.8064,          2.0182,          2.2893,          2.1372,          2.0590,          2.1749,          2.2330,          2.2344,          2.6035,          2.1171,          2.2138
          19,        0.150000,          2.5282,          1.7610,          2.2501,          2.5567,          2.3826,          1.8079,          2.0197,          2.2903,          2.1379,          2.0598,          2.1756,          2.2327,          2.2343,          2.6027,          2.1168,          2.2143
          20,        0.158333,          2.5272,          1.7623,          2.2497,          2.5577,          2.3832,          1.8086,          2.0203,          2.2907,          2.1387,          2.0604,          2.1758,          2.2322,          2.2342,          2.6032,          2.1174,          2.2156
          21,        0.166667,          2.5266,          1.7630,          2.2504,          2.5577,          2.3837,          1.8087,          2.0204,          2.2910,          2.1391,          2.0607,          2.1756,          2.2320,          2.2343,          2.6039,          2.1180,          2.2106
          22,        0.175000,          2.5283,          1.7615,          2.2505,          2.5582,          2.3839,          1.8090,          2.0206,          2.2911,          2.1392,          2.0607,          2.1755,          2.2320,          2.2345,          2.6046,          2.1185,          2.2127
          23,        0.183333,          2.5271,          1.7630,          2.2497,          2.5584,          2.3837,          1.8092,          2.0208,          2.2911,          2.1393,          2.0608,          2.1755,          2.2321,          2.2348,          2.6051,          2.1189,          2.2169
          24,        0.191667,          2.5267,          1.7640,          2.2507,          2.5576,          2.3840,          1.8091,          2.0207,          2.2911,          2.1393,          2.0609,          2.1756,          2.2323,          2.2350,          2.6055,          2.1192,          2.2095
          25,        0.200000,          2.5290,          1.7609,          2.2506,          2.5580,          2.3841,          1.8094,          2.0207,          2.2909,          2.1395,          2.0610,          2.1757,          2.2324,          2.2351,          2.6058,          2.1194,          2.2123
