"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  144.5495    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              ,  1.750764    ,  83630.85    ,  100800.0    ,  0.000000    ,  100801.8    ,  83630.85    ,  17170.90    ,  17170.90    ,-0.4972226E-02,-0.2695958E-05,  184432.6    ,  17315.45    ,  184432.6    ,-0.4972226E-02,-0.2695958E-05,-0.2695958E-05
         4.500,              ,  0.000000    ,  12600.00    ,  12600.00    ,  0.000000    ,  12600.00    ,  12600.00    , 0.3225803E-03, 0.1953125E-02, 0.1630545E-02, 0.6470415E-05,  25200.00    ,  17315.45    ,  209632.6    ,-0.3341681E-02,-0.1594066E-05,-0.1594066E-05
         5.000,              ,  0.000000    ,  12600.00    ,  12600.00    ,  0.000000    ,  12600.00    ,  12600.00    , 0.1866579E-02,  0.000000    ,-0.1866579E-02,-0.7407060E-05,  25200.00    ,  17315.45    ,  234832.6    ,-0.5208260E-02,-0.2217861E-05,-0.2217861E-05
         5.500,              ,  0.000000    ,  12600.00    ,  12600.00    ,  0.000000    ,  12600.00    ,  12600.00    , 0.1282930E-02, 0.1953125E-02, 0.6701946E-03, 0.2659503E-05,  25200.00    ,  17315.45    ,  260032.6    ,-0.4538066E-02,-0.1745191E-05,-0.1745191E-05
         6.000,              ,  0.000000    ,  12600.00    ,  12600.00    ,  0.000000    ,  12600.00    ,  12600.00    , 0.1299739E-02,-0.3906250E-02,-0.5205989E-02,-0.2065869E-04,  25200.00    ,  17315.45    ,  285232.6    ,-0.9744055E-02,-0.3416179E-05,-0.3416179E-05
         6.000,              ,  0.000000    , 0.8771940    , 0.8771896    ,  0.000000    , 0.8771896    , 0.8771940    ,-0.4470348E-05, 0.3906250E-02, 0.3910720E-02, 0.2229114    ,  1.754384    ,  17315.45    ,  285234.4    ,-0.5833334E-02,-0.2045102E-05,-0.2045102E-05
