"OutphaseC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_009.tcf]","Time (h)","Q 2 [OutphaseC4_009]","Q 3 [OutphaseC4_009]","Q 4 [OutphaseC4_009]","Q 5 [OutphaseC4_009]","Q 6 [OutphaseC4_009]","Q 7 [OutphaseC4_009]","Q 1 [OutphaseC4_009]","Q  8 [OutphaseC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.8997,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8118,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.4289,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.2242,          0.0000
           7,        0.050000,         -1.1587,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.0286,          0.0000
           8,        0.058333,         -2.4134,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.8154,          0.0000
           9,        0.066667,         -3.6492,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6774,          0.0000
          10,        0.075000,         -4.7429,         -1.7104,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3416,          0.0000
          11,        0.083333,         -5.6872,         -2.0376,          0.0000,          0.0000,          0.0000,          0.0000,         -7.0052,          0.0000
          12,        0.091667,         -6.4510,         -2.4042,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4420,          0.0000
          13,        0.100000,         -7.0633,         -2.8609,          0.0000,          0.0000,          0.0000,          0.0000,         -7.8305,          0.0000
          14,        0.108333,         -7.5294,         -3.0735,          0.0000,          0.0000,          0.0000,          0.0000,         -8.1081,          0.0000
          15,        0.116667,         -7.9039,         -3.3691,          0.0000,          0.0000,          0.0000,          0.0000,         -8.3179,          0.0000
          16,        0.125000,         -8.1730,         -3.5204,          0.0000,          0.0000,          0.0000,          0.0000,         -8.5366,          0.0000
          17,        0.133333,         -8.3903,         -3.6900,          0.0000,          0.0000,          0.0000,          0.0000,         -8.6017,          0.0000
          18,        0.141667,         -8.5378,         -3.8797,          0.0000,          0.0000,          0.0000,          0.0000,         -8.7508,          0.0000
          19,        0.150000,         -8.6639,         -4.0015,          0.0000,          0.0000,          0.0000,          0.0000,         -8.7720,          0.0000
          20,        0.158333,         -8.7502,         -4.1730,         -0.0820,          0.0000,          0.0000,          0.0000,         -8.8451,          0.0000
          21,        0.166667,         -8.8068,         -4.3994,         -0.4884,          0.0000,          0.0000,          0.0000,         -8.8859,          0.0000
          22,        0.175000,         -8.8696,         -4.6790,         -0.9494,          0.0000,          0.0000,          0.0000,         -8.9007,          0.0000
          23,        0.183333,         -8.8876,         -4.9509,         -1.4726,         -0.0001,          0.0000,          0.0000,         -8.9572,          0.0000
          24,        0.191667,         -8.9299,         -5.2552,         -2.0367,         -1.0340,          0.0000,          0.0000,         -8.9408,          0.0000
          25,        0.200000,         -8.9420,         -5.5581,         -2.6209,         -1.7122,          0.0000,          0.0000,         -8.9872,          0.0000
          26,        0.208333,         -8.9594,         -5.8721,         -3.2026,         -2.2077,          0.0000,          0.0000,         -8.9598,          0.0000
          27,        0.216667,         -8.9756,         -6.1765,         -3.7660,         -2.5345,          0.0000,          0.0000,         -8.9785,          0.0000
