"InphaseC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_007.tcf]","Time (h)","Q 2 [InphaseC4_007]","Q 3 [InphaseC4_007]","Q 4 [InphaseC4_007]","Q 5 [InphaseC4_007]","Q 6 [InphaseC4_007]","Q 7 [InphaseC4_007]","Q 1 [InphaseC4_007]","Q  8 [InphaseC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6547,          0.0003
           3,        0.016667,         -1.5690,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -6.9716,          0.0015
           4,        0.025000,         -4.5423,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -6.9864,          0.0004
           5,        0.033333,         -3.1751,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -7.0010,          0.0011
           6,        0.041667,         -3.2564,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -7.0016,         -0.0006
           7,        0.050000,         -4.0534,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.9995,         -0.0001
           8,        0.058333,         -3.9843,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -7.0012,         -0.0006
           9,        0.066667,         -3.9924,         -0.0019,          0.0000,          0.0000,          0.0000,          0.0003,         -6.9125,          0.0003
          10,        0.075000,         -4.4729,         -0.8396,          0.0000,          0.0000,          0.0000,          0.0001,         -6.7535,         -0.0001
          11,        0.083333,         -4.8611,         -1.7024,          0.0000,          0.0000,          0.0000,         -0.0005,         -6.7340,          0.0001
          12,        0.091667,         -5.1245,         -2.6046,         -0.0000,          0.0000,          0.0000,          0.0001,         -6.7081,          0.0000
          13,        0.100000,         -5.4561,         -3.3986,         -1.6304,          0.0000,          0.0000,         -0.0002,         -6.7217,         -0.0003
          14,        0.108333,         -5.7814,         -4.0954,         -1.9537,          0.0000,          0.0000,         -0.0002,         -6.7648,         -0.0005
          15,        0.116667,         -6.0319,         -4.7029,         -2.4103,          0.0000,          0.0000,          0.0001,         -6.8023,         -0.0002
          16,        0.125000,         -6.2301,         -5.1996,         -2.8844,          0.0000,          0.0000,         -0.0004,         -6.8334,          0.0014
          17,        0.133333,         -6.3986,         -5.5947,         -3.1684,          0.0000,          0.0000,          0.0013,         -6.8655,         -0.0004
          18,        0.141667,         -6.5389,         -5.9100,         -3.4132,          0.0000,          0.0000,         -0.0006,         -6.8947,         -0.0011
          19,        0.150000,         -6.6422,         -6.1623,         -3.6818,          0.0000,          0.0000,         -0.0001,         -6.9172,         -0.0008
          20,        0.158333,         -6.7237,         -6.3551,         -3.9196,         -0.1538,          0.0000,          0.0002,         -6.9349,         -0.0002
          21,        0.166667,         -6.7898,         -6.5058,         -4.1517,         -0.6158,          0.0000,         -0.0001,         -6.9500,         -0.0005
          22,        0.175000,         -6.8389,         -6.6222,         -4.4257,         -1.2291,          0.0000,         -0.0002,         -6.9615,         -0.0007
          23,        0.183333,         -6.8764,         -6.7116,         -4.7333,         -1.9367,          0.0000,          0.0000,         -6.9701,          0.0006
          24,        0.191667,         -6.9060,         -6.7794,         -5.0847,         -2.6969,         -0.0000,         -0.0007,         -6.9775,         -0.0003
          25,        0.200000,         -6.9277,         -6.8321,         -5.3945,         -3.4176,         -1.1769,         -0.0001,         -6.9828,         -0.0003
          26,        0.208333,         -6.9449,         -6.8722,         -5.6833,         -4.0745,         -0.9993,         -0.0000,         -6.9867,          0.0002
          27,        0.216667,         -6.9585,         -6.9026,         -5.9435,         -4.6404,         -1.1475,          0.0006,         -6.9900,         -0.0004
          28,        0.225000,         -6.9684,         -6.9258,         -6.1595,         -5.1229,         -1.8355,         -0.0001,         -6.9923,          0.0003
          29,        0.233333,         -6.9759,         -6.9433,         -6.3282,         -5.5192,         -2.2608,         -0.0008,         -6.9942,         -0.0002
          30,        0.241667,         -6.9812,         -6.9571,         -6.4743,         -5.8357,         -2.4063,         -0.0002,         -6.9956,         -0.0001
          31,        0.250000,         -6.9859,         -6.9673,         -6.5890,         -6.0921,         -2.9030,         -0.0007,         -6.9966,          0.0005
          32,        0.258333,         -6.9887,         -6.9752,         -6.6814,         -6.2947,         -3.4830,         -0.8100,         -6.9974,          0.0001
          33,        0.266667,         -6.9920,         -6.9811,         -6.7511,         -6.4537,         -3.9365,         -1.4709,         -6.9980,         -0.8840
          34,        0.275000,         -6.9938,         -6.9856,         -6.8077,         -6.5765,         -4.3673,         -2.2620,         -6.9984,         -1.6154
          35,        0.283333,         -6.9951,         -6.9891,         -6.8538,         -6.6743,         -4.8377,         -3.0016,         -6.9990,         -2.8959
          36,        0.291667,         -6.9965,         -6.9916,         -6.8865,         -6.7489,         -5.2221,         -3.7864,         -6.9992,         -3.8710
          37,        0.300000,         -6.9973,         -6.9938,         -6.9127,         -6.8067,         -5.5537,         -4.3519,         -6.9996,         -4.2112
          38,        0.308333,         -6.9982,         -6.9951,         -6.9317,         -6.8510,         -5.8368,         -4.8023,         -6.9996,         -4.6618
          39,        0.316667,         -6.9987,         -6.9965,         -6.9479,         -6.8855,         -6.0745,         -5.2562,         -6.9996,         -4.9915
          40,        0.325000,         -6.9982,         -6.9972,         -6.9597,         -6.9115,         -6.2668,         -5.5551,         -6.9994,         -5.3202
          41,        0.333333,         -6.9993,         -6.9981,         -6.9691,         -6.9320,         -6.4200,         -5.8671,         -6.9998,         -5.6460
          42,        0.341667,         -6.9995,         -6.9983,         -6.9766,         -6.9478,         -6.5414,         -6.1145,         -6.9998,         -5.9281
          43,        0.350000,         -6.9990,         -6.9988,         -6.9821,         -6.9599,         -6.6433,         -6.2935,         -6.9999,         -6.1494
          44,        0.358333,         -6.9993,         -6.9992,         -6.9867,         -6.9695,         -6.7208,         -6.4491,         -6.9999,         -6.3242
          45,        0.366667,         -6.9994,         -6.9994,         -6.9891,         -6.9764,         -6.7804,         -6.5690,         -6.9998,         -6.4713
          46,        0.375000,         -6.9999,         -6.9995,         -6.9921,         -6.9820,         -6.8294,         -6.6612,         -6.9997,         -6.5813
