"OutphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_019.tcf]","Time (h)","Q 2 [OutphaseC4_019]","Q 3 [OutphaseC4_019]","Q 4 [OutphaseC4_019]","Q 5 [OutphaseC4_019]","Q 6 [OutphaseC4_019]","Q 7 [OutphaseC4_019]","Q 1 [OutphaseC4_019]","Q  8 [OutphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -33.5447,         -0.0002
           3,        0.016667,        -24.7908,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -52.0093,         -0.0003
           4,        0.025000,        -46.0245,        -27.9392,          0.0000,          0.0000,          0.0000,          0.0000,        -60.6581,         -0.0005
           5,        0.033333,        -60.5766,        -34.0827,          0.0000,          0.0000,          0.0000,          0.0000,        -70.7099,         -0.0007
           6,        0.041667,        -68.3406,        -37.9906,         -7.3130,          0.0000,          0.0000,          0.0000,        -73.7496,          0.0006
           7,        0.050000,        -72.6563,        -44.8806,        -19.1230,         -9.3846,          0.0000,          0.0000,        -76.1925,          0.0002
           8,        0.058333,        -75.4112,        -51.4210,        -31.7485,        -22.9530,          0.0000,          0.0000,        -77.7559,          0.0008
           9,        0.066667,        -77.2026,        -57.9179,        -42.3629,        -29.6207,          0.0000,          0.0000,        -78.6052,         -0.0010
          10,        0.075000,        -78.3081,        -63.0922,        -50.6923,        -35.1790,          0.0000,          0.0000,        -79.1590,          0.0000
          11,        0.083333,        -78.9789,        -67.1438,        -57.1624,        -40.5632,         -5.5433,          0.0000,        -79.5069,          0.0005
          12,        0.091667,        -79.3942,        -70.1388,        -62.1409,        -46.1094,        -15.5401,         -0.2450,        -79.7048,         -0.0006
          13,        0.100000,        -79.6263,        -72.3650,        -65.9102,        -51.8107,        -25.6919,         -4.7621,        -79.8268,          0.0014
          14,        0.108333,        -79.7843,        -74.0642,        -68.8402,        -56.7925,        -35.0980,         -8.2084,        -79.8962,         -0.0003
          15,        0.116667,        -79.8687,        -75.3336,        -71.1656,        -60.9977,        -43.1561,        -14.6027,        -79.9367,         -3.7085
          16,        0.125000,        -79.9060,        -76.3277,        -73.0059,        -64.6662,        -49.8928,        -21.2349,        -79.9635,        -10.5765
