Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.00,      0.00
Found 2D domains                                  ,      0.31,      0.31
Start 2D BC Array Sizes Domain_001                ,      0.35,      0.04
End 2D BC Array Sizes Domain_001                  ,      0.36,      0.01
Start Estry Setup s0                              ,      0.36,      0.00
End Estry Setup s0                                ,      0.36,      0.00
Start TUFLOW Setup s2                             ,      0.36,      0.00
End TUFLOW Setup s2                               ,      0.49,      0.13
Reading Geometry File Domain_001                  ,      0.52,      0.03
Start Read Grid Read GRID Zpts                    ,      0.52,      0.00
End Read Grid Read GRID Zpts                      ,      0.61,      0.09
Start Read Read GIS Code                          ,      0.62,      0.00
End Read Read GIS Code                            ,      0.63,      0.02
Finished Reading Geometry File Domain_001         ,      0.64,      0.01
Start Read input file (stage 2) Domain_001        ,      0.64,      0.00
End Read input file (stage 2) Domain_001          ,      0.77,      0.12
Identifying cells within user defined output zones,      0.77,      0.00
Finished Identifying cells within user defined out,      0.77,      0.00
Setting instability water levels Domain_001       ,      0.77,      0.00
Finished Setting instability water levels Domain_0,      0.77,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.77,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.77,      0.00
Start Reading Input File (Stage 3)                ,      0.77,      0.00
End Reading Input File (Stage 3)                  ,      0.78,      0.00
Reading Boundary File Domain_001                  ,      0.78,      0.00
Finished Reading Boundary File Domain_001         ,      0.85,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.86,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.89,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.89,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.92,      0.03
Start Writing _grd_check                          ,      0.94,      0.02
End Writing _grd_check                            ,      1.71,      0.76
Start Writing _zpt_check                          ,      1.71,      0.00
End Writing _zpt_check                            ,      2.80,      1.09
Start Writing _uvpt_check                         ,      2.80,      0.00
End Writing _uvpt_check                           ,      3.37,      0.57
Start Writing check DEMs                          ,      4.54,      1.17
Start Calculating grid interpolation factors      ,      4.54,      0.00
End Calculating grid interpolation factors        ,      4.60,      0.06
End Writing check DEMs                            ,      4.65,      0.04
Start Calculating grid interpolation factors      ,      4.65,      0.00
End Calculating grid interpolation factors        ,      4.71,      0.07
Starting Simulation                               ,      4.73,      0.01
Summary File Close                                ,      4.73,      0.00
