"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\006\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          1.3294,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.3851,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.4032,          0.9128,          0.0000,          0.0000,          0.0000,          0.0000
          11,        0.166667,          0.4210,          1.1088,          0.6023,          0.0000,          0.0000,          0.0000
          12,        0.183333,          0.4369,          1.1915,          0.1843,          0.4546,          0.0000,          0.0000
          13,        0.200000,          0.4466,          1.2009,          0.0945,          0.8481,          0.4498,          0.0000
          14,        0.216667,          0.4528,          1.1297,          0.0633,          1.0708,          0.6514,          0.0000
          15,        0.233333,          0.4555,          1.0593,          0.0499,          1.1330,          0.7557,          0.9411
          16,        0.250000,          0.4566,          0.9850,          0.0426,          1.1851,          0.8073,          1.1107
          17,        0.266667,          0.4574,          0.9339,          0.0371,          1.2184,          0.8212,          1.1548
          18,        0.283333,          0.4578,          0.9050,          0.0321,          1.2384,          0.8410,          1.1782
          19,        0.300000,          0.4580,          0.8897,          0.0281,          1.2501,          0.8525,          1.1917
          20,        0.316667,          0.4580,          0.8807,          0.0249,          1.2572,          0.8596,          1.2026
          21,        0.333333,          0.4581,          0.8764,          0.0222,          1.2620,          0.8640,          1.2050
          22,        0.350000,          0.4581,          0.8741,          0.0199,          1.2648,          0.8665,          1.2074
          23,        0.366667,          0.4581,          0.8729,          0.0184,          1.2663,          0.8674,          1.2091
          24,        0.383333,          0.4581,          0.8721,          0.0172,          1.2670,          0.8689,          1.2101
          25,        0.400000,          0.4581,          0.8716,          0.0163,          1.2676,          0.8693,          1.2106
          26,        0.416667,          0.4581,          0.8713,          0.0156,          1.2679,          0.8696,          1.2109
          27,        0.433333,          0.4581,          0.8712,          0.0152,          1.2681,          0.8698,          1.2110
          28,        0.450000,          0.4581,          0.8712,          0.0149,          1.2680,          0.8698,          1.2111
          29,        0.466667,          0.4581,          0.8711,          0.0145,          1.2680,          0.8699,          1.2112
          30,        0.483333,          0.4581,          0.8710,          0.0144,          1.2681,          0.8700,          1.2112
          31,        0.500000,          0.4581,          0.8710,          0.0142,          1.2681,          0.8699,          1.2112
          32,        0.516667,          0.4581,          0.8709,          0.0140,          1.2681,          0.8699,          1.2112
          33,        0.533333,          0.4582,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113
          34,        0.550000,          0.4581,          0.8709,          0.0139,          1.2681,          0.8700,          1.2112
          35,        0.566667,          0.4581,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113
          36,        0.583333,          0.4581,          0.8710,          0.0139,          1.2681,          0.8699,          1.2112
          37,        0.600000,          0.4581,          0.8709,          0.0139,          1.2681,          0.8700,          1.2112
          38,        0.616667,          0.4581,          0.8709,          0.0139,          1.2681,          0.8699,          1.2113
          39,        0.633333,          0.4581,          0.8709,          0.0138,          1.2682,          0.8699,          1.2113
          40,        0.650000,          0.4582,          0.8709,          0.0138,          1.2681,          0.8700,          1.2112
          41,        0.666667,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2113
          42,        0.683333,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113
          43,        0.700000,          0.4581,          0.8709,          0.0138,          1.2681,          0.8699,          1.2112
          44,        0.716667,          0.4582,          0.8709,          0.0138,          1.2681,          0.8699,          1.2113
          45,        0.733333,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113
          46,        0.750000,          0.4581,          0.8709,          0.0138,          1.2681,          0.8699,          1.2113
          47,        0.766667,          0.4581,          0.8710,          0.0137,          1.2681,          0.8699,          1.2113
          48,        0.783333,          0.4581,          0.8710,          0.0137,          1.2682,          0.8699,          1.2112
          49,        0.800000,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113
          50,        0.816667,          0.4581,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113
          51,        0.833333,          0.4581,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113
          52,        0.850000,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113
          53,        0.866667,          0.4581,          0.8710,          0.0137,          1.2681,          0.8699,          1.2112
          54,        0.883333,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2113
          55,        0.900000,          0.4581,          0.8709,          0.0137,          1.2682,          0.8699,          1.2113
          56,        0.916667,          0.4581,          0.8709,          0.0137,          1.2682,          0.8699,          1.2113
          57,        0.933333,          0.4582,          0.8710,          0.0137,          1.2681,          0.8700,          1.2112
          58,        0.950000,          0.4582,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113
          59,        0.966667,          0.4581,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113
          60,        0.983333,          0.4581,          0.8710,          0.0137,          1.2681,          0.8700,          1.2112
          61,        1.000000,          0.4581,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113
          62,        1.016667,          0.4581,          0.8709,          0.0136,          1.2681,          0.8699,          1.2113
          63,        1.033333,          0.4582,          0.8709,          0.0136,          1.2682,          0.8699,          1.2112
          64,        1.050000,          0.4582,          0.8710,          0.0137,          1.2681,          0.8699,          1.2113
          65,        1.066667,          0.4582,          0.8709,          0.0137,          1.2681,          0.8699,          1.2113
          66,        1.083333,          0.4582,          0.8709,          0.0137,          1.2681,          0.8700,          1.2113
