"VanillaC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_011.tcf]","Time (h)","V 2 [VanillaC4_011]","V 3 [VanillaC4_011]","V 4 [VanillaC4_011]","V 5 [VanillaC4_011]","V 6 [VanillaC4_011]","V 7 [VanillaC4_011]","V 8 [VanillaC4_011]","V 9 [VanillaC4_011]","V 10 [VanillaC4_011]","V 11 [VanillaC4_011]","V 12 [VanillaC4_011]","V 13 [VanillaC4_011]","V 14 [VanillaC4_011]","V 15 [VanillaC4_011]","V 16 [VanillaC4_011]","V  1 [VanillaC4_011]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.7113
           3,        0.016667,          1.5378,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.4418
           4,        0.025000,          1.4115,          0.6475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.3478
           5,        0.033333,          1.3479,          0.7768,          1.3017,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.2927
           6,        0.041667,          1.3129,          0.8117,          1.2855,          1.1844,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2680
           7,        0.050000,          1.2904,          0.8160,          1.2606,          1.2393,          0.8973,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0002,          1.2490
           8,        0.058333,          1.2755,          0.8204,          1.2406,          1.2282,          1.2956,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          1.2389
           9,        0.066667,          1.2654,          0.8220,          1.2263,          1.2164,          1.2812,          0.4897,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2307
          10,        0.075000,          1.2581,          0.8213,          1.2168,          1.2052,          1.2676,          0.6919,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.2254
          11,        0.083333,          1.2532,          0.8214,          1.2089,          1.1964,          1.2562,          0.7484,          0.6498,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.2220
          12,        0.091667,          1.2498,          0.8211,          1.2032,          1.1904,          1.2461,          0.7800,          0.7663,          0.4638,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.2193
          13,        0.100000,          1.2472,          0.8206,          1.1988,          1.1854,          1.2398,          0.7939,          0.8138,          0.7715,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2174
          14,        0.108333,          1.2453,          0.8202,          1.1955,          1.1816,          1.2345,          0.8028,          0.8345,          0.8441,          0.7364,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0001,          1.2161
          15,        0.116667,          1.2440,          0.8201,          1.1931,          1.1785,          1.2300,          0.8086,          0.8466,          0.8733,          0.8637,          0.6971,          0.0000,          0.0000,          0.0001,          0.0001,          0.0002,          1.2151
          16,        0.125000,          1.2431,          0.8197,          1.1914,          1.1762,          1.2266,          0.8123,          0.8555,          0.8919,          0.9076,          0.8940,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.2144
          17,        0.133333,          1.2423,          0.8195,          1.1902,          1.1746,          1.2239,          0.8147,          0.8600,          0.9001,          0.9268,          0.9450,          0.0526,          0.0000,          0.0001,          0.0001,          0.0001,          1.2139
          18,        0.141667,          1.2417,          0.8194,          1.1891,          1.1734,          1.2218,          0.8162,          0.8629,          0.9059,          0.9382,          0.9659,          0.5301,          0.7229,          0.7902,          0.0001,          0.0002,          1.2134
