"VanillaC4_004 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_004.tcf]","Time (h)","Q 2 [VanillaC4_004]","Q 3 [VanillaC4_004]","Q 4 [VanillaC4_004]","Q 5 [VanillaC4_004]","Q 6 [VanillaC4_004]","Q 7 [VanillaC4_004]","Q 1 [VanillaC4_004]","Q  8 [VanillaC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,        -95.0104,        -40.9051,          0.0000,          0.0000,          0.0000,         58.6210,       -113.8932,         81.6324
           3,        0.033333,       -111.4806,        -98.3473,        -73.1704,        -25.6382,         31.3560,         38.9382,       -118.3854,         40.4008
           4,        0.050000,       -116.4847,       -110.2964,        -99.9162,        -83.7096,        -48.1416,         19.8563,       -119.7208,         19.7955
           5,        0.066667,       -118.8770,       -115.3978,       -109.3490,       -100.6195,        -90.5035,        -85.6819,       -120.6105,        -80.1686
           6,        0.083333,       -120.0013,       -118.0181,       -113.8003,       -110.0424,       -104.5975,       -104.8101,       -120.9794,       -120.1079
           7,        0.100000,       -120.5975,       -119.2820,       -117.0689,       -114.9916,       -112.5598,       -116.7976,       -121.1770,       -118.3355
           8,        0.116667,       -120.9102,       -120.1046,       -118.9085,       -117.7735,       -117.5995,       -118.0410,       -121.2912,       -117.9690
           9,        0.133333,       -121.0963,       -120.6458,       -119.9750,       -119.4661,       -119.1926,       -118.8763,       -121.3451,       -118.5852
          10,        0.150000,       -121.2380,       -120.9788,       -120.6370,       -120.4206,       -119.9952,       -119.6406,       -121.3880,       -119.3767
          11,        0.166667,       -121.3321,       -121.1902,       -121.0245,       -120.8687,       -120.5141,       -120.2379,       -121.4137,       -120.0405
          12,        0.183333,       -121.3877,       -121.3173,       -121.2173,       -121.1089,       -120.8577,       -120.6634,       -121.4328,       -120.5268
          13,        0.200000,       -121.4248,       -121.3810,       -121.3196,       -121.2486,       -121.0811,       -120.9518,       -121.4459,       -120.8631
          14,        0.216667,       -121.4399,       -121.4148,       -121.3757,       -121.3315,       -121.2225,       -121.1406,       -121.4533,       -121.0838
          15,        0.233333,       -121.4485,       -121.4343,       -121.4090,       -121.3813,       -121.3118,       -121.2603,       -121.4558,       -121.2246
          16,        0.250000,       -121.4529,       -121.4437,       -121.4290,       -121.4104,       -121.3689,       -121.3346,       -121.4578,       -121.3142
          17,        0.266667,       -121.4539,       -121.4490,       -121.4404,       -121.4284,       -121.4028,       -121.3821,       -121.4541,       -121.3692
          18,        0.283333,       -121.4571,       -121.4539,       -121.4473,       -121.4408,       -121.4239,       -121.4116,       -121.4595,       -121.4028
          19,        0.300000,       -121.4578,       -121.4557,       -121.4528,       -121.4473,       -121.4370,       -121.4291,       -121.4589,       -121.4236
          20,        0.316667,       -121.4588,       -121.4570,       -121.4551,       -121.4524,       -121.4457,       -121.4405,       -121.4599,       -121.4370
          21,        0.333333,       -121.4590,       -121.4585,       -121.4566,       -121.4557,       -121.4513,       -121.4474,       -121.4596,       -121.4457
