"OutphaseC4_014","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_014.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\results\014\OutphaseC4_014_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.1738,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.5825,          0.0000
,        0.016667,          1.0669,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.6957,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.1767,          0.0000
,        0.025000,          1.2516,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.6668,         -6.4919,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -16.2253,          0.0000
,        0.033333,          1.3693,          0.0000,          2.2310,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.6086,        -13.1668,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -19.9081,          0.0000
,        0.041667,          1.4185,          0.0000,          2.6869,          0.9190,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.6420,        -18.8465,         -9.6556,          0.0000,          0.0000,          0.0000,          0.0000,        -23.3696,          0.0000
,        0.050000,          1.4845,          0.0929,          2.9295,          0.6109,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.6480,        -22.3467,        -10.0367,          0.0000,          0.0000,          0.0000,          0.0000,        -25.4852,          0.0000
,        0.058333,          1.4958,          0.2679,          2.2255,          0.6283,          0.4906,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.6170,        -25.3897,        -12.0248,          0.0000,          0.0000,          0.0000,          0.0000,        -27.3141,          0.0000
,        0.066667,          1.5318,          0.5281,          2.0140,          0.7115,          0.5749,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.6690,        -26.7571,        -13.8019,          0.0000,          0.0000,          0.0000,          0.0000,        -27.9353,          0.0000
,        0.075000,          1.5188,          0.7226,          1.8219,          0.8058,          0.6085,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.6122,        -28.1492,        -14.7104,         -2.4526,          0.0000,          0.0000,          0.0000,        -28.9431,          0.0000
,        0.083333,          1.5504,          0.8603,          1.6631,          0.9074,          0.6917,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.6560,        -28.7869,        -16.5609,         -5.4106,          0.0000,          0.0000,          0.0000,        -29.5539,          0.0000
