"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  285.8049    ,     0.000
         4.000,       31742,         0,         4, 0.4429330    ,  3.993750    , 0.4342474    ,  53876.91    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  57600.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3723.522    ,  3723.523    , 0.5482848E-03,  4009.327    ,     0.000
         4.500,       35757,         0,         4, 0.4610842    ,  4.488131    ,  0.000000    ,  7199.998    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7200.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1506329E-02, 0.7324219E-03,-0.7739067E-03,  4009.328    ,    -0.000
         5.000,       39625,         0,         4, 0.4793162    ,  4.994709    ,  0.000000    ,  7200.064    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7200.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.6407809E-01,-0.6445312E-01,-0.3750324E-03,  4009.264    ,    -0.000
         5.500,       43654,         0,         5, 0.4491108    ,  5.488557    ,  0.000000    ,  7199.937    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7200.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.6327605E-01, 0.6420898E-01, 0.9329319E-03,  4009.328    ,     0.000
         6.000,       47614,         0,         5, 0.4672761    ,  5.988590    ,  0.000000    ,  7199.997    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7200.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2629519E-02, 0.1708984E-02,-0.9205341E-03,  4009.330    ,    -0.000
         6.000,       47615,         0,         5, 0.4672792    ,  5.988590    ,  0.000000    , 0.5012696    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.5012512    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1835823E-04, 0.4882812E-03, 0.5066395E-03,  4009.330    ,     0.051
