"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\008\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.5841,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.5574,          1.1869,          0.0000,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.5972,          1.4138,          0.8128,          0.0000,          0.0000,          0.0000
          10,        0.150000,          0.6185,          1.4734,          0.1656,          0.8511,          0.5548,          0.0000
          11,        0.166667,          0.6246,          1.4397,          0.0987,          1.2066,          0.7824,          0.0000
          12,        0.183333,          0.6268,          1.3241,          0.0817,          1.3575,          0.9267,          0.8993
          13,        0.200000,          0.6277,          1.2122,          0.0711,          1.4361,          0.9942,          1.2671
          14,        0.216667,          0.6284,          1.2916,          0.0589,          1.4686,          1.0314,          1.3340
          15,        0.233333,          0.6293,          1.1768,          0.0461,          1.5241,          1.0753,          1.3596
          16,        0.250000,          0.6296,          1.0722,          0.0439,          1.5891,          1.1714,          1.4036
          17,        0.266667,          0.6297,          1.0213,          0.0368,          1.6396,          1.2106,          1.4519
          18,        0.283333,          0.6297,          0.9923,          0.0262,          1.6806,          1.2350,          1.4853
          19,        0.300000,          0.6298,          0.9739,          0.0224,          1.7124,          1.2522,          1.5117
          20,        0.316667,          0.6298,          0.9612,          0.0217,          1.7347,          1.1801,          1.5225
          21,        0.333333,          0.6298,          0.9603,          0.0231,          1.7505,          1.1874,          1.5318
          22,        0.350000,          0.6297,          0.9556,          0.0241,          1.7619,          1.1939,          1.5402
          23,        0.366667,          0.6298,          0.9506,          0.0234,          1.7713,          1.1979,          1.5467
          24,        0.383333,          0.6298,          0.9474,          0.0218,          1.7789,          1.2007,          1.5520
          25,        0.400000,          0.6298,          0.9442,          0.0201,          1.7854,          1.1996,          1.5553
          26,        0.416667,          0.6298,          0.9420,          0.0179,          1.7903,          1.2021,          1.5588
          27,        0.433333,          0.6298,          0.9399,          0.0165,          1.7940,          1.2038,          1.5613
          28,        0.450000,          0.6298,          0.9385,          0.0151,          1.7969,          1.2053,          1.5608
          29,        0.466667,          0.6298,          0.9374,          0.0140,          1.7989,          1.2063,          1.5624
          30,        0.483333,          0.6298,          0.9365,          0.0134,          1.8006,          1.2071,          1.5637
          31,        0.500000,          0.6298,          0.9358,          0.0133,          1.8018,          1.2085,          1.5650
          32,        0.516667,          0.6299,          0.9353,          0.0132,          1.8028,          1.2092,          1.5654
          33,        0.533333,          0.6299,          0.9349,          0.0135,          1.8037,          1.2096,          1.5660
          34,        0.550000,          0.6298,          0.9346,          0.0136,          1.8044,          1.2099,          1.5665
          35,        0.566667,          0.6298,          0.9342,          0.0138,          1.8048,          1.2102,          1.5669
          36,        0.583333,          0.6299,          0.9341,          0.0139,          1.8052,          1.2104,          1.5672
          37,        0.600000,          0.6299,          0.9339,          0.0140,          1.8055,          1.2105,          1.5674
          38,        0.616667,          0.6298,          0.9338,          0.0141,          1.8058,          1.2107,          1.5676
          39,        0.633333,          0.6299,          0.9337,          0.0142,          1.8060,          1.2108,          1.5677
          40,        0.650000,          0.6299,          0.9337,          0.0142,          1.8062,          1.2109,          1.5678
          41,        0.666667,          0.6299,          0.9335,          0.0142,          1.8063,          1.2109,          1.5680
          42,        0.683333,          0.6299,          0.9335,          0.0143,          1.8065,          1.2110,          1.5680
          43,        0.700000,          0.6299,          0.9334,          0.0143,          1.8066,          1.2110,          1.5682
          44,        0.716667,          0.6298,          0.9335,          0.0143,          1.8066,          1.2110,          1.5681
          45,        0.733333,          0.6299,          0.9334,          0.0144,          1.8066,          1.2111,          1.5682
          46,        0.750000,          0.6299,          0.9334,          0.0143,          1.8066,          1.2111,          1.5683
          47,        0.766667,          0.6299,          0.9334,          0.0144,          1.8067,          1.2111,          1.5683
          48,        0.783333,          0.6298,          0.9333,          0.0143,          1.8068,          1.2111,          1.5682
          49,        0.800000,          0.6298,          0.9333,          0.0144,          1.8068,          1.2111,          1.5682
          50,        0.816667,          0.6299,          0.9333,          0.0143,          1.8068,          1.2112,          1.5682
          51,        0.833333,          0.6298,          0.9333,          0.0144,          1.8068,          1.2112,          1.5682
          52,        0.850000,          0.6298,          0.9333,          0.0143,          1.8068,          1.2112,          1.5683
          53,        0.866667,          0.6298,          0.9333,          0.0144,          1.8067,          1.2112,          1.5683
          54,        0.883333,          0.6299,          0.9332,          0.0143,          1.8068,          1.2112,          1.5683
          55,        0.900000,          0.6299,          0.9333,          0.0143,          1.8067,          1.2112,          1.5683
          56,        0.916667,          0.6299,          0.9333,          0.0143,          1.8067,          1.2112,          1.5683
          57,        0.933333,          0.6299,          0.9333,          0.0144,          1.8068,          1.2112,          1.5683
          58,        0.950000,          0.6299,          0.9333,          0.0143,          1.8068,          1.2112,          1.5683
          59,        0.966667,          0.6298,          0.9333,          0.0143,          1.8068,          1.2112,          1.5683
          60,        0.983333,          0.6299,          0.9333,          0.0144,          1.8068,          1.2112,          1.5683
          61,        1.000000,          0.6298,          0.9333,          0.0143,          1.8068,          1.2112,          1.5684
          62,        1.016667,          0.6298,          0.9333,          0.0144,          1.8068,          1.2112,          1.5683
          63,        1.033333,          0.6298,          0.9333,          0.0143,          1.8068,          1.2112,          1.5684
          64,        1.050000,          0.6298,          0.9333,          0.0143,          1.8068,          1.2112,          1.5684
          65,        1.066667,          0.6298,          0.9333,          0.0144,          1.8068,          1.2112,          1.5684
          66,        1.083333,          0.6299,          0.9333,          0.0142,          1.8068,          1.2112,          1.5684
