"VanillaC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_004.tcf]","Time (h)","Q 2 [VanillaC4_004]","Q 3 [VanillaC4_004]","Q 4 [VanillaC4_004]","Q 5 [VanillaC4_004]","Q 6 [VanillaC4_004]","Q 7 [VanillaC4_004]","Q 1 [VanillaC4_004]","Q  8 [VanillaC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9402,         -0.0002
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5254,         -0.0000
           5,        0.033333,         -1.8727,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.7458,          0.0000
           6,        0.041667,         -2.8995,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.8543,         -0.0001
           7,        0.050000,         -3.3480,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9028,          0.0001
           8,        0.058333,         -3.5931,         -0.5153,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9387,          0.0001
           9,        0.066667,         -3.7348,         -2.1889,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9597,         -0.0005
          10,        0.075000,         -3.8214,         -2.8703,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9734,          0.0002
          11,        0.083333,         -3.8792,         -3.2584,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9824,          0.0004
          12,        0.091667,         -3.9177,         -3.4991,         -0.8634,          0.0000,          0.0000,          0.0000,         -3.9879,          0.0005
          13,        0.100000,         -3.9434,         -3.6543,         -2.1689,          0.0000,          0.0000,          0.0000,         -3.9920,         -0.0004
          14,        0.108333,         -3.9607,         -3.7565,         -2.7909,          0.0000,          0.0000,          0.0000,         -3.9943,          0.0000
          15,        0.116667,         -3.9727,         -3.8273,         -3.1714,         -0.0030,          0.0000,          0.0000,         -3.9962,          0.0000
          16,        0.125000,         -3.9809,         -3.8775,         -3.4182,         -1.8173,          0.0000,          0.0000,         -3.9973,         -0.0003
          17,        0.133333,         -3.9865,         -3.9129,         -3.5863,         -2.5609,          0.0000,          0.0000,         -3.9975,          0.0002
          18,        0.141667,         -3.9901,         -3.9378,         -3.7015,         -3.0021,          0.0000,          0.0000,         -3.9985,          0.0001
          19,        0.150000,         -3.9932,         -3.9554,         -3.7820,         -3.2886,          0.0000,          0.0000,         -3.9990,         -0.0002
          20,        0.158333,         -3.9950,         -3.9680,         -3.8415,         -3.4889,          0.0000,          0.0000,         -3.9994,          0.0003
          21,        0.166667,         -3.9966,         -3.9767,         -3.8846,         -3.6276,          0.0000,          0.0000,         -3.9995,          0.0002
          22,        0.175000,         -3.9974,         -3.9833,         -3.9160,         -3.7254,         -1.5887,          0.0000,         -3.9998,          0.0002
          23,        0.183333,         -3.9983,         -3.9881,         -3.9388,         -3.7965,         -2.3921,          0.0000,         -3.9997,         -0.0023
          24,        0.191667,         -3.9988,         -3.9915,         -3.9551,         -3.8499,         -2.8680,          0.0000,         -3.9998,         -0.0003
          25,        0.200000,         -3.9990,         -3.9938,         -3.9671,         -3.8891,         -3.1811,          0.0000,         -3.9999,          0.0003
          26,        0.208333,         -3.9994,         -3.9955,         -3.9761,         -3.9182,         -3.3997,         -0.8908,         -4.0000,          0.0002
