"InphaseC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_012.tcf]","Time (h)","Q 2 [InphaseC4_012]","Q 3 [InphaseC4_012]","Q 4 [InphaseC4_012]","Q 5 [InphaseC4_012]","Q 6 [InphaseC4_012]","Q 7 [InphaseC4_012]","Q 1 [InphaseC4_012]","Q  8 [InphaseC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -12.5206,          0.0004
           3,        0.016667,        -10.3529,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,        -15.1288,          0.0005
           4,        0.025000,        -10.1385,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -14.9561,          0.0003
           5,        0.033333,         -7.8898,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,        -14.9770,          0.0012
           6,        0.041667,         -9.0573,         -1.2730,          0.0000,          0.0000,          0.0000,          0.0007,        -15.0101,         -0.0007
           7,        0.050000,        -10.7842,         -3.7906,          0.0000,          0.0000,          0.0000,         -0.0009,        -14.5415,         -0.0006
           8,        0.058333,        -11.5309,         -6.6655,         -1.5973,          0.0000,          0.0000,         -0.0004,        -14.4058,          0.0001
           9,        0.066667,        -12.2138,         -8.7837,         -5.1188,          0.0000,          0.0000,          0.0007,        -14.3911,         -0.0009
          10,        0.075000,        -13.0309,        -10.4128,         -5.8964,          0.0000,         -0.0000,         -0.0013,        -14.5112,          0.0011
          11,        0.083333,        -13.6334,        -11.7371,         -6.7668,          0.0000,          0.0000,          0.0004,        -14.6501,          0.0001
          12,        0.091667,        -14.0004,        -12.7106,         -8.1525,         -0.5161,          0.0003,          0.0003,        -14.7302,         -0.0000
          13,        0.100000,        -14.2804,        -13.3781,         -8.9863,         -2.3294,         -0.0003,          0.0006,        -14.7980,          0.0006
          14,        0.108333,        -14.5040,        -13.8560,         -9.8487,         -4.3560,         -0.0007,          0.0006,        -14.8586,         -0.0011
          15,        0.116667,        -14.6572,        -14.2032,        -10.9055,         -6.4647,         -0.0004,          0.0001,        -14.9039,         -0.0012
          16,        0.125000,        -14.7589,        -14.4465,        -11.8625,         -8.4365,         -3.6337,         -0.0009,        -14.9305,         -0.0014
          17,        0.133333,        -14.8297,        -14.6145,        -12.6321,        -10.0825,         -4.2256,         -0.0003,        -14.9500,          0.0001
          18,        0.141667,        -14.8808,        -14.7301,        -13.2293,        -11.3667,         -5.1243,         -0.5890,        -14.9649,          0.0016
          19,        0.150000,        -14.9186,        -14.8122,        -13.7049,        -12.3383,         -6.8627,         -1.9685,        -14.9754,         -0.9206
          20,        0.158333,        -14.9423,        -14.8692,        -14.0640,        -13.0795,         -8.4802,         -3.7424,        -14.9830,         -2.3089
          21,        0.166667,        -14.9595,        -14.9089,        -14.3251,        -13.6197,         -9.6645,         -5.7827,        -14.9874,         -5.3219
          22,        0.175000,        -14.9723,        -14.9365,        -14.5182,        -14.0097,        -10.7954,         -8.2865,        -14.9916,         -7.9754
          23,        0.183333,        -14.9821,        -14.9558,        -14.6565,        -14.2949,        -11.8150,         -9.5486,        -14.9945,         -9.6784
          24,        0.191667,        -14.9867,        -14.9697,        -14.7559,        -14.4975,        -12.6067,        -10.8156,        -14.9960,        -10.7159
          25,        0.200000,        -14.9915,        -14.9789,        -14.8263,        -14.6427,        -13.2076,        -11.8238,        -14.9974,        -11.5216
          26,        0.208333,        -14.9933,        -14.9852,        -14.8760,        -14.7466,        -13.6647,        -12.5290,        -14.9980,        -12.2264
          27,        0.216667,        -14.9940,        -14.9900,        -14.9115,        -14.8200,        -14.0192,        -13.1745,        -14.9986,        -12.8851
          28,        0.225000,        -14.9963,        -14.9928,        -14.9379,        -14.8728,        -14.2806,        -13.6635,        -14.9986,        -13.4482
          29,        0.233333,        -14.9972,        -14.9949,        -14.9565,        -14.9092,        -14.4756,        -14.0168,        -14.9990,        -13.8667
          30,        0.241667,        -14.9984,        -14.9964,        -14.9688,        -14.9359,        -14.6185,        -14.2868,        -14.9997,        -14.1753
          31,        0.250000,        -14.9990,        -14.9973,        -14.9783,        -14.9547,        -14.7221,        -14.4809,        -15.0007,        -14.4004
          32,        0.258333,        -14.9992,        -14.9980,        -14.9847,        -14.9679,        -14.7981,        -14.6206,        -15.0012,        -14.5582
          33,        0.266667,        -14.9998,        -14.9989,        -14.9893,        -14.9773,        -14.8547,        -14.7236,        -14.9998,        -14.6754
          34,        0.275000,        -14.9986,        -14.9993,        -14.9918,        -14.9839,        -14.8940,        -14.8000,        -14.9993,        -14.7627
          35,        0.283333,        -14.9994,        -14.9994,        -14.9945,        -14.9886,        -14.9248,        -14.8544,        -14.9993,        -14.8269
          36,        0.291667,        -14.9999,        -14.9996,        -14.9967,        -14.9922,        -14.9447,        -14.8945,        -14.9992,        -14.8745
          37,        0.300000,        -14.9995,        -14.9997,        -14.9980,        -14.9941,        -14.9606,        -14.9239,        -14.9998,        -14.9089
          38,        0.308333,        -15.0003,        -14.9999,        -14.9985,        -14.9961,        -14.9711,        -14.9453,        -15.0003,        -14.9344
          39,        0.316667,        -15.0005,        -14.9998,        -14.9992,        -14.9973,        -14.9788,        -14.9604,        -15.0003,        -14.9525
          40,        0.325000,        -15.0007,        -15.0001,        -14.9989,        -14.9981,        -14.9852,        -14.9717,        -15.0000,        -14.9657
          41,        0.333333,        -14.9995,        -15.0001,        -14.9995,        -14.9989,        -14.9892,        -14.9795,        -14.9995,        -14.9756
          42,        0.341667,        -14.9996,        -15.0001,        -14.9986,        -14.9988,        -14.9924,        -14.9854,        -14.9992,        -14.9832
