"InphaseC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_012.tcf]","Time (h)","V 2 [InphaseC4_012]","V 3 [InphaseC4_012]","V 4 [InphaseC4_012]","V 5 [InphaseC4_012]","V 6 [InphaseC4_012]","V 7 [InphaseC4_012]","V 8 [InphaseC4_012]","V 9 [InphaseC4_012]","V 10 [InphaseC4_012]","V 11 [InphaseC4_012]","V 12 [InphaseC4_012]","V 13 [InphaseC4_012]","V 14 [InphaseC4_012]","V 15 [InphaseC4_012]","V 16 [InphaseC4_012]","V  1 [InphaseC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.4526
           3,        0.016667,          2.5778,          0.0000,          0.0000,          0.0000,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.4678
           4,        0.025000,          2.4159,          0.0000,          0.7055,          0.0000,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.4624
           5,        0.033333,          1.6177,          0.0973,          0.4856,          0.0000,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          2.4538
           6,        0.041667,          1.3572,          0.0213,          0.5312,          0.7334,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0000,          0.0001,          2.4555
           7,        0.050000,          1.2543,          0.0962,          0.6394,          1.2202,          0.0237,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.4684
           8,        0.058333,          1.1681,          0.1374,          0.6913,          1.4839,          1.7628,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          0.0000,          0.0000,          1.9822
           9,        0.066667,          1.1135,          0.1663,          0.7255,          1.6136,          2.0710,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          0.0002,          1.7525
          10,        0.075000,          1.0861,          0.2000,          0.7605,          1.6947,          2.2189,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          1.6451
          11,        0.083333,          1.0657,          0.2255,          0.7865,          1.7527,          2.2324,          0.0000,          0.1673,          0.0000,          0.0001,          0.0002,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.5819
          12,        0.091667,          1.0471,          0.2386,          0.8020,          1.7912,          1.6062,          0.0000,          0.3040,          0.0000,          0.0001,          0.0002,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          1.5375
          13,        0.100000,          1.0340,          0.2499,          0.8124,          1.8157,          1.4113,          0.0000,          0.3924,          0.0000,          0.0003,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          1.5079
          14,        0.108333,          1.0257,          0.2589,          0.8204,          1.8328,          1.2784,          0.0000,          0.4479,          0.0771,          0.0002,          0.0001,          0.0000,          0.0001,          0.0000,          0.0001,          0.0002,          1.4869
          15,        0.116667,          1.0195,          0.2652,          0.8262,          1.8449,          1.2004,          0.0414,          0.5078,          0.8429,          0.2113,          0.0016,          0.0000,          0.0003,          0.0001,          0.0000,          0.0000,          1.4732
          16,        0.125000,          1.0149,          0.2695,          0.8297,          1.8531,          1.1503,          0.0882,          0.5589,          1.1341,          0.2699,          0.2808,          0.0000,          0.0003,          0.0000,          0.0000,          0.0000,          1.4631
          17,        0.133333,          1.0114,          0.2729,          0.8323,          1.8586,          1.1157,          0.1184,          0.5986,          1.3189,          0.1810,          0.2760,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          1.4564
          18,        0.141667,          1.0093,          0.2753,          0.8341,          1.8625,          1.0909,          0.1405,          0.6254,          1.4369,          0.0892,          0.2838,          0.3120,          0.1800,          0.0321,          0.0000,          0.0001,          1.4519
          19,        0.150000,          1.0079,          0.2769,          0.8353,          1.8651,          1.0740,          0.1579,          0.6468,          1.5158,          0.0833,          0.3325,          0.5008,          0.2816,          0.1235,          0.0619,          0.0120,          1.4486
          20,        0.158333,          1.0068,          0.2781,          0.8361,          1.8670,          1.0610,          0.1717,          0.6632,          1.5693,          0.0997,          0.3517,          0.6667,          0.4729,          0.2381,          0.1238,          0.0948,          1.4463
