iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
70,3.81171,0.100772,0.100696,0.340652,0.390152,0.15831,33.9186
71,3.91443,0.102829,0.102721,0.350174,0.398117,0.155365,34.3861
72,4.01926,0.104927,0.104833,0.359558,0.406235,0.153534,34.8229
73,4.1263,0.107069,0.107038,0.373581,0.41452,0.154068,35.2514
74,4.23543,0.109254,0.109128,0.383606,0.422989,0.157166,35.6914
75,4.34674,0.111483,0.111307,0.393204,0.431625,0.165009,36.1836
76,4.46031,0.113759,0.113578,0.417358,0.44043,0.180023,36.7879
77,4.57626,0.11608,0.115949,0.437469,0.449417,0.196472,37.5132
78,4.69469,0.118449,0.118427,0.463348,0.458588,0.208191,38.3172
79,4.81544,0.120867,0.120754,0.488907,0.467941,0.213669,39.1407
80,4.93862,0.123333,0.12318,0.509979,0.477493,0.2146,39.9464
81,5.06434,0.12585,0.125711,0.531021,0.487244,0.21286,40.7141
82,5.19269,0.128419,0.128354,0.558289,0.497192,0.209946,41.4367
83,5.32349,0.131039,0.130805,0.58316,0.507339,0.20639,42.106
84,5.45718,0.133714,0.133683,0.604675,0.517685,0.208298,42.775
85,5.59353,0.136442,0.136357,0.621719,0.528259,0.230637,43.6052
86,5.73268,0.139227,0.139147,0.628128,0.539032,0.248825,44.5588
87,5.87474,0.142068,0.142061,0.631042,0.550034,0.259338,45.5716
88,6.01946,0.144968,0.14472,0.632782,0.561264,0.263046,46.5805
89,6.16735,0.147926,0.147892,0.631683,0.572708,0.260162,47.5425
90,6.31815,0.150945,0.150792,0.628693,0.584396,0.254395,48.4296
91,6.47196,0.154026,0.153816,0.626434,0.596329,0.254776,49.2943
92,6.62894,0.157169,0.156974,0.626953,0.608505,0.257385,50.1561
93,6.78921,0.160377,0.160273,0.630264,0.620911,0.258362,51.0038
94,6.95243,0.16365,0.163223,0.634979,0.633591,0.241165,51.6887
95,7.11925,0.166989,0.166816,0.639435,0.646515,0.251282,52.4382
96,7.28928,0.170397,0.170035,0.643005,0.659714,0.259048,53.225
97,7.46267,0.173875,0.173391,0.645828,0.673172,0.262939,54.019
98,7.63957,0.177423,0.176893,0.648621,0.68692,0.263077,54.7927
99,7.82012,0.181044,0.180553,0.65213,0.700943,0.261002,55.5309
100,8.0045,0.184739,0.184381,0.658752,0.71524,0.258163,56.2301
101,8.19289,0.188509,0.188389,0.667831,0.729843,0.255951,56.8977
102,8.38477,0.192356,0.191878,0.67746,0.744736,0.255112,57.5368
103,8.58103,0.196282,0.196256,0.687561,0.759933,0.255814,58.1709
104,8.7811,0.200288,0.200074,0.697968,0.775436,0.257904,58.8021
105,8.98516,0.204375,0.204059,0.70845,0.79126,0.261169,59.4407
106,9.19338,0.208546,0.208224,0.719116,0.807419,0.265167,60.0933
107,9.40596,0.212802,0.21258,0.730759,0.823898,0.269684,60.7647
108,9.6231,0.217145,0.217142,0.744827,0.840714,0.274506,61.4583
109,9.84406,0.221576,0.220951,0.763336,0.857864,0.2827,62.1879
110,10.07,0.226098,0.225928,0.7883,0.875366,0.295609,63.0018
111,10.299,0.229457,0.229037,0.81636,0.888382,0.304977,63.8573
112,10.5239,0.225712,0.224891,0.82283,0.873871,0.301544,64.6328
113,10.7478,0.224557,0.223874,0.837677,0.8694,0.29895,65.3559
114,10.9727,0.225345,0.224896,0.854965,0.872452,0.297134,66.0424
115,11.1997,0.227518,0.226978,0.870209,0.880875,0.296112,66.6996
116,11.4298,0.230506,0.23019,0.88092,0.892441,0.295914,67.3401
117,11.6634,0.233689,0.23351,0.886322,0.904755,0.296188,67.967
118,11.8991,0.236696,0.235788,0.889603,0.916397,0.296738,68.5727
119,12.1373,0.239298,0.238123,0.890533,0.926483,0.297394,69.1627
120,12.3778,0.241396,0.240516,0.889374,0.934601,0.29834,69.7441
121,12.6195,0.242739,0.241737,0.886627,0.939804,0.299179,70.3105
122,12.8625,0.243405,0.242977,0.883057,0.942383,0.299713,70.8662
123,13.1055,0.243638,0.242977,0.879623,0.943283,0.300018,71.4015
124,13.3485,0.243623,0.242977,0.876907,0.943222,0.300201,71.9184
125,13.5914,0.24346,0.242977,0.874527,0.942581,0.300339,72.4189
126,13.8344,0.243185,0.242977,0.872223,0.941528,0.300461,72.9045
127,14.0761,0.242812,0.241705,0.869308,0.940079,0.300598,73.3654
128,14.3178,0.242329,0.241705,0.865997,0.938217,0.300766,73.8149
129,14.5595,0.241712,0.241705,0.86232,0.935822,0.300934,74.2548
130,14.7999,0.240962,0.240426,0.858551,0.932922,0.301071,74.6752
131,15.0391,0.240104,0.239154,0.854462,0.929596,0.301208,75.078
132,15.277,0.239141,0.237888,0.850494,0.925873,0.30127,75.4645
133,15.5149,0.238133,0.237888,0.846085,0.921967,0.301224,75.8453
134,15.7515,0.237166,0.236623,0.841522,0.918213,0.300995,76.2097
135,15.9869,0.236382,0.235364,0.837662,0.915192,0.300613,76.5566
136,16.2222,0.2359,0.235364,0.838058,0.913315,0.30014,76.8941
137,16.4576,0.235789,0.235364,0.841934,0.912888,0.299728,77.2207
138,16.693,0.236003,0.235364,0.845825,0.913712,0.299454,77.5355
139,16.9283,0.236434,0.235364,0.848877,0.91539,0.299362,77.8386
140,17.165,0.236937,0.236658,0.849274,0.917328,0.299393,78.1398
141,17.4016,0.237418,0.236658,0.848389,0.919189,0.299545,78.4306
142,17.6383,0.237778,0.236658,0.85051,0.920593,0.299698,78.7124
143,17.8763,0.238018,0.237987,0.848984,0.921524,0.299835,78.9949
144,18.1143,0.238149,0.237987,0.84819,0.922028,0.299942,79.2697
145,18.3523,0.238195,0.237987,0.846909,0.922211,0.299988,79.5373
146,18.5902,0.238205,0.237987,0.846329,0.922241,0.300034,79.7983
147,18.8282,0.238178,0.237987,0.844849,0.922134,0.300049,80.0528
148,19.0662,0.238139,0.237987,0.84433,0.921982,0.300064,80.3013
149,19.3042,0.238088,0.237987,0.843735,0.921799,0.300064,80.5438
150,19.5422,0.238037,0.237987,0.843216,0.9216,0.300064,80.7808
151,19.7802,0.237987,0.237987,0.842819,0.921402,0.300064,81.0123
152,20.0168,0.237936,0.236587,0.84285,0.921204,0.300079,81.2303
153,20.2534,0.237873,0.236587,0.842606,0.920959,0.300079,81.4436
