"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  204.3628    ,     0.000
         4.000,       29377,         0,         3, 0.5106026    ,  3.996469    , 0.4282861    ,  40123.95    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  43200.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3076.478    ,  3076.478    ,-0.3885992E-04,  3280.840    ,    -0.000
         4.500,       33017,         0,         4, 0.4765793    ,  4.412370    ,  0.000000    ,  5400.012    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5400.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1181686E-01,-0.1220703E-01,-0.3901720E-03,  3280.828    ,    -0.000
         5.000,       36753,         0,         4, 0.4947569    ,  4.992896    ,  0.000000    ,  5399.998    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5400.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2725601E-02, 0.3417969E-02, 0.6923676E-03,  3280.832    ,     0.000
         5.500,       40365,         0,         4, 0.5115786    ,  5.495761    ,  0.000000    ,  5400.001    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5400.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.1030564E-02,-0.1220703E-02,-0.1901388E-03,  3280.830    ,    -0.000
         6.000,       44051,         0,         5, 0.4790390    ,  5.939418    ,  0.000000    ,  5400.001    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5400.000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.8874536E-03,-0.1220703E-02,-0.3332496E-03,  3280.829    ,    -0.000
         6.000,       44052,         0,         5, 0.4790404    ,  5.939418    ,  0.000000    , 0.3759656    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.3759384    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.2720952E-04,  0.000000    , 0.2720952E-04,  3280.829    ,     0.000
