"OutphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_020.tcf]","Time (h)","V 2 [OutphaseC4_020]","V 3 [OutphaseC4_020]","V 4 [OutphaseC4_020]","V 5 [OutphaseC4_020]","V 6 [OutphaseC4_020]","V 7 [OutphaseC4_020]","V 8 [OutphaseC4_020]","V 9 [OutphaseC4_020]","V 10 [OutphaseC4_020]","V 11 [OutphaseC4_020]","V 12 [OutphaseC4_020]","V 13 [OutphaseC4_020]","V 14 [OutphaseC4_020]","V 15 [OutphaseC4_020]","V 16 [OutphaseC4_020]","V  1 [OutphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.3992,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.9259
           3,        0.016667,          1.9674,          1.0084,          3.0696,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0949
           4,        0.025000,          2.0677,          2.4058,          4.0459,          1.8358,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.1456
           5,        0.033333,          2.0489,          2.9089,          4.4920,          1.4982,          1.1847,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0882
           6,        0.041667,          2.0613,          3.0971,          3.3541,          1.6774,          1.1658,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0565
           7,        0.050000,          2.0393,          3.2163,          3.2701,          2.0825,          1.3376,          0.7448,          1.4944,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0544
           8,        0.058333,          2.0399,          3.2898,          3.0587,          2.2280,          1.5377,          1.7924,          2.3302,          0.6279,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.0483
           9,        0.066667,          2.0335,          3.3278,          2.9026,          2.2616,          1.7292,          2.1883,          1.9668,          0.5295,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0460
          10,        0.075000,          2.0340,          3.3480,          2.7889,          2.2340,          1.8243,          2.4158,          0.4684,          0.6102,          0.8515,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.0459
          11,        0.083333,          2.0326,          3.3567,          2.7057,          2.1828,          1.8759,          2.5686,          0.3016,          0.6843,          1.3363,          1.4878,          0.4041,          0.0585,          0.0000,          0.0000,          0.0001,          1.0442
          12,        0.091667,          2.0320,          3.3719,          2.6437,          2.1508,          1.8996,          2.7020,          0.2845,          0.7834,          1.6067,          2.3093,          0.3598,          0.4186,          0.5552,          0.0000,          0.0002,          1.0445
          13,        0.100000,          2.0321,          3.3431,          2.5962,          2.1296,          1.9123,          2.7563,          0.3246,          0.8573,          1.7350,          2.8419,          0.1260,          0.4506,          0.5257,          1.1634,          0.0002,          1.0442
          14,        0.108333,          2.0317,          3.1299,          2.5509,          2.1024,          1.9209,          2.7315,          0.3868,          0.9260,          1.8185,          3.2074,          0.0678,          0.5704,          0.6730,          1.7300,          0.1902,          1.0440
          15,        0.116667,          2.0318,          2.8205,          2.5113,          2.0615,          1.9187,          2.7101,          0.4508,          1.0064,          1.8917,          3.4578,          0.0507,          0.7230,          0.9319,          2.1471,          0.7697,          1.0441
          16,        0.125000,          2.0317,          2.5753,          2.4809,          2.0387,          1.9219,          2.7074,          0.4879,          1.0507,          1.9372,          3.6418,          0.1558,          0.8532,          1.2646,          2.4225,          1.9137,          1.0439
          17,        0.133333,          2.0316,          2.4240,          2.4570,          2.0234,          1.9302,          2.7075,          0.5184,          1.0563,          1.9463,          3.7737,          0.2507,          1.0053,          1.4774,          2.6434,          2.6030,          1.0440
          18,        0.141667,          2.0316,          2.3282,          2.4408,          2.0094,          1.9329,          2.7083,          0.5459,          1.0576,          1.9566,          3.7637,          0.3007,          1.0842,          1.6258,          2.8056,          2.9591,          1.0439
          19,        0.150000,          2.0316,          2.2714,          2.4278,          2.0065,          1.9345,          2.7096,          0.5761,          1.0682,          1.9690,          3.1446,          0.3572,          1.0998,          1.7420,          2.9323,          3.1609,          1.0439
          20,        0.158333,          2.0317,          2.2311,          2.4191,          1.9972,          1.9326,          2.7108,          0.5974,          1.1015,          1.9881,          2.7466,          0.3980,          1.1798,          1.8227,          3.0393,          3.7789,          1.0440
          21,        0.166667,          2.0317,          2.2023,          2.4104,          1.9949,          1.9328,          2.7134,          0.6080,          1.1146,          1.9954,          2.5578,          0.4196,          1.2407,          1.8762,          3.1130,          4.5068,          1.0439
          22,        0.175000,          2.0317,          2.1854,          2.4036,          1.9819,          1.9304,          2.7138,          0.6122,          1.1128,          1.9954,          2.4717,          0.4233,          1.2541,          1.9132,          3.1690,          4.7164,          1.0440
          23,        0.183333,          2.0317,          2.1738,          2.3992,          1.9840,          1.9292,          2.7155,          0.6116,          1.1107,          2.0013,          2.4209,          0.4241,          1.2422,          1.9445,          3.1961,          4.8014,          1.0440
          24,        0.191667,          2.0317,          2.1642,          2.3943,          1.9812,          1.9315,          2.7163,          0.6137,          1.0982,          2.0029,          2.3845,          0.4246,          1.2480,          1.9645,          3.1967,          4.8711,          1.0440
          25,        0.200000,          2.0318,          2.1553,          2.3917,          1.9764,          1.9279,          2.7156,          0.6175,          1.1032,          2.0155,          2.3563,          0.4280,          1.2643,          1.9769,          3.1840,          4.9279,          1.0440
          26,        0.208333,          2.0318,          2.1493,          2.3900,          1.9796,          1.9291,          2.7179,          0.6240,          1.1056,          2.0190,          2.3339,          0.4300,          1.2825,          1.9860,          3.1748,          4.9726,          1.0440
          27,        0.216667,          2.0318,          2.1449,          2.3883,          1.9791,          1.9293,          2.7179,          0.6258,          1.1176,          2.0260,          2.3184,          0.4291,          1.2884,          1.9932,          3.1696,          5.0135,          1.0440
          28,        0.225000,          2.0318,          2.1412,          2.3869,          1.9778,          1.9269,          2.7183,          0.6266,          1.1150,          2.0238,          2.3061,          0.4298,          1.2988,          1.9987,          3.1682,          5.0460,          1.0440
          29,        0.233333,          2.0318,          2.1382,          2.3850,          1.9775,          1.9270,          2.7192,          0.6303,          1.1123,          2.0236,          2.3005,          0.4235,          1.2941,          2.0026,          3.1656,          5.0727,          1.0440
          30,        0.241667,          2.0318,          2.1356,          2.3844,          1.9760,          1.9263,          2.7196,          0.6282,          1.1210,          2.0279,          2.2940,          0.4231,          1.2942,          2.0071,          3.1672,          5.0945,          1.0440
          31,        0.250000,          2.0318,          2.1315,          2.3845,          1.9797,          1.9272,          2.7203,          0.6288,          1.1121,          2.0299,          2.2894,          0.4127,          1.2887,          2.0080,          3.1648,          5.1121,          1.0440
          32,        0.258333,          2.0318,          2.1302,          2.3841,          1.9799,          1.9273,          2.7200,          0.6315,          1.1145,          2.0261,          2.2873,          0.4057,          1.2810,          2.0098,          3.1666,          5.1256,          1.0440
          33,        0.266667,          2.0318,          2.1294,          2.3837,          1.9793,          1.9253,          2.7199,          0.6316,          1.1241,          2.0356,          2.2827,          0.4102,          1.3060,          2.0096,          3.1651,          5.1367,          1.0440
          34,        0.275000,          2.0318,          2.1288,          2.3829,          1.9792,          1.9258,          2.7207,          0.6334,          1.1207,          2.0304,          2.2797,          0.4027,          1.2952,          2.0091,          3.1618,          5.1451,          1.0440
          35,        0.283333,          2.0318,          2.1283,          2.3822,          1.9783,          1.9252,          2.7204,          0.6320,          1.1263,          2.0321,          2.2798,          0.4024,          1.2872,          2.0101,          3.1675,          5.1523,          1.0440
          36,        0.291667,          2.0318,          2.1280,          2.3819,          1.9791,          1.9257,          2.7210,          0.6303,          1.1231,          2.0326,          2.2775,          0.4112,          1.3206,          2.0078,          3.1647,          5.1608,          1.0440
          37,        0.300000,          2.0318,          2.1276,          2.3816,          1.9798,          1.9259,          2.7208,          0.6300,          1.1214,          2.0301,          2.2772,          0.4077,          1.2952,          2.0092,          3.1613,          5.1641,          1.0440
          38,        0.308333,          2.0318,          2.1274,          2.3814,          1.9803,          1.9257,          2.7209,          0.6312,          1.1240,          2.0340,          2.2765,          0.4095,          1.2967,          2.0099,          3.1687,          5.1687,          1.0440
          39,        0.316667,          2.0318,          2.1272,          2.3812,          1.9808,          1.9256,          2.7209,          0.6326,          1.1293,          2.0342,          2.2747,          0.4108,          1.3072,          2.0092,          3.1636,          5.1718,          1.0440
          40,        0.325000,          2.0318,          2.1271,          2.3810,          1.9812,          1.9255,          2.7209,          0.6325,          1.1333,          2.0348,          2.2742,          0.4096,          1.2995,          2.0093,          3.1641,          5.1730,          1.0440
          41,        0.333333,          2.0318,          2.1270,          2.3808,          1.9816,          1.9253,          2.7211,          0.6319,          1.1329,          2.0328,          2.2740,          0.4131,          1.3123,          2.0084,          3.1655,          5.1754,          1.0440
          42,        0.341667,          2.0318,          2.1270,          2.3805,          1.9819,          1.9253,          2.7208,          0.6310,          1.1327,          2.0323,          2.2741,          0.4153,          1.3122,          2.0080,          3.1631,          5.1765,          1.0440
          43,        0.350000,          2.0318,          2.1269,          2.3803,          1.9824,          1.9252,          2.7210,          0.6304,          1.1331,          2.0330,          2.2738,          0.4150,          1.3087,          2.0082,          3.1651,          5.1775,          1.0440
          44,        0.358333,          2.0318,          2.1269,          2.3802,          1.9828,          1.9252,          2.7209,          0.6301,          1.1340,          2.0333,          2.2736,          0.4127,          1.3038,          2.0085,          3.1651,          5.1784,          1.0440
          45,        0.366667,          2.0318,          2.1269,          2.3800,          1.9833,          1.9251,          2.7210,          0.6300,          1.1356,          2.0335,          2.2732,          0.4127,          1.3097,          2.0080,          3.1653,          5.1794,          1.0440
          46,        0.375000,          2.0318,          2.1268,          2.3798,          1.9836,          1.9250,          2.7210,          0.6297,          1.1372,          2.0336,          2.2730,          0.4131,          1.3139,          2.0075,          3.1638,          5.1798,          1.0439
          47,        0.383333,          2.0318,          2.1268,          2.3797,          1.9841,          1.9250,          2.7209,          0.6294,          1.1381,          2.0334,          2.2730,          0.4133,          1.3146,          2.0073,          3.1643,          5.1801,          1.0440
          48,        0.391667,          2.0318,          2.1269,          2.3796,          1.9845,          1.9250,          2.7210,          0.6289,          1.1392,          2.0332,          2.2733,          0.4134,          1.3156,          2.0071,          3.1646,          5.1808,          1.0440
          49,        0.400000,          2.0318,          2.1268,          2.3794,          1.9850,          1.9249,          2.7209,          0.6285,          1.1401,          2.0333,          2.2735,          0.4129,          1.3154,          2.0070,          3.1646,          5.1810,          1.0440
          50,        0.408333,          2.0318,          2.1268,          2.3793,          1.9853,          1.9249,          2.7211,          0.6280,          1.1408,          2.0331,          2.2736,          0.4118,          1.3148,          2.0070,          3.1647,          5.1813,          1.0440
          51,        0.416667,          2.0317,          2.1268,          2.3791,          1.9857,          1.9248,          2.7208,          0.6277,          1.1419,          2.0332,          2.2737,          0.4110,          1.3160,          2.0068,          3.1647,          5.1815,          1.0440
          52,        0.425000,          2.0319,          2.1268,          2.3790,          1.9861,          1.9247,          2.7210,          0.6273,          1.1429,          2.0332,          2.2736,          0.4106,          1.3179,          2.0066,          3.1644,          5.1817,          1.0440
          53,        0.433333,          2.0318,          2.1269,          2.3789,          1.9864,          1.9248,          2.7208,          0.6268,          1.1438,          2.0332,          2.2737,          0.4099,          1.3188,          2.0064,          3.1644,          5.1818,          1.0440
          54,        0.441667,          2.0317,          2.1269,          2.3788,          1.9869,          1.9247,          2.7210,          0.6264,          1.1446,          2.0331,          2.2738,          0.4094,          1.3202,          2.0062,          3.1646,          5.1819,          1.0440
