"OutphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_020.tcf]","Time (h)","Q 2 [OutphaseC4_020]","Q 3 [OutphaseC4_020]","Q 4 [OutphaseC4_020]","Q 5 [OutphaseC4_020]","Q 6 [OutphaseC4_020]","Q 7 [OutphaseC4_020]","Q 1 [OutphaseC4_020]","Q  8 [OutphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -46.6067,         -0.0001
           3,        0.016667,        -30.6802,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -57.4740,         -0.0007
           4,        0.025000,        -55.2024,        -34.6961,          0.0000,          0.0000,          0.0000,         -0.0000,        -71.8933,         -0.0000
           5,        0.033333,        -70.2130,        -39.8765,          0.0000,          0.0000,          0.0000,         -0.0000,        -79.5826,         -0.0006
           6,        0.041667,        -77.5289,        -44.7554,        -12.3134,          0.0000,          0.0000,         -0.0000,        -83.5289,         -0.0003
           7,        0.050000,        -82.2747,        -52.5082,        -26.6021,        -16.5134,          0.0000,         -0.0000,        -86.4007,          0.0004
           8,        0.058333,        -85.4960,        -61.1363,        -40.9502,        -29.9509,          0.0000,         -0.0000,        -87.9526,         -0.0007
           9,        0.066667,        -87.3493,        -68.0491,        -52.0487,        -35.9886,          0.0000,         -0.0000,        -88.6715,         -0.0014
          10,        0.075000,        -88.4542,        -73.6600,        -60.8133,        -42.8415,         -1.8762,         -0.0000,        -89.3617,          0.0010
          11,        0.083333,        -89.1208,        -77.6025,        -67.2262,        -49.2468,        -14.0935,         -0.0000,        -89.5349,         -0.0011
          12,        0.091667,        -89.4799,        -80.4430,        -72.1066,        -55.9595,        -25.8621,         -6.0860,        -89.7674,         -0.0003
          13,        0.100000,        -89.6997,        -82.6149,        -75.9948,        -62.1122,        -37.0805,         -8.9577,        -89.8739,          0.0013
          14,        0.108333,        -89.8381,        -84.2835,        -79.0970,        -67.3585,        -46.7304,        -16.4452,        -89.9072,         -4.9062
          15,        0.116667,        -89.9000,        -85.5558,        -81.5481,        -72.0539,        -54.7467,        -24.3089,        -89.9659,        -13.0278
          16,        0.125000,        -89.8905,        -86.5453,        -83.4507,        -75.7534,        -61.1376,        -32.6370,        -89.9712,        -20.8195
          17,        0.133333,        -89.9033,        -87.3225,        -84.9309,        -78.6365,        -65.7631,        -40.8499,        -89.9838,        -30.5856
