"VanillaC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_005.tcf]","Time (h)","V 2 [VanillaC4_005]","V 3 [VanillaC4_005]","V 4 [VanillaC4_005]","V 5 [VanillaC4_005]","V 6 [VanillaC4_005]","V 7 [VanillaC4_005]","V 8 [VanillaC4_005]","V 9 [VanillaC4_005]","V 10 [VanillaC4_005]","V 11 [VanillaC4_005]","V 12 [VanillaC4_005]","V 13 [VanillaC4_005]","V 14 [VanillaC4_005]","V 15 [VanillaC4_005]","V 16 [VanillaC4_005]","V  1 [VanillaC4_005]"
          28,        0.225000,          0.9495,          0.4426,          0.8844,          0.8651,          0.9183,          0.4426,          0.5034,          0.5630,          0.6102,          0.6545,          0.3198,          0.6307,          0.9527,          0.8455,          0.4149,          0.9298
          29,        0.233333,          0.9495,          0.4426,          0.8843,          0.8651,          0.9182,          0.4429,          0.5038,          0.5639,          0.6117,          0.6570,          0.3376,          0.6398,          0.9521,          0.8715,          0.6682,          0.9298
          30,        0.241667,          0.9495,          0.4426,          0.8844,          0.8650,          0.9182,          0.4431,          0.5042,          0.5645,          0.6127,          0.6588,          0.3506,          0.6459,          0.9512,          0.8844,          0.7527,          0.9298
          31,        0.250000,          0.9495,          0.4427,          0.8843,          0.8650,          0.9181,          0.4432,          0.5044,          0.5651,          0.6135,          0.6600,          0.3564,          0.6499,          0.9500,          0.9033,          0.7966,          0.9298
          32,        0.258333,          0.9494,          0.4427,          0.8843,          0.8650,          0.9181,          0.4433,          0.5046,          0.5654,          0.6141,          0.6610,          0.3603,          0.6529,          0.9488,          0.9126,          0.8282,          0.9298
          33,        0.266667,          0.9495,          0.4427,          0.8843,          0.8650,          0.9180,          0.4434,          0.5048,          0.5657,          0.6146,          0.6616,          0.3634,          0.6554,          0.9493,          0.9170,          0.8510,          0.9297
          34,        0.275000,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4434,          0.5048,          0.5658,          0.6150,          0.6621,          0.3658,          0.6574,          0.9497,          0.9201,          0.8670,          0.9298
          35,        0.283333,          0.9496,          0.4427,          0.8843,          0.8650,          0.9180,          0.4435,          0.5050,          0.5660,          0.6152,          0.6624,          0.3677,          0.6589,          0.9498,          0.9227,          0.8787,          0.9298
          36,        0.291667,          0.9495,          0.4427,          0.8842,          0.8649,          0.9180,          0.4435,          0.5050,          0.5661,          0.6153,          0.6627,          0.3693,          0.6599,          0.9499,          0.9245,          0.8874,          0.9298
          37,        0.300000,          0.9495,          0.4426,          0.8843,          0.8649,          0.9181,          0.4436,          0.5050,          0.5662,          0.6154,          0.6629,          0.3703,          0.6607,          0.9499,          0.9257,          0.8939,          0.9298
          38,        0.308333,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4436,          0.5051,          0.5663,          0.6155,          0.6630,          0.3711,          0.6613,          0.9499,          0.9266,          0.8990,          0.9298
          39,        0.316667,          0.9495,          0.4426,          0.8843,          0.8649,          0.9179,          0.4435,          0.5050,          0.5663,          0.6155,          0.6632,          0.3718,          0.6617,          0.9499,          0.9273,          0.9027,          0.9298
          40,        0.325000,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4436,          0.5051,          0.5664,          0.6156,          0.6633,          0.3722,          0.6621,          0.9499,          0.9279,          0.9055,          0.9297
          41,        0.333333,          0.9494,          0.4426,          0.8843,          0.8649,          0.9180,          0.4435,          0.5051,          0.5663,          0.6157,          0.6633,          0.3728,          0.6623,          0.9499,          0.9283,          0.9076,          0.9298
          42,        0.341667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4435,          0.5051,          0.5664,          0.6157,          0.6633,          0.3729,          0.6625,          0.9498,          0.9286,          0.9091,          0.9297
          43,        0.350000,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4435,          0.5052,          0.5664,          0.6157,          0.6634,          0.3732,          0.6627,          0.9499,          0.9288,          0.9102,          0.9297
          44,        0.358333,          0.9495,          0.4426,          0.8843,          0.8650,          0.9179,          0.4436,          0.5051,          0.5664,          0.6157,          0.6634,          0.3734,          0.6628,          0.9499,          0.9291,          0.9112,          0.9298
          45,        0.366667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4436,          0.5051,          0.5664,          0.6158,          0.6634,          0.3734,          0.6629,          0.9498,          0.9291,          0.9116,          0.9298
          46,        0.375000,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5051,          0.5664,          0.6157,          0.6634,          0.3735,          0.6629,          0.9499,          0.9291,          0.9123,          0.9297
          47,        0.383333,          0.9495,          0.4426,          0.8842,          0.8649,          0.9179,          0.4436,          0.5052,          0.5664,          0.6157,          0.6635,          0.3736,          0.6629,          0.9499,          0.9293,          0.9125,          0.9298
          48,        0.391667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9180,          0.4436,          0.5052,          0.5664,          0.6158,          0.6634,          0.3737,          0.6630,          0.9498,          0.9293,          0.9130,          0.9297
          49,        0.400000,          0.9495,          0.4427,          0.8842,          0.8650,          0.9179,          0.4435,          0.5051,          0.5664,          0.6157,          0.6634,          0.3736,          0.6630,          0.9499,          0.9294,          0.9129,          0.9298
          50,        0.408333,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5051,          0.5664,          0.6157,          0.6635,          0.3738,          0.6630,          0.9498,          0.9294,          0.9132,          0.9297
          51,        0.416667,          0.9494,          0.4427,          0.8843,          0.8650,          0.9180,          0.4436,          0.5052,          0.5664,          0.6157,          0.6635,          0.3738,          0.6630,          0.9499,          0.9294,          0.9133,          0.9298
          52,        0.425000,          0.9494,          0.4427,          0.8843,          0.8649,          0.9180,          0.4436,          0.5051,          0.5664,          0.6158,          0.6635,          0.3737,          0.6630,          0.9499,          0.9294,          0.9135,          0.9297
          53,        0.433333,          0.9494,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5052,          0.5663,          0.6157,          0.6635,          0.3738,          0.6630,          0.9498,          0.9294,          0.9134,          0.9298
          54,        0.441667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5052,          0.5664,          0.6157,          0.6635,          0.3738,          0.6630,          0.9499,          0.9294,          0.9136,          0.9298
          55,        0.450000,          0.9495,          0.4427,          0.8842,          0.8650,          0.9179,          0.4436,          0.5051,          0.5664,          0.6157,          0.6635,          0.3739,          0.6630,          0.9499,          0.9294,          0.9136,          0.9298
          56,        0.458333,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5051,          0.5664,          0.6158,          0.6634,          0.3738,          0.6630,          0.9498,          0.9294,          0.9138,          0.9298
          57,        0.466667,          0.9495,          0.4428,          0.8843,          0.8649,          0.9179,          0.4436,          0.5051,          0.5664,          0.6158,          0.6635,          0.3738,          0.6631,          0.9498,          0.9294,          0.9136,          0.9298
          58,        0.475000,          0.9494,          0.4427,          0.8843,          0.8650,          0.9179,          0.4436,          0.5052,          0.5664,          0.6158,          0.6634,          0.3739,          0.6630,          0.9498,          0.9295,          0.9135,          0.9298
          59,        0.483333,          0.9495,          0.4428,          0.8843,          0.8649,          0.9179,          0.4436,          0.5051,          0.5664,          0.6158,          0.6635,          0.3739,          0.6631,          0.9499,          0.9295,          0.9136,          0.9298
          60,        0.491667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4435,          0.5052,          0.5664,          0.6158,          0.6634,          0.3738,          0.6630,          0.9498,          0.9294,          0.9139,          0.9298
          61,        0.500000,          0.9495,          0.4428,          0.8842,          0.8650,          0.9180,          0.4436,          0.5051,          0.5664,          0.6158,          0.6635,          0.3738,          0.6630,          0.9499,          0.9294,          0.9135,          0.9297
          62,        0.508333,          0.9495,          0.4427,          0.8842,          0.8650,          0.9179,          0.4436,          0.5051,          0.5664,          0.6157,          0.6634,          0.3737,          0.6631,          0.9498,          0.9294,          0.9136,          0.9298
          63,        0.516667,          0.9495,          0.4427,          0.8843,          0.8649,          0.9179,          0.4436,          0.5052,          0.5664,          0.6158,          0.6635,          0.3738,          0.6630,          0.9499,          0.9295,          0.9137,          0.9298
          64,        0.525000,          0.9495,          0.4427,          0.8843,          0.8650,          0.9180,          0.4436,          0.5051,          0.5664,          0.6158,          0.6635,          0.3739,          0.6631,          0.9499,          0.9295,          0.9138,          0.9297
