"VanillaC4_003 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf]","Time (h)","V 2 [VanillaC4_003]","V 3 [VanillaC4_003]","V 4 [VanillaC4_003]","V 5 [VanillaC4_003]","V 6 [VanillaC4_003]","V 7 [VanillaC4_003]","V 8 [VanillaC4_003]","V 9 [VanillaC4_003]","V 10 [VanillaC4_003]","V 11 [VanillaC4_003]","V 12 [VanillaC4_003]","V 13 [VanillaC4_003]","V 14 [VanillaC4_003]","V 15 [VanillaC4_003]","V 16 [VanillaC4_003]","V  1 [VanillaC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          3.0326,          2.8256,          3.1415,          3.1242,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.9945,          2.0915,          2.2904,          2.1215,          1.8437,          2.8911
           3,        0.033333,          2.6954,          2.5428,          2.7354,          2.8068,          2.8629,          2.6435,          2.4522,          0.0000,          1.3718,          1.3638,          1.1596,          1.1178,          1.1894,          1.0409,          0.8593,          2.5803
           4,        0.050000,          2.5437,          2.4146,          2.5809,          2.6469,          2.6112,          2.4605,          2.3821,          1.7850,          1.3512,          1.0059,          0.5895,          0.5687,          0.6142,          0.5325,          0.4290,          2.4557
           5,        0.066667,          2.4784,          2.3593,          2.5171,          2.5716,          2.5400,          2.3881,          2.1234,          2.0650,          1.8376,          1.7829,          1.5844,          1.5141,          1.4498,          1.2239,          0.9436,          2.3905
           6,        0.083333,          2.4422,          2.3265,          2.4760,          2.5276,          2.4834,          2.2949,          2.1583,          2.1558,          1.9895,          1.9805,          1.8022,          1.8054,          1.9483,          2.1120,          2.3372,          2.3575
           7,        0.100000,          2.4210,          2.3065,          2.4491,          2.4888,          2.4389,          2.2786,          2.1696,          2.1998,          2.0665,          2.0945,          2.0449,          2.1608,          2.3469,          2.3862,          2.3967,          2.3384
           8,        0.116667,          2.4079,          2.2929,          2.4280,          2.4674,          2.4235,          2.2718,          2.1756,          2.2239,          2.1355,          2.2190,          2.1580,          2.2378,          2.4141,          2.4124,          2.3988,          2.3271
           9,        0.133333,          2.3989,          2.2832,          2.4176,          2.4575,          2.4157,          2.2689,          2.1811,          2.2540,          2.1783,          2.2559,          2.1779,          2.2526,          2.4308,          2.4231,          2.4084,          2.3197
          10,        0.150000,          2.3932,          2.2784,          2.4122,          2.4525,          2.4122,          2.2694,          2.1903,          2.2670,          2.1889,          2.2649,          2.1847,          2.2592,          2.4384,          2.4315,          2.4205,          2.3149
          11,        0.166667,          2.3901,          2.2758,          2.4094,          2.4504,          2.4119,          2.2714,          2.1936,          2.2703,          2.1919,          2.2679,          2.1881,          2.2632,          2.4430,          2.4381,          2.4308,          2.3119
