"VanillaC4_008 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_008.tcf]","Time (h)","Q 2 [VanillaC4_008]","Q 3 [VanillaC4_008]","Q 4 [VanillaC4_008]","Q 5 [VanillaC4_008]","Q 6 [VanillaC4_008]","Q 7 [VanillaC4_008]","Q 1 [VanillaC4_008]","Q  8 [VanillaC4_008]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.7480,         -0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.5659,         -0.0003
           4,        0.025000,         -3.2955,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.3500,         -0.0001
           5,        0.033333,         -5.7564,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -7.6222,          0.0004
           6,        0.041667,         -6.6994,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -7.7706,          0.0004
           7,        0.050000,         -7.2032,         -3.6118,          0.0000,          0.0000,          0.0000,          0.0000,         -7.8537,          0.0002
           8,        0.058333,         -7.4748,         -5.4145,          0.0000,          0.0000,          0.0000,         -0.0000,         -7.9010,          0.0007
           9,        0.066667,         -7.6522,         -6.3394,          0.0000,          0.0000,          0.0000,         -0.0001,         -7.9362,          0.0002
          10,        0.075000,         -7.7631,         -6.8874,         -3.1884,          0.0000,          0.0000,          0.0000,         -7.9559,         -0.0005
          11,        0.083333,         -7.8353,         -7.2327,         -4.9939,          0.0000,          0.0000,         -0.0000,         -7.9682,          0.0004
          12,        0.091667,         -7.8863,         -7.4617,         -5.9822,         -0.6547,          0.0000,         -0.0000,         -7.9799,         -0.0002
          13,        0.100000,         -7.9199,         -7.6204,         -6.5959,         -3.8607,          0.0000,          0.0002,         -7.9850,         -0.0004
          14,        0.108333,         -7.9428,         -7.7299,         -7.0045,         -5.2428,          0.0000,         -0.0000,         -7.9892,          0.0003
          15,        0.116667,         -7.9597,         -7.8063,         -7.2795,         -6.0754,          0.0000,         -0.0000,         -7.9927,          0.0001
          16,        0.125000,         -7.9710,         -7.8604,         -7.4787,         -6.6221,          0.0000,          0.0000,         -7.9945,          0.0002
          17,        0.133333,         -7.9791,         -7.8990,         -7.6208,         -6.9993,         -1.1726,         -0.0000,         -7.9960,         -0.0002
          18,        0.141667,         -7.9853,         -7.9267,         -7.7227,         -7.2622,         -3.8459,          0.0000,         -7.9974,          0.0001
          19,        0.150000,         -7.9889,         -7.9466,         -7.7966,         -7.4570,         -5.1320,          0.0000,         -7.9981,          0.0003
          20,        0.158333,         -7.9920,         -7.9612,         -7.8503,         -7.5987,         -5.9409,          0.0000,         -7.9984,         -0.0001
          21,        0.166667,         -7.9944,         -7.9714,         -7.8897,         -7.7024,         -6.4885,         -2.6463,         -7.9988,          0.0003
          22,        0.175000,         -7.9958,         -7.9791,         -7.9184,         -7.7789,         -6.8791,         -4.3758,         -7.9995,          0.0001
          23,        0.183333,         -7.9967,         -7.9848,         -7.9400,         -7.8355,         -7.1567,         -5.4049,         -7.9992,         -2.5818
          24,        0.191667,         -7.9979,         -7.9889,         -7.9554,         -7.8773,         -7.3661,         -6.1002,         -8.0000,         -4.0299
          25,        0.200000,         -7.9985,         -7.9917,         -7.9668,         -7.9084,         -7.5228,         -6.5811,         -8.0000,         -5.4730
          26,        0.208333,         -7.9987,         -7.9941,         -7.9756,         -7.9318,         -7.6404,         -6.9306,         -7.9993,         -6.0793
          27,        0.216667,         -7.9995,         -7.9955,         -7.9817,         -7.9489,         -7.7282,         -7.1868,         -8.0001,         -6.5081
          28,        0.225000,         -7.9995,         -7.9968,         -7.9863,         -7.9620,         -7.7945,         -7.3914,         -8.0001,         -6.8355
          29,        0.233333,         -7.9992,         -7.9976,         -7.9898,         -7.9714,         -7.8447,         -7.5430,         -7.9992,         -7.1042
          30,        0.241667,         -7.9997,         -7.9981,         -7.9925,         -7.9785,         -7.8822,         -7.6546,         -8.0003,         -7.3147
          31,        0.250000,         -7.9999,         -7.9987,         -7.9946,         -7.9840,         -7.9108,         -7.7382,         -7.9999,         -7.4776
          32,        0.258333,         -7.9995,         -7.9990,         -7.9959,         -7.9881,         -7.9326,         -7.8014,         -7.9993,         -7.6021
          33,        0.266667,         -7.9998,         -7.9994,         -7.9970,         -7.9909,         -7.9492,         -7.8493,         -8.0003,         -7.6981
          34,        0.275000,         -8.0001,         -7.9993,         -7.9978,         -7.9933,         -7.9615,         -7.8858,         -8.0001,         -7.7707
          35,        0.283333,         -7.9996,         -7.9995,         -7.9981,         -7.9949,         -7.9712,         -7.9135,         -7.9993,         -7.8256
          36,        0.291667,         -8.0000,         -7.9997,         -7.9988,         -7.9960,         -7.9782,         -7.9345,         -8.0004,         -7.8677
          37,        0.300000,         -8.0001,         -7.9998,         -7.9991,         -7.9970,         -7.9833,         -7.9501,         -8.0005,         -7.8999
          38,        0.308333,         -7.9998,         -7.9999,         -7.9994,         -7.9979,         -7.9875,         -7.9624,         -7.9994,         -7.9239
