"InphaseC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_004.tcf]","Time (h)","Q 2 [InphaseC4_004]","Q 3 [InphaseC4_004]","Q 4 [InphaseC4_004]","Q 5 [InphaseC4_004]","Q 6 [InphaseC4_004]","Q 7 [InphaseC4_004]","Q 1 [InphaseC4_004]","Q  8 [InphaseC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6444,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9406,          0.0005
           4,        0.025000,         -2.4279,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,         -3.9956,          0.0005
           5,        0.033333,         -1.8261,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -4.0018,         -0.0001
           6,        0.041667,         -1.6138,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -3.9999,         -0.0001
           7,        0.050000,         -2.0503,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,         -3.9999,          0.0008
           8,        0.058333,         -1.9672,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.0001,         -0.0002
           9,        0.066667,         -1.8910,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -4.0002,         -0.0005
          10,        0.075000,         -2.1041,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -3.9994,         -0.0006
          11,        0.083333,         -2.1807,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -4.0002,          0.0003
          12,        0.091667,         -2.1426,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -3.9496,          0.0000
          13,        0.100000,         -2.2591,         -0.0002,          0.0000,          0.0000,          0.0000,         -0.0004,         -3.8846,          0.0004
          14,        0.108333,         -2.4377,         -0.1910,          0.0000,          0.0000,          0.0000,         -0.0004,         -3.8624,         -0.0005
          15,        0.116667,         -2.5399,         -0.5466,          0.0000,          0.0000,          0.0000,         -0.0001,         -3.8395,          0.0002
          16,        0.125000,         -2.6814,         -0.9223,          0.0000,          0.0000,          0.0000,         -0.0000,         -3.8241,         -0.0007
          17,        0.133333,         -2.8514,         -1.2923,         -0.0001,          0.0000,          0.0000,          0.0002,         -3.8275,          0.0001
          18,        0.141667,         -3.0214,         -1.6617,         -0.6746,          0.0000,          0.0000,          0.0004,         -3.8415,          0.0000
          19,        0.150000,         -3.1607,         -2.0099,         -0.8492,          0.0000,          0.0000,          0.0000,         -3.8552,         -0.0008
          20,        0.158333,         -3.2826,         -2.3215,         -1.0663,          0.0000,          0.0000,         -0.0002,         -3.8695,         -0.0006
          21,        0.166667,         -3.4032,         -2.5937,         -1.3117,          0.0000,          0.0000,          0.0004,         -3.8921,          0.0001
          22,        0.175000,         -3.5085,         -2.8342,         -1.4453,          0.0000,          0.0000,         -0.0003,         -3.9049,         -0.0007
          23,        0.183333,         -3.5895,         -3.0394,         -1.6032,          0.0000,          0.0000,         -0.0005,         -3.9195,          0.0002
          24,        0.191667,         -3.6639,         -3.2098,         -1.7435,          0.0000,          0.0000,          0.0008,         -3.9318,         -0.0016
          25,        0.200000,         -3.7247,         -3.3534,         -1.8454,          0.0000,          0.0000,          0.0004,         -3.9441,         -0.0008
          26,        0.208333,         -3.7744,         -3.4722,         -1.9582,          0.0000,          0.0000,         -0.0005,         -3.9541,         -0.0004
          27,        0.216667,         -3.8179,         -3.5701,         -2.0413,          0.0000,          0.0000,         -0.0006,         -3.9623,          0.0002
          28,        0.225000,         -3.8515,         -3.6513,         -2.1194,          0.0000,          0.0000,          0.0001,         -3.9685,         -0.0003
          29,        0.233333,         -3.8785,         -3.7171,         -2.2081,          0.0000,          0.0000,          0.0002,         -3.9743,          0.0008
          30,        0.241667,         -3.9019,         -3.7706,         -2.2781,         -0.0492,          0.0000,         -0.0002,         -3.9789,         -0.0010
          31,        0.250000,         -3.9217,         -3.8146,         -2.3634,         -0.2062,          0.0000,         -0.0005,         -3.9834,          0.0002
          32,        0.258333,         -3.9357,         -3.8502,         -2.4755,         -0.4259,          0.0000,          0.0004,         -3.9861,         -0.0002
          33,        0.266667,         -3.9481,         -3.8790,         -2.5854,         -0.7037,          0.0000,          0.0000,         -3.9888,         -0.0002
          34,        0.275000,         -3.9584,         -3.9022,         -2.7150,         -1.0233,          0.0000,         -0.0000,         -3.9909,         -0.0001
          35,        0.283333,         -3.9667,         -3.9213,         -2.8650,         -1.3613,          0.0000,         -0.0004,         -3.9930,          0.0004
          36,        0.291667,         -3.9727,         -3.9365,         -3.0117,         -1.6928,         -0.5191,         -0.0001,         -3.9943,          0.0002
          37,        0.300000,         -3.9788,         -3.9488,         -3.1502,         -2.0169,         -0.3240,          0.0005,         -3.9953,         -0.0001
          38,        0.308333,         -3.9825,         -3.9585,         -3.2721,         -2.3126,         -0.4257,         -0.0003,         -3.9965,          0.0008
          39,        0.316667,         -3.9859,         -3.9667,         -3.3837,         -2.5766,         -0.6945,         -0.0004,         -3.9971,         -0.0002
          40,        0.325000,         -3.9885,         -3.9732,         -3.4829,         -2.8073,         -0.8236,         -0.0000,         -3.9976,          0.0005
          41,        0.333333,         -3.9912,         -3.9784,         -3.5692,         -3.0086,         -0.7644,          0.0003,         -3.9979,          0.0002
          42,        0.341667,         -3.9926,         -3.9826,         -3.6421,         -3.1801,         -1.0425,         -0.0002,         -3.9987,          0.0004
          43,        0.350000,         -3.9938,         -3.9861,         -3.7059,         -3.3235,         -1.2287,          0.0001,         -3.9987,          0.0003
          44,        0.358333,         -3.9954,         -3.9887,         -3.7580,         -3.4455,         -1.2603,          0.0003,         -3.9990,          0.0003
          45,        0.366667,         -3.9962,         -3.9909,         -3.8003,         -3.5456,         -1.3947,          0.0007,         -3.9992,         -0.0008
          46,        0.375000,         -3.9970,         -3.9926,         -3.8371,         -3.6284,         -1.6338,          0.0001,         -3.9993,         -0.0001
          47,        0.383333,         -3.9971,         -3.9940,         -3.8681,         -3.6968,         -1.8225,         -0.0004,         -3.9994,          0.0004
          48,        0.391667,         -3.9986,         -3.9953,         -3.8928,         -3.7531,         -1.9793,         -0.4250,         -3.9995,         -0.0014
          49,        0.400000,         -3.9991,         -3.9961,         -3.9122,         -3.7995,         -2.2243,         -0.7492,         -3.9995,         -0.4497
          50,        0.408333,         -3.9989,         -3.9969,         -3.9288,         -3.8369,         -2.4500,         -1.0948,         -3.9996,         -0.7147
          51,        0.416667,         -3.9986,         -3.9975,         -3.9424,         -3.8679,         -2.6493,         -1.4180,         -3.9998,         -1.3443
          52,        0.425000,         -3.9988,         -3.9979,         -3.9535,         -3.8930,         -2.8359,         -1.9239,         -3.9997,         -1.8476
          53,        0.433333,         -3.9993,         -3.9984,         -3.9617,         -3.9133,         -3.0106,         -2.1416,         -4.0000,         -2.0944
          54,        0.441667,         -3.9996,         -3.9987,         -3.9693,         -3.9295,         -3.1659,         -2.3810,         -3.9998,         -2.2770
          55,        0.450000,         -3.9999,         -3.9990,         -3.9754,         -3.9430,         -3.2985,         -2.6641,         -4.0002,         -2.4911
          56,        0.458333,         -3.9993,         -3.9992,         -3.9798,         -3.9537,         -3.4116,         -2.8542,         -3.9998,         -2.6916
          57,        0.466667,         -3.9998,         -3.9993,         -3.9837,         -3.9628,         -3.5149,         -3.0436,         -3.9999,         -2.8454
          58,        0.475000,         -3.9997,         -3.9995,         -3.9860,         -3.9697,         -3.5970,         -3.2045,         -4.0000,         -3.0539
          59,        0.483333,         -4.0001,         -3.9996,         -3.9888,         -3.9754,         -3.6657,         -3.3433,         -3.9998,         -3.2006
          60,        0.491667,         -3.9994,         -3.9996,         -3.9915,         -3.9802,         -3.7252,         -3.4509,         -4.0001,         -3.3239
          61,        0.500000,         -3.9992,         -3.9998,         -3.9928,         -3.9840,         -3.7744,         -3.5505,         -4.0003,         -3.4411
          62,        0.508333,         -3.9997,         -3.9999,         -3.9944,         -3.9871,         -3.8152,         -3.6311,         -4.0002,         -3.5348
          63,        0.516667,         -3.9995,         -3.9998,         -3.9952,         -3.9895,         -3.8468,         -3.6943,         -3.9999,         -3.6127
          64,        0.525000,         -4.0004,         -3.9999,         -3.9966,         -3.9913,         -3.8762,         -3.7504,         -4.0000,         -3.6786
          65,        0.533333,         -4.0003,         -3.9999,         -3.9970,         -3.9932,         -3.8981,         -3.7952,         -4.0001,         -3.7350
          66,        0.541667,         -3.9995,         -3.9999,         -3.9971,         -3.9946,         -3.9175,         -3.8323,         -4.0001,         -3.7795
          67,        0.550000,         -3.9997,         -3.9999,         -3.9982,         -3.9956,         -3.9324,         -3.8628,         -3.9999,         -3.8193
          68,        0.558333,         -4.0003,         -3.9999,         -3.9991,         -3.9963,         -3.9454,         -3.8880,         -4.0000,         -3.8515
          69,        0.566667,         -3.9996,         -3.9998,         -3.9989,         -3.9971,         -3.9550,         -3.9085,         -4.0001,         -3.8787
          70,        0.575000,         -3.9998,         -4.0000,         -3.9987,         -3.9977,         -3.9640,         -3.9253,         -4.0000,         -3.9002
          71,        0.583333,         -4.0002,         -4.0000,         -3.9990,         -3.9980,         -3.9706,         -3.9391,         -4.0000,         -3.9185
          72,        0.591667,         -3.9997,         -4.0000,         -3.9992,         -3.9983,         -3.9757,         -3.9510,         -3.9999,         -3.9335
          73,        0.600000,         -4.0001,         -4.0000,         -3.9993,         -3.9987,         -3.9805,         -3.9594,         -4.0000,         -3.9458
          74,        0.608333,         -3.9990,         -4.0000,         -3.9993,         -3.9990,         -3.9838,         -3.9670,         -4.0000,         -3.9552
          75,        0.616667,         -4.0001,         -4.0000,         -3.9998,         -3.9993,         -3.9868,         -3.9731,         -3.9999,         -3.9634
          76,        0.625000,         -3.9999,         -4.0000,         -3.9994,         -3.9994,         -3.9894,         -3.9782,         -4.0001,         -3.9698
          77,        0.633333,         -4.0003,         -4.0000,         -3.9994,         -3.9997,         -3.9922,         -3.9819,         -4.0001,         -3.9756
          78,        0.641667,         -4.0000,         -4.0000,         -3.9996,         -3.9995,         -3.9928,         -3.9855,         -4.0002,         -3.9804
          79,        0.650000,         -3.9995,         -4.0000,         -3.9998,         -3.9994,         -3.9943,         -3.9884,         -4.0001,         -3.9840
          80,        0.658333,         -4.0000,         -4.0001,         -4.0000,         -3.9998,         -3.9954,         -3.9904,         -4.0002,         -3.9867
          81,        0.666667,         -4.0001,         -3.9999,         -3.9999,         -4.0000,         -3.9958,         -3.9924,         -4.0000,         -3.9891
          82,        0.675000,         -3.9995,         -3.9999,         -4.0001,         -4.0001,         -3.9969,         -3.9935,         -4.0001,         -3.9916
          83,        0.683333,         -4.0003,         -4.0001,         -3.9995,         -3.9998,         -3.9971,         -3.9947,         -4.0001,         -3.9935
          84,        0.691667,         -4.0003,         -4.0000,         -3.9995,         -3.9999,         -3.9979,         -3.9958,         -3.9999,         -3.9942
