iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,4.57764e-05,0.0911407,0.000198364,9.11407
2,0.0504889,0.0255102,0.0254889,0.000213623,0.0930023,0.000396729,9.20414
3,0.0765094,0.0260308,0.0260204,0.000518799,0.0948944,0.000762939,9.29988
4,0.103061,0.0265621,0.0265515,0.00117493,0.0968323,0.001297,9.39765
5,0.130141,0.0271041,0.0270806,0.00183105,0.0988159,0.00196838,9.49656
6,0.157799,0.0276573,0.0276573,0.00267029,0.10083,0.00285339,9.59934
7,0.186005,0.0282217,0.0282062,0.00370789,0.10289,0.00392151,9.70307
8,0.214783,0.0287977,0.028778,0.00494385,0.10498,0.00518799,9.80862
9,0.244157,0.0293854,0.029374,0.00640869,0.107132,0.00665283,9.91695
10,0.274122,0.0299851,0.0299656,0.00810242,0.109314,0.00831604,10.0271
11,0.304705,0.030597,0.0305822,0.010025,0.111542,0.0101624,10.1396
12,0.335897,0.0312215,0.0311925,0.012207,0.113815,0.0121613,10.254
13,0.367726,0.0318586,0.0318284,0.0146332,0.116135,0.0142822,10.3707
14,0.400217,0.0325088,0.0324915,0.0173035,0.118515,0.0165253,10.4904
15,0.433364,0.0331722,0.0331465,0.0202179,0.120926,0.0188293,10.6122
16,0.467193,0.0338492,0.0338291,0.0233612,0.123398,0.0211792,10.7368
17,0.501694,0.03454,0.0345009,0.0267029,0.125916,0.0235443,10.8634
18,0.536937,0.0352449,0.0352429,0.0302277,0.128494,0.0258942,10.9937
19,0.572867,0.0359642,0.0359306,0.0339355,0.131104,0.0282135,11.1257
20,0.609559,0.0366982,0.0366922,0.0377502,0.133789,0.0304718,11.2612
21,0.646999,0.0374471,0.0374401,0.041687,0.13652,0.0326843,11.3994
22,0.68517,0.0382114,0.0381704,0.0456696,0.139297,0.0348053,11.5395
23,0.724152,0.0389912,0.0389825,0.0496979,0.142151,0.0367432,11.6834
24,0.763929,0.0397869,0.039777,0.0536346,0.14505,0.0384369,11.8301
25,0.804478,0.0405989,0.0405493,0.0573273,0.14801,0.0398865,11.9789
26,0.845891,0.0414274,0.0414121,0.0607605,0.151031,0.0411072,12.1316
27,0.888143,0.0422729,0.0422523,0.0639343,0.154114,0.0421143,12.2873
28,0.931272,0.0431356,0.0431287,0.0668335,0.157257,0.0429382,12.4464
29,0.975248,0.0440159,0.0439769,0.0694733,0.160461,0.0436096,12.6081
30,1.02011,0.0449142,0.0448605,0.0718842,0.163742,0.0441589,12.7728
31,1.06589,0.0458308,0.0457818,0.0740814,0.167084,0.0446014,12.9411
32,1.11263,0.0467662,0.0467433,0.0760803,0.170486,0.0449829,13.1133
33,1.1603,0.0477206,0.0476689,0.0779266,0.173965,0.0453186,13.2885
34,1.20894,0.0486945,0.0486336,0.079834,0.177521,0.0455933,13.4672
35,1.25858,0.0496882,0.0496398,0.082428,0.181152,0.0458527,13.6498
36,1.30927,0.0507023,0.0506903,0.0848999,0.184845,0.0460663,13.8368
37,1.36096,0.051737,0.051695,0.0872192,0.188614,0.0462952,14.0271
