Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.31,      0.31
Start 2D BC Array Sizes Domain_001                ,      0.34,      0.02
End 2D BC Array Sizes Domain_001                  ,      0.35,      0.02
Start Estry Setup s0                              ,      0.36,      0.00
End Estry Setup s0                                ,      0.36,      0.00
Start TUFLOW Setup s2                             ,      0.37,      0.01
End TUFLOW Setup s2                               ,      0.58,      0.21
Reading Geometry File Domain_001                  ,      0.61,      0.03
Start Read Grid Read GRID Zpts                    ,      0.61,      0.00
End Read Grid Read GRID Zpts                      ,      0.66,      0.06
Start Read Read GIS Code                          ,      0.67,      0.00
End Read Read GIS Code                            ,      0.68,      0.01
Finished Reading Geometry File Domain_001         ,      0.68,      0.00
Start Read input file (stage 2) Domain_001        ,      0.68,      0.00
End Read input file (stage 2) Domain_001          ,      0.75,      0.07
Identifying cells within user defined output zones,      0.75,      0.00
Finished Identifying cells within user defined out,      0.75,      0.00
Setting instability water levels Domain_001       ,      0.75,      0.00
Finished Setting instability water levels Domain_0,      0.76,      0.01
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.76,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.76,      0.00
Start Reading Input File (Stage 3)                ,      0.76,      0.00
End Reading Input File (Stage 3)                  ,      0.76,      0.00
Reading Boundary File Domain_001                  ,      0.77,      0.00
Finished Reading Boundary File Domain_001         ,      0.85,      0.08
Initialising 2D Data (Stage 1) Domain_001         ,      0.85,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.87,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.87,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.89,      0.02
Start Writing _grd_check                          ,      0.91,      0.02
End Writing _grd_check                            ,      1.50,      0.59
Start Writing _zpt_check                          ,      1.50,      0.00
End Writing _zpt_check                            ,      2.15,      0.64
Start Writing _uvpt_check                         ,      2.15,      0.00
End Writing _uvpt_check                           ,      2.54,      0.40
Start Writing check DEMs                          ,      3.13,      0.59
Start Calculating grid interpolation factors      ,      3.13,      0.00
End Calculating grid interpolation factors        ,      3.21,      0.07
End Writing check DEMs                            ,      3.29,      0.08
Start Calculating grid interpolation factors      ,      3.29,      0.00
End Calculating grid interpolation factors        ,      3.38,      0.09
Starting Simulation                               ,      3.42,      0.04
Summary File Close                                ,      3.42,      0.00
