"InphaseC4_005","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
,        0.150000,          1.6341,          0.6864,          1.3914,          2.3840,          1.6287,          0.6468,          1.1789,          2.2347,          0.8455,          0.9599,          1.5369,          2.0563,          1.6917,          1.3788,          1.1875,          1.9417,        -38.2612,        -38.2456,        -38.1100,        -37.9782,        -37.2630,        -36.5029,        -38.2683,        -36.2399
,        0.158333,          1.6340,          0.6866,          1.3914,          2.3843,          1.6270,          0.6489,          1.1804,          2.2170,          0.8540,          0.9667,          1.5432,          2.0718,          1.7080,          1.4034,          1.2153,          1.9414,        -38.2660,        -38.2566,        -38.1692,        -38.0840,        -37.5844,        -37.1040,        -38.2709,        -36.9776
,        0.166667,          1.6339,          0.6867,          1.3915,          2.3842,          1.6260,          0.6500,          1.1814,          2.2022,          0.8598,          0.9715,          1.5475,          2.0869,          1.7198,          1.4192,          1.2329,          1.9412,        -38.2687,        -38.2633,        -38.2064,        -38.1518,        -37.8102,        -37.5036,        -38.2720,        -37.4558
,        0.175000,          1.6339,          0.6867,          1.3915,          2.3841,          1.6254,          0.6509,          1.1819,          2.1934,          0.8642,          0.9748,          1.5507,          2.0992,          1.7290,          1.4289,          1.2433,          1.9411,        -38.2715,        -38.2672,        -38.2304,        -38.1957,        -37.9656,        -37.7667,        -38.2729,        -37.7428
,        0.183333,          1.6338,          0.6868,          1.3915,          2.3841,          1.6250,          0.6515,          1.1824,          2.1878,          0.8671,          0.9771,          1.5527,          2.1085,          1.7356,          1.4350,          1.2492,          1.9410,        -38.2722,        -38.2705,        -38.2467,        -38.2244,        -38.0682,        -37.9359,        -38.2730,        -37.9186
,        0.191667,          1.6339,          0.6868,          1.3915,          2.3841,          1.6247,          0.6519,          1.1827,          2.1837,          0.8689,          0.9787,          1.5540,          2.1144,          1.7399,          1.4389,          1.2531,          1.9410,        -38.2732,        -38.2715,        -38.2570,        -38.2419,        -38.1367,        -38.0463,        -38.2737,        -38.0302
,        0.200000,          1.6339,          0.6868,          1.3915,          2.3842,          1.6246,          0.6521,          1.1829,          2.1809,          0.8702,          0.9798,          1.5550,          2.1181,          1.7427,          1.4417,          1.2556,          1.9410,        -38.2738,        -38.2727,        -38.2619,        -38.2546,        -38.1831,        -38.1195,        -38.2739,        -38.1076
,        0.208333,          1.6338,          0.6869,          1.3915,          2.3841,          1.6244,          0.6522,          1.1829,          2.1789,          0.8711,          0.9804,          1.5556,          2.1205,          1.7445,          1.4436,          1.2574,          1.9410,        -38.2741,        -38.2734,        -38.2659,        -38.2606,        -38.2137,        -38.1710,        -38.2740,        -38.1603
,        0.216667,          1.6338,          0.6869,          1.3915,          2.3841,          1.6243,          0.6524,          1.1830,          2.1776,          0.8718,          0.9809,          1.5561,          2.1220,          1.7457,          1.4449,          1.2587,          1.9409,        -38.2743,        -38.2737,        -38.2698,        -38.2658,        -38.2347,        -38.2051,        -38.2738,        -38.1984
,        0.225000,          1.6338,          0.6869,          1.3915,          2.3841,          1.6243,          0.6524,          1.1831,          2.1768,          0.8722,          0.9812,          1.5563,          2.1230,          1.7465,          1.4458,          1.2596,          1.9409,        -38.2740,        -38.2736,        -38.2716,        -38.2690,        -38.2482,        -38.2288,        -38.2738,        -38.2242
