iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,3.05176e-05,0.036438,0.000167847,3.6438
2,0.0504889,0.0255102,0.0254889,0.000198364,0.0371857,0.000366211,3.67998
3,0.0765094,0.0260308,0.0260204,0.000488281,0.0379333,0.000717163,3.71802
4,0.103061,0.0265621,0.0265515,0.00100708,0.0387115,0.0012207,3.75707
5,0.130141,0.0271041,0.0270806,0.00161743,0.039505,0.00189209,3.79661
6,0.157799,0.0276573,0.0276573,0.00239563,0.0403137,0.00274658,3.83775
7,0.186005,0.0282217,0.0282062,0.00334167,0.0411377,0.00379944,3.87927
8,0.214783,0.0287977,0.028778,0.00447083,0.0419769,0.00505066,3.92155
9,0.244157,0.0293854,0.029374,0.00584412,0.0444183,0.00650024,3.98393
10,0.274122,0.0299851,0.0299656,0.00746155,0.0475616,0.00814819,4.06801
11,0.304705,0.030597,0.0305822,0.00930786,0.0505829,0.00997925,4.16716
12,0.335897,0.0312215,0.0311925,0.0113983,0.0534515,0.0119476,4.27609
13,0.367726,0.0318586,0.0318284,0.0137329,0.0561523,0.0140686,4.39154
14,0.400217,0.0325088,0.0324915,0.0163116,0.05867,0.0162811,4.51107
15,0.433364,0.0331722,0.0331465,0.0191345,0.0609589,0.0185852,4.6395
16,0.467193,0.0338492,0.0338291,0.0221863,0.0630188,0.0209198,4.80819
17,0.501694,0.03454,0.0345009,0.0254364,0.0648346,0.0232697,5.01034
18,0.536937,0.0352449,0.0352429,0.0288696,0.0664063,0.0256042,5.24164
19,0.572867,0.0359642,0.0359306,0.0324707,0.0677338,0.0278931,5.49549
20,0.609559,0.0366982,0.0366922,0.0361938,0.0687866,0.0301514,5.76958
21,0.646999,0.0374471,0.0374401,0.0400238,0.0695953,0.0323334,6.05927
22,0.68517,0.0382114,0.0381704,0.0438995,0.0701752,0.0344086,6.35999
23,0.724152,0.0389912,0.0389825,0.047821,0.0705109,0.0362854,6.66858
24,0.763929,0.0397869,0.039777,0.0516205,0.0706635,0.0379181,6.9793
25,0.804478,0.0405989,0.0405493,0.055191,0.0706635,0.0392914,7.28686
26,0.845891,0.0414274,0.0414121,0.0585022,0.0705261,0.0404358,7.58975
27,0.888143,0.0422729,0.0422523,0.0615234,0.0702972,0.0413666,7.88434
28,0.931272,0.0431356,0.0431287,0.0643005,0.0700073,0.042099,8.16899
29,0.975248,0.0440159,0.0439769,0.066803,0.0696716,0.0426788,8.44157
30,1.02011,0.0449142,0.0448605,0.0690765,0.0693207,0.0431213,8.70169
31,1.06589,0.0458308,0.0457818,0.0711212,0.0689697,0.0434723,8.94967
32,1.11263,0.0467662,0.0467433,0.072998,0.068634,0.0437469,9.18601
33,1.1603,0.0477206,0.0476689,0.0746918,0.0695496,0.0439758,9.41019
34,1.20894,0.0486945,0.0486336,0.0762329,0.0709686,0.0441437,9.62283
35,1.25858,0.0496882,0.0496398,0.0782928,0.0724182,0.0442963,9.82509
36,1.30927,0.0507023,0.0506903,0.0805206,0.0738983,0.0444031,10.0176
37,1.36096,0.051737,0.051695,0.0826416,0.0754089,0.0445251,10.2004
38,1.4137,0.0527929,0.0527422,0.0846252,0.0769501,0.0446472,10.3745
39,1.46754,0.0538703,0.0538348,0.0864716,0.0785217,0.0447693,10.541
40,1.52241,0.0549697,0.0548701,0.0882111,0.0801239,0.0448914,10.6995
41,1.57847,0.0560915,0.0560583,0.089798,0.0817566,0.0449982,10.8519
42,1.63565,0.0572362,0.0571862,0.0912018,0.0834198,0.0450897,10.9975
43,1.69402,0.0584043,0.0583629,0.0923767,0.0851288,0.045166,11.1369
44,1.75361,0.0595962,0.0595915,0.093338,0.0868683,0.0452423,11.2709
45,1.81435,0.0608125,0.0607449,0.0940857,0.0886383,0.0453033,11.3986
46,1.8763,0.0620536,0.0619465,0.0946198,0.0904541,0.0453491,11.5204
47,1.9395,0.06332,0.0631993,0.0949707,0.0923004,0.0453796,11.637
48,2.00401,0.0646122,0.0645069,0.0951385,0.0941772,0.0453796,11.7485
49,2.06988,0.0659308,0.0658729,0.0955658,0.0960999,0.0453644,11.8555
50,2.13702,0.0672763,0.0671397,0.096405,0.098053,0.0453339,11.9568
51,2.20565,0.0686493,0.068628,0.0971069,0.100067,0.0452881,12.0543
52,2.27566,0.0700503,0.070011,0.0976563,0.102097,0.0452881,12.1476
53,2.34711,0.0714799,0.0714545,0.098053,0.104187,0.0452728,12.2371
54,2.41988,0.0729387,0.0727708,0.0982513,0.106308,0.0452423,12.3215
55,2.49422,0.0744272,0.0743399,0.0982666,0.108475,0.0452118,12.403
56,2.57,0.0759462,0.0757735,0.0980682,0.110703,0.045166,12.4801
57,2.64748,0.0774961,0.0774859,0.0976868,0.112961,0.045105,12.5549
58,2.72654,0.0790776,0.0790535,0.0971222,0.115265,0.0450439,12.6261
59,2.80723,0.0806915,0.0806907,0.096405,0.117615,0.0449677,12.694
60,2.88938,0.0823382,0.0821534,0.0964508,0.12001,0.0448914,12.7576
61,2.97331,0.0840186,0.0839338,0.0966644,0.122467,0.0448151,12.8187
62,3.05884,0.0857333,0.0855275,0.0967255,0.124954,0.0447388,12.8762
63,3.14631,0.0874829,0.0874713,0.0966034,0.127518,0.0446625,12.9321
64,3.23553,0.0892683,0.0892149,0.096283,0.130112,0.0445709,12.9849
65,3.32656,0.0910901,0.0910356,0.0957336,0.132767,0.044632,13.0365
